[DARBY | EN | NT | Acts | Chapter 10 | Verse 1] But a certain man in Caesarea, — by name Cornelius, a centurion of the band called Italic,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 22] And they said, Cornelius, a centurion, a righteous man, and fearing God, and borne witness to by the whole nation of the Jews, has been divinely instructed by a holy angel to send for thee to his house, and hear words from thee.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 23] Having therefore invited them in, he lodged them. And on the morrow, rising up he went away with them, and certain of the brethren from Joppa went with him.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 24] And on the morrow they came to Caesarea. But Cornelius was looking for them, having called together his kinsmen and [his] intimate friends.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 25] And when Peter was now coming in, Cornelius met him, and falling down did [him] homage.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 26] But Peter made him rise, saying, Rise up: I myself also am a man.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 27] And he went in, talking with him, and found many gathered together.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 28] And he said to them, Ye know how it is unlawful for a Jew to be joined or come to one of a strange race, and to me God has shewn to call no man common or unclean.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 29] Wherefore also, having been sent for, I came without saying anything against it. I inquire therefore for what reason ye have sent for me.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 30] And Cornelius said, Four days ago I had been [fasting] unto this hour, and the ninth [I was] praying in my house, and lo, a man stood before me in bright clothing,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 31] and said, Cornelius, thy prayer has been heard, and thy alms have come in remembrance before God.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 32] Send therefore to Joppa and fetch Simon, who is surnamed Peter; he lodges in the house of Simon, a tanner, by the sea [who when he is come will speak to thee].
[DARBY | EN | NT | Acts | Chapter 10 | Verse 33] Immediately therefore I sent to thee, and thou hast well done in coming. Now therefore we are all present before God to hear all things that are commanded thee of God.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 34] And Peter opening his mouth said, Of a truth I perceive that God is no respecter of persons,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 35] but in every nation he that fears him and works righteousness is acceptable to him.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 36] The word which he sent to the sons of Israel, preaching peace by Jesus Christ, (he is Lord of all things,)
[DARBY | EN | NT | Acts | Chapter 10 | Verse 37] ye know; the testimony which has spread through the whole of Judaea, beginning from Galilee after the baptism which John preached —
[DARBY | EN | NT | Acts | Chapter 10 | Verse 38] Jesus who [was] of Nazareth: how God anointed him with [the] Holy Spirit and with power; who went through [all quarters] doing good, and healing all that were under the power of the devil, because God was with him.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 39] We also [are] witnesses of all things which he did both in the country of the Jews and in Jerusalem; whom they also slew, having hanged him on a cross.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 40] This [man] God raised up the third day and gave him to be openly seen,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 41] not of all the people, but of witnesses who were chosen before of God, us who have eaten and drunk with him after he arose from among [the] dead.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 42] And he commanded us to preach to the people, and to testify that he it is who was determinately appointed of God [to be] judge of living and dead.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 43] To him all the prophets bear witness that every one that believes on him will receive through his name remission of sins.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 44] While Peter was yet speaking these words the Holy Spirit fell upon all those who were hearing the word.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 45] And the faithful of the circumcision were astonished, as many as came with Peter, that upon the nations also the gift of the Holy Spirit was poured out:
[DARBY | EN | NT | Acts | Chapter 10 | Verse 46] for they heard them speaking with tongues and magnifying God. Then Peter answered,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 47] Can any one forbid water that these should not be baptised, who have received the Holy Spirit as we also [did]?
[DARBY | EN | NT | Acts | Chapter 10 | Verse 48] And he commanded them to be baptised in the name of the Lord. Then they begged him to stay some days.
