[DARBY | EN | NT | Acts | Chapter 5 | Verse 1] But a certain man, Ananias by name, with Sapphira his wife, sold a possession,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 23] saying, We found the prison shut with all security, and the keepers standing at the doors; but when we had opened [them], within we found no one.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 24] And when they heard these words, both the priest and the captain of the temple and the chief priests were in perplexity as to them, what this would come to.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 25] And some one coming reported to them, Lo, the men whom ye put in the prison are in the temple, standing and teaching the people.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 26] Then the captain, having gone with the officers, brought them, not with violence, for they feared the people, lest they should be stoned.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 27] And they bring them and set them in the council. And the high priest asked them,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 28] saying, We strictly enjoined you not to teach in this name: and lo, ye have filled Jerusalem with your doctrine, and purpose to bring upon us the blood of this man.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 29] But Peter answering, and the apostles, said, God must be obeyed rather than men.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 30] The God of our fathers has raised up Jesus, whom ye have slain, having hanged on a cross.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 31] Him has God exalted by his right hand as leader and saviour, to give repentance to Israel and remission of sins.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 32] And we are [his] witnesses of these things, and the Holy Spirit also, which God has given to those that obey him.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 33] But they, when they heard [these things], were cut to the heart, and took counsel to kill them.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 34] But a certain [man], a Pharisee, named Gamaliel, a teacher of the law, held in honour of all the people, rose up in the council, and commanded to put the men out for a short while,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 35] and said to them, Men of Israel, take heed to yourselves as regards these men what ye are going to do;
[DARBY | EN | NT | Acts | Chapter 5 | Verse 36] for before these days Theudas rose up, alleging himself to be somebody, to whom a number of men, about four hundred, were joined; who was slain, and all, as many as obeyed him, were dispersed and came to nothing.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 37] After him rose Judas the Galilean in the days of the census, and drew away [a number of] people after him; and he perished, and all, as many as obeyed him, were scattered abroad.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 38] And now I say to you, Withdraw from these men and let them alone, for if this counsel or this work have its origin from men, it will be destroyed;
[DARBY | EN | NT | Acts | Chapter 5 | Verse 39] but if it be from God, ye will not be able to put them down, lest ye be found also fighters against God.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 40] And they listened to his advice; and having called the apostles, they beat them, and enjoined them not to speak in the name of Jesus, and dismissed them.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 41] They therefore went their way from [the] presence of the council, rejoicing that they were counted worthy to be dishonoured for the name.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 42] And every day, in the temple and in the houses, they ceased not teaching and announcing the glad tidings that Jesus [was] the Christ.
