[JPS | EN | OT | Daniel | Chapter 2 | Verse 1] And in the second year of the reign of Nebuchadnezzar, Nebuchadnezzar dreamed dreams; and his spirit was troubled, and his sleep broke from him.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 14] Then Daniel returned answer with counsel and discretion to Arioch the captain of the king's guard, who was gone forth to slay the wise men of Babylon;
[JPS | EN | OT | Daniel | Chapter 2 | Verse 15] he answered and said to Arioch the king's captain: 'Wherefore is the decree so peremptory from the king?' Then Arioch made the thing known to Daniel.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 16] Then Daniel went in, and desired of the king that he would give him time, that he might declare unto the king the interpretation.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 17] Then Daniel went to his house, and made the thing known to Hananiah, Mishael, and Azariah, his companions;
[JPS | EN | OT | Daniel | Chapter 2 | Verse 18] that they might ask mercy of the God of heaven concerning this secret; that Daniel and his companions should not perish with the rest of the wise men of Babylon.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 19] Then was the secret revealed unto Daniel in a vision of the night. Then Daniel blessed the God of heaven.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 20] Daniel spoke and said: Blessed be the name of God from everlasting even unto everlasting; for wisdom and might are His;
[JPS | EN | OT | Daniel | Chapter 2 | Verse 21] And He changeth the times and the seasons; He removeth kings, and setteth up kings; He giveth wisdom unto the wise, and knowledge to them that know understanding;
[JPS | EN | OT | Daniel | Chapter 2 | Verse 22] He revealeth the deep and secret things; He knoweth what is in the darkness, and the light dwelleth with Him.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 23] I thank Thee, and praise Thee, O Thou God of my fathers, who hath given me wisdom and might, and hast now made known unto me what we desired of Thee; for Thou hast made known unto us the king's matter.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 24] Therefore Daniel went in unto Arioch, whom the king had appointed to destroy the wise men of Babylon; he went and said thus unto him: 'Destroy not the wise men of Babylon; bring me in before the king, and I will declare unto the king the interpretation.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 25] Then Arioch brought in Daniel before the king in haste, and said thus unto him: 'I have found a man of the children of the captivity of Judah, that will make known unto the king the interpretation.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 26] The king spoke and said to Daniel, whose name was Belteshazzar: 'Art thou able to make known unto me the dream which I have seen, and the interpretation thereof?'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 27] Daniel answered before the king, and said: 'The secret which the king hath asked can neither wise men, enchanters, magicians, nor astrologers, declare unto the king;
[JPS | EN | OT | Daniel | Chapter 2 | Verse 28] but there is a God in heaven that revealeth secrets, and He hath made known to the king Nebuchadnezzar what shall be in the end of days. Thy dream, and the visions of thy head upon thy bed, are these:
[JPS | EN | OT | Daniel | Chapter 2 | Verse 29] as for thee, O king, thy thoughts came into thy mind upon thy bed, what should come to pass hereafter; and He that revealeth secrets hath made known to thee what shall come to pass.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 30] But as for me, this secret is not revealed to me for any wisdom that I have more than any living, but to the intent that the interpretation may be made known to the king, and that thou mayest know the thoughts of thy heart.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 31] Thou, O king, sawest, and behold a great image. This image, which was mighty, and whose brightness was surpassing, stood before thee; and the appearance thereof was terrible.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 32] As for that image, its head was of fine gold, its breast and its arms of silver, its belly and its thighs of brass,
[JPS | EN | OT | Daniel | Chapter 2 | Verse 33] its legs of iron, its feet part of iron and part of clay.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 34] Thou sawest till that a stone was cut out without hands, which smote the image upon its feet that were of iron and clay, and broke them to pieces.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 35] Then was the iron, the clay, the brass, the silver, and the gold, broken in pieces together, and became like the chaff of the summer threshing-floors; and the wind carried them away, so that no place was found for them; and the stone that smote the image became a great mountain, and filled the whole earth.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 36] This is the dream; and we will tell the interpretation thereof before the king.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 37] Thou, O king, king of kings, unto whom the God of heaven hath given the kingdom, the power, and the strength, and the glory;
[JPS | EN | OT | Daniel | Chapter 2 | Verse 38] and wheresoever the children of men, the beasts of the field, and the fowls of the heaven dwell, hath He given them into thy hand, and hath made thee to rule over them all; thou art the head of gold.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 39] And after thee shall arise another kingdom inferior to thee; and another third kingdom of brass, which shall bear rule over all the earth.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 40] And the fourth kingdom shall be strong as iron; forasmuch as iron breaketh in pieces and beateth down all things; and as iron that crusheth all these, shall it break in pieces and crush.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 41] And whereas thou sawest the feet and toes, part of potters' clay, and part of iron, it shall be a divided kingdom; but there shall be in it of the firmness of the iron, forasmuch as thou sawest the iron mixed with miry clay.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 42] And as the toes of the feet were part of iron, and part of clay, so part of the kingdom shall be strong, and part thereof broken.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 43] And whereas thou sawest the iron mixed with miry clay, they shall mingle themselves by the seed of men; but they shall not cleave one to another, even as iron doth not mingle with clay.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 44] And in the days of those kings shall the God of heaven set up a kingdom, which shall never be destroyed; nor shall the kingdom be left to another people; it shall break in pieces and consume all these kingdoms, but it shall stand for ever.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 45] Forasmuch as thou sawest that a stone was cut out of the mountain without hands, and that it broke in pieces the iron, the brass, the clay, the silver, and the gold; the great God hath made known to the king what shall come to pass hereafter; and the dream is certain, and the interpretation thereof sure.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 46] Then the king Nebuchadnezzar fell upon his face, and worshipped Daniel, and commanded that they should offer an offering and sweet odours unto him.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 47] The king spoke unto Daniel, and said: 'Of a truth it is, that your God is the God of gods, and the Lord of kings, and a revealer of secrets, seeing thou hast been able to reveal this secret.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 48] Then the king made Daniel great, and gave him many great gifts, and made him to rule over the whole province of Babylon, and to be chief prefect over all the wise men of Babylon.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 49] And Daniel requested of the king, and he appointed Shadrach, Meshach, and Abed-nego, over the affairs of the province of Babylon; but Daniel was in the gate of the king.
