[ERV | EN | OT | Genesis | Chapter 41 | Verse 1] And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 24] and the thin ears swallowed up the seven good ears: and I told it unto the magicians; but there was none that could declare it to me.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 25] And Joseph said unto Pharaoh, The dream of Pharaoh is one: what God is about to do he hath declared unto Pharaoh.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 26] The seven good kine are seven years; and the seven good ears are seven years: the dream is one.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 27] And the seven lean and ill favoured kine that came up after them are seven years, and also the seven empty ears blasted with the east wind; they shall be seven years of famine.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 28] That is the thing which I spake unto Pharaoh: what God is about to do he hath shewed unto Pharaoh.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 29] Behold, there come seven years of great plenty throughout all the land of Egypt:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 30] and there shall arise after them seven years of famine; and all the plenty shall be forgotten in the land of Egypt; and the famine shall consume the land;
[ERV | EN | OT | Genesis | Chapter 41 | Verse 31] and the plenty shall not be known in the land by reason of that famine which followeth; for it shall be very grievous.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 32] And for that the dream was doubled unto Pharaoh twice, it is because the thing is established by God, and God will shortly bring it to pass.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 33] Now therefore let Pharaoh look out a man discreet and wise, and set him over the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 34] Let Pharaoh do this, and let him appoint overseers over the land, and take up the fifth part of the land of Egypt in the seven plenteous years.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 35] And let them gather all the food of these good years that come, and lay up corn under the hand of Pharaoh for food in the cities, and let them keep it.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 36] And the food shall be for a store to the land against the seven years of famine, which shall be in the land of Egypt; that the land perish not through the famine.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 37] And the thing was good in the eyes of Pharaoh, and in the eyes of all his servants.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 38] And Pharaoh said unto his servants, Can we find such a one as this, a man in whom the spirit of God is?
[ERV | EN | OT | Genesis | Chapter 41 | Verse 39] And Pharaoh said unto Joseph, Forasmuch as God hath shewed thee all this, there is none so discreet and wise as thou:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 40] thou shalt be over my house, and according unto thy word shall all my people be ruled: only in the throne will I be greater than thou.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 41] And Pharaoh said unto Joseph, See, I have set thee over all the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 42] And Pharaoh took off his signet ring from his hand, and put it upon Joseph’s hand, and arrayed him in vestures of fine linen, and put a gold chain about his neck;
[ERV | EN | OT | Genesis | Chapter 41 | Verse 43] and he made him to ride in the second chariot which he had; and they cried before him, Bow the knee: and he set him over all the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 44] And Pharaoh said unto Joseph, I am Pharaoh, and without thee shall no man lift up his hand or his foot in all the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 45] And Pharaoh called Joseph’s name Zaphenath-paneah; and he gave him to wife Asenath the daughter of Poti-phera priest of On. And Joseph went out over the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 46] And Joseph was thirty years old when he stood before Pharaoh king of Egypt. And Joseph went out from the presence of Pharaoh, and went throughout all the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 47] And in the seven plenteous years the earth brought forth by handfuls.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 48] And he gathered up all the food of the seven years which were in the land of Egypt, and laid up the food in the cities: the food of the field, which was round about every city, laid he up in the same.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 49] And Joseph laid up corn as the sand of the sea, very much, until he left numbering; for it was without number.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 50] And unto Joseph were born two sons before the year of famine came, which Asenath the daughter of Poti-phera priest of On bare unto him.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 51] And Joseph called the name of the firstborn Manasseh: For, said he, God hath made me forget all my toil, and all my father’s house.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 52] And the name of the second called he Ephraim: For God hath made me fruitful in the land of my affliction.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 53] And the seven years of plenty, that was in the land of Egypt, came to an end.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 54] And the seven years of famine began to come, according as Joseph had said: and there was famine in all lands; but in all the land of Egypt there was bread.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 55] And when all the land of Egypt was famished, the people cried to Pharaoh for bread: and Pharaoh said unto all the Egyptians, Go unto Joseph; what he saith to you, do.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 56] And the famine was over all the face of the earth: and Joseph opened all the storehouses, and sold unto the Egyptians; and the famine was sore in the land of Egypt.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 57] And all countries came into Egypt to Joseph for to buy corn; because the famine was sore in all the earth.
