[ERV | EN | OT | Genesis | Chapter 36 | Verse 1] Now these are the generations of Esau ( the same is Edom).
[ERV | EN | OT | Genesis | Chapter 36 | Verse 32] And Bela the son of Beor reigned in Edom; and the name of his city was Dinhabah.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 33] And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 34] And Jobab died, and Husham of the land of the Temanites reigned in his stead.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 35] And Husham died, and Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 36] And Hadad died, and Samlah of Masrekah reigned in his stead.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 37] And Samlah died, and Shaul of Rehoboth by the River reigned in his stead.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 38] And Shaul died, and Baal-hanan the son of Achbor reigned in his stead.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 39] And Baal-hanan the son of Achbor died, and Hadar reigned in his stead: and the name of his city was Pau; and his wife’s name was Mehetabel, the daughter of Matred, the daughter of Me-zahab.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 40] And these are the names of the dukes that came of Esau, according to their families, after their places, by their names; duke Timna, duke Alvah, duke Jetheth;
[ERV | EN | OT | Genesis | Chapter 36 | Verse 41] duke Oholibamah, duke Elah, duke Pinon;
[ERV | EN | OT | Genesis | Chapter 36 | Verse 42] duke Kenaz, duke Teman, duke Mibzar;
[ERV | EN | OT | Genesis | Chapter 36 | Verse 43] duke Magdiel, duke Iram: these be the dukes of Edom, according to their habitations in the land of their possession. This is Esau the father of the Edomites.
