[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] And all Israel assembled themselves to David to Hebron, saying, Behold, we are thy bone and thy flesh.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 14] And they stood in the midst of the plot and delivered it, and smote the Philistines; and Jehovah wrought a great deliverance.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 15] And three of the thirty chiefs went down to the rock to David, to the cave of Adullam, when the army of the Philistines was encamped in the valley of Rephaim.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 16] And David was then in the stronghold; and the Philistines' garrison was then at Bethlehem.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 17] And David longed, and said, Oh that one would give me to drink of the water of the well of Bethlehem, which is in the gate!
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 18] And the three broke through the camp of the Philistines, and drew water out of the well of Bethlehem, which is in the gate, and took it, and brought it to David; David however would not drink of it, but poured it out to Jehovah.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 19] And he said, My God forbid it me, that I should do this thing! should I drink the blood of these men [who went] at the risk of their lives? for at the risk of their lives they brought it. Therefore he would not drink it. These things did the three mighty men.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 20] And Abishai the brother of Joab, he was the chief of three; and he brandished his spear against three hundred and slew them; and he had a name among the three.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 21] Of the three he was more honourable than the two, and he was their captain; but he did not attain to the [first] three.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 22] Benaiah the son of Jehoiada, the son of a valiant man, great in exploits, of Kabzeel: he it was that smote two lions of Moab; and he went down and smote a lion in the midst of a pit on a snowy day.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 23] He also smote the Egyptian, a man of stature, five cubits high: and in the Egyptian's hand was a spear like a weaver's beam; and he went down to him with a staff, and plucked the spear out of the Egyptian's hand, and slew him with his own spear.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 24] These things did Benaiah the son of Jehoiada, and he had a name among the three mighty men.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 25] Behold, he was honoured above the thirty, but he did not attain to the [first] three. And David set him in his council.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 26] And the valiant men of the forces were: Asahel the brother of Joab, Elhanan the son of Dodo of Bethlehem,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 27] Shammoth the Harorite, Helez the Pelonite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 28] Ira the son of Ikkesh the Tekoite, Abiezer the Anathothite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 29] Sibbechai the Hushathite, Ilai the Ahohite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 30] Maharai the Netophathite, Heled the son of Baanah the Netophathite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 31] Ittai the son of Ribai of Gibeah of the children of Benjamin, Benaiah the Pirathonite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 32] Hurai of the brooks of Gaash, Abiel the Arbathite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 33] Azmaveth the Baharumite, Eliahba the Shaalbonite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 34] Bene-Hashem the Gizonite, Jonathan the son of Shage the Hararite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 35] Ahiam the son of Sacar the Hararite, Eliphal the son of Ur,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 36] Hepher the Mecherathite, Ahijah the Pelonite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 37] Hezro the Carmelite, Naarai the son of Ezbai,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 38] Joel the brother of Nathan, Mibhar the son of Hagri,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 39] Zelek the Ammonite, Naharai the Berothite, the armour-bearer of Joab the son of Zeruiah,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 40] Ira the Ithrite, Gareb the Ithrite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 41] Uriah the Hittite, Zabad the son of Ahlai,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 42] Adina the son of Shiza the Reubenite, a captain of the Reubenites, and thirty with him;
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 43] Hanan the son of Maachah, and Joshaphat the Mithnite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 44] Uzzia the Ashtarothite, Shama and Jeiel the sons of Hotham the Aroerite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 45] Jediael the son of Shimri, and Joha his brother, the Tizite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 46] Eliel of Mahavim, and Jeribai, and Joshaviah, the sons of Elnaam, and Jithmah the Moabite,
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 47] Eliel, and Obed, and Jaasiel the Mezobaite.
