[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 1] And the sons of Issachar were Tola and Puah, Jashub and Shimron, four.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 17] And the sons of Ulam: Bedan. These were the sons of Gilead, the son of Machir, the son of Manasseh.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 18] And his sister Moleketh bore Ishhod, and Abiezer, and Mahlah.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 19] And the sons of Shemidah were Ahian, and Shechem, and Likhi, and Aniam.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 20] And the sons of Ephraim: Shuthelah, and Bered his son, and Tahath his son, and Eladah his son, and Tahath his son,
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 21] and Zabad his son, and Shuthelah his son, and Ezer, and Elad. And the men of Gath born in the land slew them, because they came down to take their cattle.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 22] And Ephraim their father mourned many days, and his brethren came to comfort him.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 23] And he went in to his wife; and she conceived, and bore a son; and he called his name Beriah, for [he was born] when calamity was in his house.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 24] And his daughter was Sheerah; and she built Beth-horon the nether, and the upper, and Uzzen-sheerah.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 25] And his son was Rephah, and Resheph, and Telah his son, and Tahan his son,
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 26] Laadan his son, Ammihud his son, Elishama his son,
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 27] Nun his son, Joshua his son.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 28] And their possession and dwelling-places were Bethel and its dependent villages, and eastward Naaran, and westward Gezer and its dependent villages, and Shechem and its dependent villages as far as to Gazah and its dependent villages.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 29] And in the hands of the children of Manasseh, Beth-shean and its dependent villages, Taanach and its dependent villages, Megiddo and its dependent villages, Dor and its dependent villages. In these dwelt the children of Joseph the son of Israel.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 30] The sons of Asher: Jimnah, and Jishvah, and Jishvi, and Beriah; Serah their sister.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 31] And the sons of Beriah: Heber, and Malchiel, who is the father of Birzavith.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 32] And Heber begot Japhlet, and Shomer, and Hotham, and Shua their sister.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 33] And the sons of Japhlet: Pasach, and Bimhal, and Ashvath; these are the sons of Japhlet.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 34] And the sons of Shemer: Ahi, and Rohgah, and Hubbah, and Aram.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 35] And the sons of his brother Helem: Zophah, and Jimna, and Shelesh, and Amal.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 36] The sons of Zophah: Suah, and Harnepher, and Shual, and Beri, and Jimrah,
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 37] Bezer, and Hod, and Shamma, and Shilshah, and Jithran, and Beera.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 38] And the sons of Jether: Jephunneh, and Pispah, and Ara.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 39] And the sons of Ulla: Arah, and Hanniel, and Rizia.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 40] All these were the sons of Asher, heads of fathers' houses, choice men, mighty of valour, chiefs of the princes. And their number according to their genealogy, registered as fit for service for war, was twenty-six thousand men.
