[LXX | EL | OT | Judges | Chapter 8 | Verse 1] Καὶ εἶπαν πρὸς Γεδεὼν ἀνὴρ Ἐφραὶμ, τί τὸ ῥῆμα τοῦτο ἐποίησας ἡμῖν, τοῦ μὴ καλέσαι ἡμᾶς ὅτε ἐπορεύθης παρατάξασθαι ἐν Μαδιάμ; καὶ διελέξαντο πρὸς αὐτὸν ἰσχυρῶς.
[LXX | EL | OT | Judges | Chapter 8 | Verse 21] Καὶ εἶπε Ζεβεὲ καὶ Σαλμανὰ, ἀνάστα σὺ, καὶ συνάντησον ἡμῖν, ὅτι ὡς ἀνδρὸς ἡ δύναμίς σου· καὶ ἀνέστη Γεδεὼν, καὶ ἀπέκτεινε τὸν Ζεβεὲ καὶ τὸν Σαλμανά· καὶ ἔλαβε τοὺς μηνίσκους τοὺς ἐν τοῖς τραχήλοις τῶν καμήλων αὐτῶν.
[LXX | EL | OT | Judges | Chapter 8 | Verse 22] Καὶ εἶπον ἀνὴρ Ἰσραὴλ πρὸς Γεδεὼν, κύριε, ἄρξον ἡμῶν καὶ σὺ, καὶ ὁ υἱός σου, καὶ ὁ υἱὸς τοῦ υἱοῦ σου, ὅτι σὺ ἔσωσας ἡμᾶς ἐκ χειρὸς Μαδιάμ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 23] Καὶ εἶπε πρὸς αὐτοὺς Γεδεὼν, οὐκ ἄρξω ἐγὼ, καὶ οὐκ ἄρξει ὁ υἱός μου ἐν ὑμῖν· Κύριος ἄρξει ὑμῶν.
[LXX | EL | OT | Judges | Chapter 8 | Verse 24] Καὶ εἶπε πρὸς αὐτοὺς Γεδεὼν, αἰτήσομαι παρʼ ὑμῶν αἴτημα, καὶ δότε μοι ἀνὴρ ἐνώτιον ἐκ σκύλων αὐτοῦ· ὅτι ἐνώτια χρυσᾶ αὐτοῖς, ὅτι ἦσαν Ἰσμαηλῖται.
[LXX | EL | OT | Judges | Chapter 8 | Verse 25] Καὶ εἶπαν, διδόντες δώσομεν· καὶ ἀνέπτυξε τὸ ἱμάτιον αὐτοῦ, καὶ ἔβαλεν ἐκεῖ ἀνὴρ ἐνώτιον σκύλων αὐτοῦ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 26] Καὶ ἐγένετο ὁ σταθμὸς τῶν ἐνωτίων τῶν χρυσῶν ὧν ᾔτησε, χίλιοι καὶ ἑπτακόσιοι χρυσοὶ, πάρεξ τῶν μηνίσκων καὶ τῶν στραγγαλίδων καὶ τῶν ἱματίων καὶ πορφυρίδων τῶν ἐπὶ βασιλεῦσι Μαδιὰμ, καὶ ἐκτὸς τῶν περιθεμάτων ἃ ἦν ἐν τοῖς τραχήλοις τῶν καμήλων αὐτῶν.
[LXX | EL | OT | Judges | Chapter 8 | Verse 27] Καὶ ἐποίησεν αὐτὸ Γεδεὼν εἰς ἐφὼδ, καὶ ἔστησεν αὐτὸ ἐν πόλει αὐτοῦ ἐν Ἐφραθά καὶ ἐξεπόρνευσε πᾶς Ἰσραὴλ ὀπίσω αὐτοῦ ἐκεῖ· καὶ ἐγένετο τῷ Γεδεὼν καὶ τῷ οἴκῳ αὐτοῦ εἰς σκῶλον.
[LXX | EL | OT | Judges | Chapter 8 | Verse 28] Καὶ συνεστάλη Μαδιὰμ ἐνώπιον υἱῶν Ἰσραὴλ, καὶ οὐ προσέθηκαν ἆραι κεφαλὴν αὐτῶν· καὶ ἡσύχασεν ἡ γῆ τεσσαράκοντα ἔτη ἐν ἡμέραις Γεδεών.
[LXX | EL | OT | Judges | Chapter 8 | Verse 29] Καὶ ἐπορεύθη Ἱεροβάαλ υἱὸς Ἰωὰς, καὶ ἐκάθισεν ἐν οἴκῳ αὐτοῦ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 30] Καὶ τῷ Γεδεὼν ἦσαν υἱοὶ ἑβδομήκοντα ἐκπορευόμενοι ἐκ μηρῶν αὐτοῦ, ὅτι γυναῖκες πολλαὶ ἦσαν αὐτῷ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 31] Καὶ παλλακὴ αὐτοῦ ἦν ἐν Συχὲμ, καὶ ἔτεκεν αὐτῷ καί γε αὐτὴ υἱὸν, καὶ ἔθηκε τὸ ὄνομα Ἀβιμέλεχ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 32] Καὶ ἀπέθανε Γεδεὼν υἱὸς Ἰωὰς ἐν πόλει αὐτοῦ, καὶ ἐτάφη ἐν τῷ τάφῳ Ἰωὰς τοῦ πατρὸς αὐτοῦ ἐν Ἐφραθὰ Ἀβὶ Ἐσδρί.
[LXX | EL | OT | Judges | Chapter 8 | Verse 33] Καὶ ἐγενήθη ὡς ἀπέθανε Γεδεὼν, καὶ ἐπέστρεψαν οἱ υἱοὶ Ἰσραὴλ, καὶ ἐξεπόρνευσαν ὀπίσω τῶν Βααλὶμ, καὶ ἔθηκαν ἑαυτοῖς τῷ Βάαλ διαθήκην τοῦ εἶναι αὐτοῖς αὐτὸν εἰς θεόν.
[LXX | EL | OT | Judges | Chapter 8 | Verse 34] Καὶ οὐκ ἐμνήσθησαν οἱ υἱοὶ Ἰσραὴλ Κυρίου τοῦ Θεοῦ τοῦ ῥυσαμένου αὐτοὺς ἐκ χειρὸς πάντων τῶν θλιβόντων αὐτοὺς κυκλόθεν.
[LXX | EL | OT | Judges | Chapter 8 | Verse 35] Καὶ οὐκ ἐποίησαν ἔλεος μετὰ τοῦ οἴκου Ἱεροβάαλ, αὐτός ἐστι Γεδεὼν, κατὰ πάντα τὰ ἀγαθὰ ἃ ἐποίησε μετὰ Ἰσραήλ.
