[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 1] وَأَنَا أَيُّهَا ٱلْإِخْوَةُ لَمْ أَسْتَطِعْ أَنْ أُكَلِّمَكُمْ كَرُوحِيِّينَ، بَلْ كَجَسَدِيِّينَ كَأَطْفَالٍ فِي ٱلْمَسِيحِ،
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 12] وَلَكِنْ إِنْ كَانَ أَحَدُ يَبْنِي عَلَى هَذَا ٱلْأَسَاسِ: ذَهَبًا، فِضَّةً، حِجَارَةً كَرِيمَةً، خَشَبًا، عُشْبًا، قَشًّا،
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 13] فَعَمَلُ كُلِّ وَاحِدٍ سَيَصِيرُ ظَاهِرًا لِأَنَّ ٱلْيَوْمَ سَيُبَيِّنُهُ. لِأَنَّهُ بِنَارٍ يُسْتَعْلَنُ، وَسَتَمْتَحِنُ ٱلنَّارُ عَمَلَ كُلِّ وَاحِدٍ مَا هُوَ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 14] إِنْ بَقِيَ عَمَلُ أَحَدٍ قَدْ بَنَاهُ عَلَيْهِ فَسَيَأْخُذُ أُجْرَةً.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 15] إِنِ ٱحْتَرَقَ عَمَلُ أَحَدٍ فَسَيَخْسَرُ، وَأَمَّا هُوَ فَسَيَخْلُصُ، وَلَكِنْ كَمَا بِنَارٍ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 16] أَمَا تَعْلَمُونَ أَنَّكُمْ هَيْكَلُ ٱللهِ، وَرُوحُ ٱللهِ يَسْكُنُ فِيكُمْ؟
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 17] إِنْ كَانَ أَحَدٌ يُفْسِدُ هَيْكَلَ ٱللهِ فَسَيُفْسِدُهُ ٱللهُ، لِأَنَّ هَيْكَلَ ٱللهِ مُقَدَّسٌ ٱلَّذِي أَنْتُمْ هُوَ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 18] لَا يَخْدَعَنَّ أَحَدٌ نَفْسَهُ. إِنْ كَانَ أَحَدٌ يَظُنُّ أَنَّهُ حَكِيمٌ بَيْنَكُمْ فِي هَذَا ٱلدَّهْرِ، فَلْيَصِرْ جَاهِلًا لِكَيْ يَصِيرَ حَكِيمًا!
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 19] لِأَنَّ حِكْمَةَ هَذَا ٱلْعَالَمِ هِيَ جَهَالَةٌ عِنْدَ ٱللهِ، لِأَنَّهُ مَكْتُوبٌ: «ٱلْآخِذُ ٱلْحُكَمَاءَ بِمَكْرِهِمْ».
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 20] وَأَيْضًا: «ٱلرَّبُّ يَعْلَمُ أَفْكَارَ ٱلْحُكَمَاءِ أَنَّهَا بَاطِلَةٌ».
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 21] إِذًا لَا يَفْتَخِرَنَّ أَحَدٌ بِٱلنَّاسِ! فَإِنَّ كُلَّ شَيْءٍ لَكُمْ:
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 22] أَبُولُسُ، أَمْ أَبُلُّوسُ، أَمْ صَفَا، أَمِ ٱلْعَالَمُ، أَمِ ٱلْحَيَاةُ، أَمِ ٱلْمَوْتُ، أَمِ ٱلْأَشْيَاءُ ٱلْحَاضِرَةُ، أَمِ ٱلْمُسْتَقْبِلَةُ. كُلُّ شَيْءٍ لَكُمْ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 23] وَأَمَّا أَنْتُمْ فَلِلْمَسِيحِ، وَٱلْمَسِيحُ لِلهِ.
