[KJV | EN | NT | Acts | Chapter 27 | Verse 1] And when it was determined that we should sail into Italy, they delivered Paul and certain other prisoners unto one named Julius, a centurion of Augustus’ band.
[KJV | EN | NT | Acts | Chapter 27 | Verse 17] which when they had taken up, they used helps, undergirding the ship; and fearing lest they should fall into the quicksands, strake sail, and so were driven.
[KJV | EN | NT | Acts | Chapter 27 | Verse 18] And we being exceedingly tossed with a tempest, the next day they lightened the ship;
[KJV | EN | NT | Acts | Chapter 27 | Verse 19] and the third day we cast out with our own hands the tackling of the ship.
[KJV | EN | NT | Acts | Chapter 27 | Verse 20] And when neither sun nor stars in many days appeared, and no small tempest lay on us, all hope that we should be saved was then taken away.
[KJV | EN | NT | Acts | Chapter 27 | Verse 21] But after long abstinence Paul stood forth in the midst of them, and said, Sirs, ye should have hearkened unto me, and not have loosed from Crete, and to have gained this harm and loss.
[KJV | EN | NT | Acts | Chapter 27 | Verse 22] And now I exhort you to be of good cheer: for there shall be no loss of any man’s life among you, but of the ship.
[KJV | EN | NT | Acts | Chapter 27 | Verse 23] For there stood by me this night the angel of God, whose I am, and whom I serve,
[KJV | EN | NT | Acts | Chapter 27 | Verse 24] saying, Fear not, Paul; thou must be brought before Cesar: and lo, God hath given thee all them that sail with thee.
[KJV | EN | NT | Acts | Chapter 27 | Verse 25] Wherefore, sirs, be of good cheer: for I believe God, that it shall be even as it was told me.
[KJV | EN | NT | Acts | Chapter 27 | Verse 26] Howbeit we must be cast upon a certain island.
[KJV | EN | NT | Acts | Chapter 27 | Verse 27] But when the fourteenth night was come, as we were driven up and down in Adria, about midnight the shipmen deemed that they drew near to some country;
[KJV | EN | NT | Acts | Chapter 27 | Verse 28] and sounded, and found it twenty fathoms: and when they had gone a little further, they sounded again, and found it fifteen fathoms.
[KJV | EN | NT | Acts | Chapter 27 | Verse 29] Then fearing lest we should have fallen upon rocks, they cast four anchors out of the stern, and wished for the day.
[KJV | EN | NT | Acts | Chapter 27 | Verse 30] And as the shipmen were about to flee out of the ship, when they had let down the boat into the sea, under colour as though they would have cast anchors out of the foreship,
[KJV | EN | NT | Acts | Chapter 27 | Verse 31] Paul said to the centurion and to the soldiers, Except these abide in the ship, ye cannot be saved.
[KJV | EN | NT | Acts | Chapter 27 | Verse 32] Then the soldiers cut off the ropes of the boat, and let her fall off.
[KJV | EN | NT | Acts | Chapter 27 | Verse 33] And while the day was coming on, Paul besought them all to take meat, saying, This day is the fourteenth day that ye have tarried and continued fasting, having taken nothing.
[KJV | EN | NT | Acts | Chapter 27 | Verse 34] Wherefore I pray you to take some meat: for this is for your health: for there shall not a hair fall from the head of any of you.
[KJV | EN | NT | Acts | Chapter 27 | Verse 35] And when he had thus spoken, he took bread, and gave thanks to God in presence of them all: and when he had broken it, he began to eat.
[KJV | EN | NT | Acts | Chapter 27 | Verse 36] Then were they all of good cheer, and they also took some meat.
[KJV | EN | NT | Acts | Chapter 27 | Verse 37] And we were in all in the ship two hundred threescore and sixteen souls.
[KJV | EN | NT | Acts | Chapter 27 | Verse 38] And when they had eaten enough, they lightened the ship, and cast out the wheat into the sea.
[KJV | EN | NT | Acts | Chapter 27 | Verse 39] And when it was day, they knew not the land: but they discovered a certain creek with a shore, into the which they were minded, if it were possible, to thrust in the ship.
[KJV | EN | NT | Acts | Chapter 27 | Verse 40] And when they had taken up the anchors, they committed themselves unto the sea, and loosed the rudder bands, and hoised up the mainsail to the wind, and made toward shore.
[KJV | EN | NT | Acts | Chapter 27 | Verse 41] And falling into a place where two seas met, they ran the ship aground; and the forepart stuck fast, and remained unmoveable, but the hinder part was broken with the violence of the waves.
[KJV | EN | NT | Acts | Chapter 27 | Verse 42] And the soldiers’ counsel was to kill the prisoners, lest any of them should swim out, and escape.
[KJV | EN | NT | Acts | Chapter 27 | Verse 43] But the centurion, willing to save Paul, kept them from their purpose; and commanded that they which could swim should cast themselves first into the sea, and get to land:
[KJV | EN | NT | Acts | Chapter 27 | Verse 44] and the rest, some on boards, and some on broken pieces of the ship. And so it came to pass, that they escaped all safe to land.
