[KJV | EN | NT | Acts | Chapter 2 | Verse 1] And when the day of Pentecost was fully come, they were all with one accord in one place.
[KJV | EN | NT | Acts | Chapter 2 | Verse 26] therefore did my heart rejoice, and my tongue was glad; moreover also my flesh shall rest in hope:
[KJV | EN | NT | Acts | Chapter 2 | Verse 27] because thou wilt not leave my soul in hell, neither wilt thou suffer thine Holy One to see corruption.
[KJV | EN | NT | Acts | Chapter 2 | Verse 28] Thou hast made known to me the ways of life; thou shalt make me full of joy with thy countenance.
[KJV | EN | NT | Acts | Chapter 2 | Verse 29] Men and brethren, let me freely speak unto you of the patriarch David, that he is both dead and buried, and his sepulchre is with us unto this day.
[KJV | EN | NT | Acts | Chapter 2 | Verse 30] Therefore being a prophet, and knowing that God had sworn with an oath to him, that of the fruit of his loins, according to the flesh, he would raise up Christ to sit on his throne;
[KJV | EN | NT | Acts | Chapter 2 | Verse 31] he seeing this before, spake of the resurrection of Christ, that his soul was not left in hell, neither his flesh did see corruption.
[KJV | EN | NT | Acts | Chapter 2 | Verse 32] This Jesus hath God raised up, whereof we all are witnesses.
[KJV | EN | NT | Acts | Chapter 2 | Verse 33] Therefore being by the right hand of God exalted, and having received of the Father the promise of the Holy Ghost, he hath shed forth this, which ye now see and hear.
[KJV | EN | NT | Acts | Chapter 2 | Verse 34] For David is not ascended into the heavens: but he saith himself, The Lord said unto my Lord, Sit thou on my right hand,
[KJV | EN | NT | Acts | Chapter 2 | Verse 35] until I make thy foes thy footstool.
[KJV | EN | NT | Acts | Chapter 2 | Verse 36] Therefore let all the house of Israel know assuredly, that God hath made that same Jesus, whom ye have crucified, both Lord and Christ.
[KJV | EN | NT | Acts | Chapter 2 | Verse 37] Now when they heard this, they were pricked in their heart, and said unto Peter and to the rest of the apostles, Men and brethren, what shall we do?
[KJV | EN | NT | Acts | Chapter 2 | Verse 38] Then Peter said unto them, Repent, and be baptized every one of you in the name of Jesus Christ for the remission of sins, and ye shall receive the gift of the Holy Ghost.
[KJV | EN | NT | Acts | Chapter 2 | Verse 39] For the promise is unto you, and to your children, and to all that are afar off, even as many as the Lord our God shall call.
[KJV | EN | NT | Acts | Chapter 2 | Verse 40] And with many other words did he testify and exhort, saying, Save yourselves from this untoward generation.
[KJV | EN | NT | Acts | Chapter 2 | Verse 41] Then they that gladly received his word were baptized: and the same day there were added unto them about three thousand souls.
[KJV | EN | NT | Acts | Chapter 2 | Verse 42] And they continued stedfastly in the apostles’ doctrine and fellowship, and in breaking of bread, and in prayers.
[KJV | EN | NT | Acts | Chapter 2 | Verse 43] And fear came upon every soul: and many wonders and signs were done by the apostles.
[KJV | EN | NT | Acts | Chapter 2 | Verse 44] And all that believed were together, and had all things common;
[KJV | EN | NT | Acts | Chapter 2 | Verse 45] and sold their possessions and goods, and parted them to all men, as every man had need.
[KJV | EN | NT | Acts | Chapter 2 | Verse 46] And they, continuing daily with one accord in the temple, and breaking bread from house to house, did eat their meat with gladness and singleness of heart,
[KJV | EN | NT | Acts | Chapter 2 | Verse 47] praising God, and having favour with all the people. And the Lord added to the church daily such as should be saved.
