[KJV | EN | OT | Psalms | Chapter 78 | Verse 1] Give ear, O my people, to my law: Incline your ears to the words of my mouth.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 27] He rained flesh also upon them as dust, And feathered fowls like as the sand of the sea:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 28] And he let it fall in the midst of their camp, Round about their habitations.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 29] So they did eat, and were well filled: For he gave them their own desire;
[KJV | EN | OT | Psalms | Chapter 78 | Verse 30] They were not estranged from their lust. But while their meat was yet in their mouths,
[KJV | EN | OT | Psalms | Chapter 78 | Verse 31] The wrath of God came upon them, And slew the fattest of them, And smote down the chosen men of Israel.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 32] For all this they sinned still, And believed not for his wondrous works.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 33] Therefore their days did he consume in vanity, And their years in trouble.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 34] When he slew them, then they sought him: And they returned and inquired early after God.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 35] And they remembered that God was their rock, And the high God their redeemer.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 36] Nevertheless they did flatter him with their mouth, And they lied unto him with their tongues.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 37] For their heart was not right with him, Neither were they stedfast in his covenant.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 38] But he, being full of compassion, forgave their iniquity, and destroyed them not: Yea, many a time turned he his anger away, And did not stir up all his wrath.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 39] For he remembered that they were but flesh; A wind that passeth away, and cometh not again.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 40] How oft did they provoke him in the wilderness, And grieve him in the desert!
[KJV | EN | OT | Psalms | Chapter 78 | Verse 41] Yea, they turned back and tempted God, And limited the Holy One of Israel.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 42] They remembered not his hand: Nor the day when he delivered them from the enemy.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 43] How he had wrought his signs in Egypt, And his wonders in the field of Zoan:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 44] And had turned their rivers into blood; And their floods, that they could not drink.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 45] He sent divers sorts of flies among them, which devoured them; And frogs, which destroyed them.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 46] He gave also their increase unto the caterpillar, And their labour unto the locust.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 47] He destroyed their vines with hail, And their sycomore trees with frost.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 48] He gave up their cattle also to the hail, And their flocks to hot thunderbolts.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 49] He cast upon them the fierceness of his anger, Wrath, and indignation, and trouble, By sending evil angels among them.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 50] He made a way to his anger; He spared not their soul from death, But gave their life over to the pestilence;
[KJV | EN | OT | Psalms | Chapter 78 | Verse 51] And smote all the firstborn in Egypt; The chief of their strength in the tabernacles of Ham:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 52] But made his own people to go forth like sheep, And guided them in the wilderness like a flock.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 53] And he led them on safely, so that they feared not: But the sea overwhelmed their enemies.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 54] And he brought them to the border of his sanctuary, Even to this mountain, which his right hand had purchased.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 55] He cast out the heathen also before them, And divided them an inheritance by line, And made the tribes of Israel to dwell in their tents.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 56] Yet they tempted and provoked the most high God, And kept not his testimonies:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 57] But turned back, and dealt unfaithfully like their fathers: They were turned aside like a deceitful bow.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 58] For they provoked him to anger with their high places, And moved him to jealousy with their graven images.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 59] When God heard this, he was wroth, And greatly abhorred Israel:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 60] So that he forsook the tabernacle of Shiloh, The tent which he placed among men;
[KJV | EN | OT | Psalms | Chapter 78 | Verse 61] And delivered his strength into captivity, And his glory into the enemy’s hand.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 62] He gave his people over also unto the sword; And was wroth with his inheritance.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 63] The fire consumed their young men; And their maidens were not given to marriage.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 64] Their priests fell by the sword; And their widows made no lamentation.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 65] Then the Lord awaked as one out of sleep, And like a mighty man that shouteth by reason of wine.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 66] And he smote his enemies in the hinder parts: He put them to a perpetual reproach.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 67] Moreover he refused the tabernacle of Joseph, And chose not the tribe of Ephraim:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 68] But chose the tribe of Judah, The mount Zion which he loved.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 69] And he built his sanctuary like high palaces, Like the earth which he hath established for ever.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 70] He chose David also his servant, And took him from the sheepfolds:
[KJV | EN | OT | Psalms | Chapter 78 | Verse 71] From following the ewes great with young he brought him To feed Jacob his people, And Israel his inheritance.
[KJV | EN | OT | Psalms | Chapter 78 | Verse 72] So he fed them according to the integrity of his heart; And guided them by the skilfulness of his hands.
