[IRV | MR | NT | Mark | Chapter 15 | Verse 1] पहाट होताच मुख्य याजक लोक, वडीलजन, नियमशास्त्राचे शिक्षक व सर्व यहूदी सभा यांनी मसलत करून येशूला बांधून पिलाताच्या ताब्यात दिले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 23] त्यांनी त्यास बोळ मिसळलेला द्राक्षरस दिला परंतु त्याने तो घेतला नाही.
[IRV | MR | NT | Mark | Chapter 15 | Verse 24] त्यांनी त्यास वधस्तंभावर खिळले, कोणी कोणते कपडे घ्यावे यासाठी त्यांनी चिठठ्या टाकल्या व त्याचे कपडे वाटून घेतले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 25] त्यांनी त्यास वधस्तंभावर खिळले तेव्हा दिवसाचा तिसरा तास झाला होता.
[IRV | MR | NT | Mark | Chapter 15 | Verse 26] आणि त्याच्यावर त्याच्या दोषारोपाचा लेख, “यहूद्यांचा राजा” असा लिहिला होता.
[IRV | MR | NT | Mark | Chapter 15 | Verse 27] त्यांनी त्याच्याबरोबर दोन लुटारूंना एकाला त्याच्या उजवीकडे व दुसऱ्याला त्याच्या डावीकडे वधस्तंभावर खिळले होते.
[IRV | MR | NT | Mark | Chapter 15 | Verse 28] <range>
[IRV | MR | NT | Mark | Chapter 15 | Verse 29] जवळून जाणारे लोक त्याची निंदा करीत होते. ते आपली डोकी हलवून म्हणाले, अरे! परमेश्वराचे भवन पाडून ते तीन दिवासात बांधणारा तो तूच ना!
[IRV | MR | NT | Mark | Chapter 15 | Verse 30] वधस्तंभावरुन खाली ये आणि स्वतःला वाचव.
[IRV | MR | NT | Mark | Chapter 15 | Verse 31] तसेच मुख्य याजकांनी, नियमशास्त्राच्या शिक्षकांनी येशूची थट्टा केली आणि एकमेकास म्हणाले, त्याने दुसऱ्यांचे तारण केले पण त्यास स्वतःचा बचाव करता येत नाही!
[IRV | MR | NT | Mark | Chapter 15 | Verse 32] या इस्राएलाचा राजा ख्रिस्त याला वधस्तंभावरुन खाली येऊ द्या मग आम्ही ते पाहू आणि त्याच्यावर विश्वास ठेवू आणि जे त्याच्याबरोबर वधस्तंभावर खिळले होते त्यांनी देखील त्याचा अपमान केला.
[IRV | MR | NT | Mark | Chapter 15 | Verse 33] दुपारची वेळ झाली. सगळ्या देशभर अंधार पडला, तो अंधार दुपारी तीन वाजेपर्यंत राहिला.
[IRV | MR | NT | Mark | Chapter 15 | Verse 34] मग तीन वाजता येशू मोठ्याने आरोळी मारून म्हणाला, “एलोई, एलोई, लमा सबकथनी, म्हणजे, माझ्या देवा, माझ्या देवा, तू माझा त्याग का केलास?”
[IRV | MR | NT | Mark | Chapter 15 | Verse 35] जवळ उभे असलेल्या काहीजणांनी हे ऐकले तेव्हा ते म्हणाले, ऐका, तो एलीयाला बोलवत आहे.
[IRV | MR | NT | Mark | Chapter 15 | Verse 36] एकजण धावत गेला. त्याने स्पंज आंबेत बुडवून भरला. वेताच्या काठीवर ठेवला व तो येशूला पिण्यास दिला आणि म्हणाला, थांबा! एलीया येऊन त्यास खाली उतरवायला येतो की काय हे आपण पाहू.
[IRV | MR | NT | Mark | Chapter 15 | Verse 37] मग मोठ्याने आरोळी मारून येशूने प्राण सोडला.
[IRV | MR | NT | Mark | Chapter 15 | Verse 38] तेव्हा परमेश्वराच्या भवनातील पडदा वरपासून खालपर्यंत फाटला व त्याचे दोन भाग झाले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 39] येशूच्या पुढे उभे आलेल्या अधिकाऱ्याने जेव्हा त्याची आरोळी ऐकली आणि तो कसा मरण पावला हे पाहिले तेव्हा तो म्हणाला, खरोखर हा मनुष्य देवाचा पुत्र होता.
[IRV | MR | NT | Mark | Chapter 15 | Verse 40] तेथे असलेल्या काही स्त्रिया दुरून पाहत होत्या. त्यांच्यामध्ये मग्दालीया नगराची मरीया, याकोब व योसेफ यांची आई मरीया व सलोमी या होत्या.
[IRV | MR | NT | Mark | Chapter 15 | Verse 41] येशू जेव्हा गालील प्रांतात होता तेव्हा या स्त्रिया त्याच्यामागे जात व त्याची सेवा करीत असत. याशिवाय त्याच्याबरोबर यरूशलेम शहरापर्यंत आलेल्या इतर अनेक स्त्रियाही होत्या.
[IRV | MR | NT | Mark | Chapter 15 | Verse 42] त्या सुमारास संध्याकाळ झाली होती आणि तो तयारीचा म्हणजे शब्बाथाच्या आधीचा दिवस होता.
[IRV | MR | NT | Mark | Chapter 15 | Verse 43] योसेफ अरिमथाईकर न्यायसभेचा माननीय सभासद होता व तो सुद्धा देवाचे राज्य येण्याची वाट पाहत होता. तो योसेफ धैर्याने पिलाताकडे गेला आणि त्याने येशूचे शरीर मागितले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 44] येशू इतक्या लवकर कसा मरण पावला याचे पिलाताला आश्चर्य वाटले. मग त्याने सेनाधिकारी बोलावले आणि त्यांना विचारले. येशूला मरून बराच वेळ झाला की काय?
[IRV | MR | NT | Mark | Chapter 15 | Verse 45] सेनाधिकाऱ्याकडून ते कळाल्यावर, तेव्हा त्याने ते शरीर योसेफाला दिले.
[IRV | MR | NT | Mark | Chapter 15 | Verse 46] मग योसेफाने तागाचे वस्त्र विकत आणले आणि येशूला वधस्तंभावरुन खाली काढले व त्यास तागाच्या वस्त्रात गुंडाळून ते त्याने खडकात खोदलेल्या कबरेत ठेवले. नंतर त्याने कबरेच्या तोंडावर दगड बसविला.
[IRV | MR | NT | Mark | Chapter 15 | Verse 47] येशूला कोठे ठेवले हे मग्दालीया नगराची मरीया आणि याकोब व योसेफ यांची आई मरीया पाहत होत्या.
