[KJV | EN | OT | Exodus | Chapter 9 | Verse 1] Then the Lord said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the Lord God of the Hebrews, Let my people go, that they may serve me.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 22] And the Lord said unto Moses, Stretch forth thine hand toward heaven, that there may be hail in all the land of Egypt, upon man, and upon beast, and upon every herb of the field, throughout the land of Egypt.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 23] And Moses stretched forth his rod toward heaven: and the Lord sent thunder and hail, and the fire ran along upon the ground; and the Lord rained hail upon the land of Egypt.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 24] So there was hail, and fire mingled with the hail, very grievous, such as there was none like it in all the land of Egypt since it became a nation.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 25] And the hail smote throughout all the land of Egypt all that was in the field, both man and beast; and the hail smote every herb of the field, and brake every tree of the field.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 26] Only in the land of Goshen, where the children of Israel were, was there no hail.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 27] And Pharaoh sent, and called for Moses and Aaron, and said unto them, I have sinned this time: the Lord is righteous, and I and my people are wicked.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 28] Intreat the Lord (for it is enough) that there be no more mighty thunderings and hail; and I will let you go, and ye shall stay no longer.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 29] And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the Lord; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the Lord’s.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 30] But as for thee and thy servants, I know that ye will not yet fear the Lord God.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 31] And the flax and the barley was smitten: for the barley was in the ear, and the flax was bolled.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 32] But the wheat and the rye were not smitten: for they were not grown up.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 33] And Moses went out of the city from Pharaoh, and spread abroad his hands unto the Lord: and the thunders and hail ceased, and the rain was not poured upon the earth.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 34] And when Pharaoh saw that the rain and the hail and the thunders were ceased, he sinned yet more, and hardened his heart, he and his servants.
[KJV | EN | OT | Exodus | Chapter 9 | Verse 35] And the heart of Pharaoh was hardened, neither would he let the children of Israel go; as the Lord had spoken by Moses.
