[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 1] And king Astyages was gathered to his fathers, and Cyrus of Persia received his kingdom.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 14] So when they were gone forth, the king set meats before Bel. Now Daniel had commanded his servants to bring ashes, and those they strewed throughout all the temple in the presence of the king alone: then went they out, and shut the door, and sealed it with the king’s signet, and so departed.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 15] Now in the night came the priests with their wives and children, (as they were wont to do,) and did eat and drink up all.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 16] In the morning betime the king arose, and Daniel with him.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 17] And the king said, Daniel, are the seals whole? And he said, Yea, O king, they be whole.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 18] And as soon as he had opened the door, the king looked upon the table, and cried with a loud voice, Great art thou, O Bel, and with thee is no deceit at all.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 19] Then laughed Daniel, and held the king that he should not go in, and said, Behold now the pavement, and mark well whose footsteps are these.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 20] And the king said, I see the footsteps of men, women, and children. And then the king was angry,
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 21] and took the priests with their wives and children, who shewed him the privy doors, where they came in, and consumed such things as were upon the table.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 22] Therefore the king slew them, and delivered Bel into Daniel’s power, who destroyed him and his temple.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 23] And in that same place there was a great dragon, which they of Babylon worshipped.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 24] And the king said unto Daniel, Wilt thou also say that this is of brass? lo, he liveth, he eateth and drinketh; thou canst not say that he is no living god: therefore worship him.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 25] Then said Daniel unto the king, I will worship the Lord my God: for he is the living God.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 26] But give me leave, O king, and I shall slay this dragon without sword or staff. The king said, I give thee leave.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 27] Then Daniel took pitch, and fat, and hair, and did seethe them together, and made lumps thereof: this he put in the dragon’s mouth, and so the dragon burst in sunder: and Daniel said, Lo, these are the gods you worship.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 28] When they of Babylon heard that, they took great indignation, and conspired against the king, saying, The king is become a Jew, and he hath destroyed Bel, he hath slain the dragon, and put the priests to death.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 29] So they came to the king, and said, Deliver us Daniel, or else we will destroy thee and thine house.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 30] Now when the king saw that they pressed him sore, being constrained, he delivered Daniel unto them:
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 31] who cast him into the lions’ den: where he was six days.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 32] And in the den there were seven lions, and they had given them every day two carcases, and two sheep: which then were not given to them, to the intent they might devour Daniel.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 33] Now there was in Jewry a prophet, called Habacuc, who had made pottage, and had broken bread in a bowl, and was going into the field, for to bring it to the reapers.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 34] But the angel of the Lord said unto Habacuc, Go, carry the dinner that thou hast into Babylon unto Daniel, who is in the lions’ den.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 35] And Habacuc said, Lord, I never saw Babylon; neither do I know where the den is.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 36] Then the angel of the Lord took him by the crown, and bare him by the hair of his head, and through the vehemency of his spirit set him in Babylon over the den.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 37] And Habacuc cried, saying, O Daniel, Daniel, take the dinner which God hath sent thee.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 38] And Daniel said, Thou hast remembered me, O God: neither hast thou forsaken them that seek thee and love thee.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 39] So Daniel arose, and did eat: and the angel of the Lord set Habacuc in his own place again immediately.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 40] Upon the seventh day the king went to bewail Daniel: and when he came to the den, he looked in, and behold, Daniel was sitting.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 41] Then cried the king with a loud voice, saying, Great art thou, O Lord God of Daniel, and there is none other besides thee.
[KJV | EN | OT | Bel and the Dragon | Chapter 1 | Verse 42] And he drew him out, and cast those that were the cause of his destruction into the den: and they were devoured in a moment before his face.
