[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 1] నేను క్రీస్తులాగా ప్రవర్తిస్తున్న ప్రకారం మీరూ నాలాగా ఉండండి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 23] నేను మీకు అప్పగించిన దాన్ని ప్రభువే నాకు ఇచ్చాడు. ప్రభు యేసు అప్పగించబడిన రాత్రి, ఆయన ఒక రొట్టె చేత పట్టుకున్నాడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 24] స్తుతులు చెల్లించిన తరువాత దాన్ని విరిచి, “ఇది మీ కోసమైన నా శరీరం. తీసుకుని తినండి. నా జ్ఞాపకార్థం దీన్ని చేయండి” అని చెప్పాడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 25] భోజనం చేసిన తరువాత ఆ విధంగానే ఆయన పాత్రను చేత పట్టుకుని, “ఈ పాత్ర నా రక్తం మూలంగా చేసిన కొత్త నిబంధన. మీరు దీన్ని తాగిన ప్రతిసారీ నన్ను జ్ఞాపకం చేసుకోడానికి దీన్ని చేయండి” అన్నాడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 26] మీరు ఈ రొట్టెను తిని, ఈ పాత్రలోది తాగిన ప్రతిసారీ ప్రభువు వచ్చేవరకూ ఆయన మరణాన్ని ప్రకటిస్తున్నారు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 27] కాబట్టి ఎవరైతే అయోగ్యమైన విధానంలో ప్రభువు రొట్టెను తిని ఆయన పాత్రలోది తాగుతారో వారు ప్రభువు శరీరం, ఆయన రక్తం విషయంలో అపరాధులు అవుతారు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 28] కాబట్టి ప్రతి ఒక్కడూ తనను తాను పరీక్షించుకుని ఆ రొట్టె తిని, ఆ పాత్రలోది తాగాలి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 29] ఎందుకంటే ప్రభువు శరీరం గురించి సరైన అవగాహన లేకుండా దాన్ని తిని, తాగేవాడు తన మీదికి శిక్ష కొని తెచ్చుకుంటున్నాడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 30] ఈ కారణం చేతనే మీలో చాలామంది నీరసంగా, అనారోగ్యంగా ఉన్నారు. చాలామంది చనిపోయారు కూడా.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 31] అయితే మనలను మనం పరిశీలించుకుంటూ ఉంటే మన పైకి తీర్పు రాదు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 32] మనం తీర్పు పొందినా లోకంతో పాటు శిక్షకు గురి కాకుండా ప్రభువు మనలను శిక్షించి సరిదిద్దుతున్నాడు.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 33] కాబట్టి నా సోదర సోదరీలారా, మీరు భోజనం చేయడానికి వచ్చినప్పుడు ఒకడి కోసం ఒకడు వేచి ఉండండి.
[IRV | TE | NT | 1 Corinthians | Chapter 11 | Verse 34] మీరు ఇలా కలుసుకోవడం మీపై తీర్పు రావడానికి కారణం కాకుండేలా, ఆకలి వేసినవాడు తన ఇంట్లోనే భోజనం చేసి రావాలి. మీరు రాసిన మిగతా సంగతులను నేను మీ దగ్గరకి వచ్చినప్పుడు సరిచేస్తాను.
