[BSB | EN | NT | John | Chapter 5 | Verse 1] Some time later there was a feast of the Jews, and Jesus went up to Jerusalem.
[BSB | EN | NT | John | Chapter 5 | Verse 26] For as the Father has life in Himself, so also He has granted the Son to have life in Himself.
[BSB | EN | NT | John | Chapter 5 | Verse 27] And He has given Him authority to execute judgment, because He is the Son of Man.
[BSB | EN | NT | John | Chapter 5 | Verse 28] Do not be amazed at this, for the hour is coming when all who are in their graves will hear His voice
[BSB | EN | NT | John | Chapter 5 | Verse 29] and come out—those who have done good to the resurrection of life, and those who have done evil to the resurrection of judgment.
[BSB | EN | NT | John | Chapter 5 | Verse 30] I can do nothing by Myself; I judge only as I hear. And My judgment is just, because I do not seek My own will, but the will of Him who sent Me.
[BSB | EN | NT | John | Chapter 5 | Verse 31] If I testify about Myself, My testimony is not valid.
[BSB | EN | NT | John | Chapter 5 | Verse 32] There is another who testifies about Me, and I know that His testimony about Me is valid.
[BSB | EN | NT | John | Chapter 5 | Verse 33] You have sent to John, and he has testified to the truth.
[BSB | EN | NT | John | Chapter 5 | Verse 34] Even though I do not accept human testimony, I say these things so that you may be saved.
[BSB | EN | NT | John | Chapter 5 | Verse 35] John was a lamp that burned and gave light, and you were willing for a season to bask in his light.
[BSB | EN | NT | John | Chapter 5 | Verse 36] But I have testimony more substantial than that of John. For the works that the Father has given Me to accomplish—the very works I am doing—testify about Me that the Father has sent Me.
[BSB | EN | NT | John | Chapter 5 | Verse 37] And the Father who sent Me has Himself testified about Me. You have never heard His voice nor seen His form,
[BSB | EN | NT | John | Chapter 5 | Verse 38] nor does His word abide in you, because you do not believe the One He sent.
[BSB | EN | NT | John | Chapter 5 | Verse 39] You pore over the Scriptures because you presume that by them you possess eternal life. These are the very words that testify about Me,
[BSB | EN | NT | John | Chapter 5 | Verse 40] yet you refuse to come to Me to have life.
[BSB | EN | NT | John | Chapter 5 | Verse 41] I do not accept glory from men,
[BSB | EN | NT | John | Chapter 5 | Verse 42] but I know you, that you do not have the love of God within you.
[BSB | EN | NT | John | Chapter 5 | Verse 43] I have come in My Father’s name, and you have not received Me; but if someone else comes in his own name, you will receive him.
[BSB | EN | NT | John | Chapter 5 | Verse 44] How can you believe if you accept glory from one another, yet do not seek the glory that comes from the only God?
[BSB | EN | NT | John | Chapter 5 | Verse 45] Do not think that I will accuse you before the Father. Your accuser is Moses, in whom you have put your hope.
[BSB | EN | NT | John | Chapter 5 | Verse 46] If you had believed Moses, you would believe Me, because he wrote about Me.
[BSB | EN | NT | John | Chapter 5 | Verse 47] But since you do not believe what he wrote, how will you believe what I say?”
