[BSB | EN | NT | John | Chapter 19 | Verse 1] Then Pilate took Jesus and had Him flogged.
[BSB | EN | NT | John | Chapter 19 | Verse 16] Then Pilate handed Jesus over to be crucified, and the soldiers took Him away.
[BSB | EN | NT | John | Chapter 19 | Verse 17] Carrying His own cross, He went out to The Place of the Skull, which in Hebrew is called Golgotha.
[BSB | EN | NT | John | Chapter 19 | Verse 18] There they crucified Him, and with Him two others, one on each side, with Jesus in the middle.
[BSB | EN | NT | John | Chapter 19 | Verse 19] Pilate also had a notice posted on the cross. It read: JESUS OF NAZARETH, THE KING OF THE JEWS.
[BSB | EN | NT | John | Chapter 19 | Verse 20] Many of the Jews read this sign, because the place where Jesus was crucified was near the city, and it was written in Hebrew, Latin, and Greek.
[BSB | EN | NT | John | Chapter 19 | Verse 21] So the chief priests of the Jews said to Pilate, “Do not write, ‘The King of the Jews,’ but only that He said, ‘I am the King of the Jews.’”
[BSB | EN | NT | John | Chapter 19 | Verse 22] Pilate answered, “What I have written, I have written.”
[BSB | EN | NT | John | Chapter 19 | Verse 23] When the soldiers had crucified Jesus, they divided His garments into four parts, one for each soldier, with the tunic remaining. It was seamless, woven in one piece from top to bottom.
[BSB | EN | NT | John | Chapter 19 | Verse 24] So they said to one another, “Let us not tear it. Instead, let us cast lots to see who will get it.” This was to fulfill the Scripture: “They divided My garments among them, and cast lots for My clothing.” So that is what the soldiers did.
[BSB | EN | NT | John | Chapter 19 | Verse 25] Near the cross of Jesus stood His mother and her sister, as well as Mary the wife of Clopas and Mary Magdalene.
[BSB | EN | NT | John | Chapter 19 | Verse 26] When Jesus saw His mother and the disciple whom He loved standing nearby, He said to His mother, “Woman, here is your son.”
[BSB | EN | NT | John | Chapter 19 | Verse 27] Then He said to the disciple, “Here is your mother.” So from that hour, this disciple took her into his home.
[BSB | EN | NT | John | Chapter 19 | Verse 28] After this, knowing that everything had now been accomplished, and to fulfill the Scripture, Jesus said, “I am thirsty.”
[BSB | EN | NT | John | Chapter 19 | Verse 29] A jar of sour wine was sitting there. So they soaked a sponge in the wine, put it on a stalk of hyssop, and lifted it to His mouth.
[BSB | EN | NT | John | Chapter 19 | Verse 30] When Jesus had received the sour wine, He said, “It is finished.” And bowing His head, He yielded up His spirit.
[BSB | EN | NT | John | Chapter 19 | Verse 31] It was the day of Preparation, and the next day was a High Sabbath. In order that the bodies would not remain on the cross during the Sabbath, the Jews asked Pilate to have the legs broken and the bodies removed.
[BSB | EN | NT | John | Chapter 19 | Verse 32] So the soldiers came and broke the legs of the first man who had been crucified with Jesus, and those of the other.
[BSB | EN | NT | John | Chapter 19 | Verse 33] But when they came to Jesus and saw that He was already dead, they did not break His legs.
[BSB | EN | NT | John | Chapter 19 | Verse 34] Instead, one of the soldiers pierced His side with a spear, and immediately blood and water flowed out.
[BSB | EN | NT | John | Chapter 19 | Verse 35] The one who saw it has testified to this, and his testimony is true. He knows that he is telling the truth, so that you also may believe.
[BSB | EN | NT | John | Chapter 19 | Verse 36] Now these things happened so that the Scripture would be fulfilled: “Not one of His bones will be broken.”
[BSB | EN | NT | John | Chapter 19 | Verse 37] And, as another Scripture says: “They will look on the One they have pierced.”
[BSB | EN | NT | John | Chapter 19 | Verse 38] Afterward, Joseph of Arimathea, who was a disciple of Jesus (but secretly for fear of the Jews), asked Pilate to let him remove the body of Jesus. Pilate gave him permission, so he came and removed His body.
[BSB | EN | NT | John | Chapter 19 | Verse 39] Nicodemus, who had previously come to Jesus at night, also brought a mixture of myrrh and aloes, about seventy-five pounds.
[BSB | EN | NT | John | Chapter 19 | Verse 40] So they took the body of Jesus and wrapped it in linen cloths with the spices, according to the Jewish burial custom.
[BSB | EN | NT | John | Chapter 19 | Verse 41] Now there was a garden in the place where Jesus was crucified, and in the garden a new tomb in which no one had yet been laid.
[BSB | EN | NT | John | Chapter 19 | Verse 42] And because it was the Jewish day of Preparation and the tomb was nearby, they placed Jesus there.
