[BSB | EN | NT | John | Chapter 12 | Verse 1] Six days before the Passover, Jesus came to Bethany, the hometown of Lazarus, whom He had raised from the dead.
[BSB | EN | NT | John | Chapter 12 | Verse 16] At first His disciples did not understand these things, but after Jesus was glorified they remembered what had been done to Him, and they realized that these very things had also been written about Him.
[BSB | EN | NT | John | Chapter 12 | Verse 17] Meanwhile, many people continued to testify that they had been with Jesus when He called Lazarus from the tomb and raised him from the dead.
[BSB | EN | NT | John | Chapter 12 | Verse 18] That is also why the crowd went out to meet Him, because they heard that He had performed this sign.
[BSB | EN | NT | John | Chapter 12 | Verse 19] Then the Pharisees said to one another, “You can see that this is doing you no good. Look how the whole world has gone after Him!”
[BSB | EN | NT | John | Chapter 12 | Verse 20] Now there were some Greeks among those who went up to worship at the feast.
[BSB | EN | NT | John | Chapter 12 | Verse 21] They came to Philip, who was from Bethsaida in Galilee, and requested of him, “Sir, we want to see Jesus.”
[BSB | EN | NT | John | Chapter 12 | Verse 22] Philip relayed this appeal to Andrew, and both of them went and told Jesus.
[BSB | EN | NT | John | Chapter 12 | Verse 23] But Jesus replied, “The hour has come for the Son of Man to be glorified.
[BSB | EN | NT | John | Chapter 12 | Verse 24] Truly, truly, I tell you, unless a kernel of wheat falls to the ground and dies, it remains only a seed; but if it dies, it bears much fruit.
[BSB | EN | NT | John | Chapter 12 | Verse 25] Whoever loves his life will lose it, but whoever hates his life in this world will keep it for eternal life.
[BSB | EN | NT | John | Chapter 12 | Verse 26] If anyone serves Me, he must follow Me; and where I am, My servant will be as well. If anyone serves Me, the Father will honor him.
[BSB | EN | NT | John | Chapter 12 | Verse 27] Now My soul is troubled, and what shall I say? ‘Father, save Me from this hour’? No, it is for this purpose that I have come to this hour.
[BSB | EN | NT | John | Chapter 12 | Verse 28] Father, glorify Your name!” Then a voice came from heaven: “I have glorified it, and I will glorify it again.”
[BSB | EN | NT | John | Chapter 12 | Verse 29] The crowd standing there heard it and said that it had thundered. Others said that an angel had spoken to Him.
[BSB | EN | NT | John | Chapter 12 | Verse 30] In response, Jesus said, “This voice was not for My benefit, but yours.
[BSB | EN | NT | John | Chapter 12 | Verse 31] Now judgment is upon this world; now the prince of this world will be cast out.
[BSB | EN | NT | John | Chapter 12 | Verse 32] And I, when I am lifted up from the earth, will draw everyone to Myself.”
[BSB | EN | NT | John | Chapter 12 | Verse 33] He said this to indicate the kind of death He was going to die.
[BSB | EN | NT | John | Chapter 12 | Verse 34] The crowd replied, “We have heard from the Law that the Christ will remain forever. So how can you say that the Son of Man must be lifted up? Who is this Son of Man?”
[BSB | EN | NT | John | Chapter 12 | Verse 35] Then Jesus told them, “For a little while longer, the Light will be among you. Walk while you have the Light, so that darkness will not overtake you. The one who walks in the darkness does not know where he is going.
[BSB | EN | NT | John | Chapter 12 | Verse 36] While you have the Light, believe in the Light, so that you may become sons of light.” After Jesus had spoken these things, He went away and was hidden from them.
[BSB | EN | NT | John | Chapter 12 | Verse 37] Although Jesus had performed so many signs in their presence, they still did not believe in Him.
[BSB | EN | NT | John | Chapter 12 | Verse 38] This was to fulfill the word of Isaiah the prophet: “Lord, who has believed our message? And to whom has the arm of the Lord been revealed?”
[BSB | EN | NT | John | Chapter 12 | Verse 39] For this reason they were unable to believe. For again, Isaiah says:
[BSB | EN | NT | John | Chapter 12 | Verse 40] “He has blinded their eyes and hardened their hearts, so that they cannot see with their eyes, and understand with their hearts, and turn, and I would heal them.”
[BSB | EN | NT | John | Chapter 12 | Verse 41] Isaiah said these things because he saw Jesus’ glory and spoke about Him.
[BSB | EN | NT | John | Chapter 12 | Verse 42] Nevertheless, many of the leaders believed in Him; but because of the Pharisees they did not confess Him, for fear that they would be put out of the synagogue.
[BSB | EN | NT | John | Chapter 12 | Verse 43] For they loved praise from men more than praise from God.
[BSB | EN | NT | John | Chapter 12 | Verse 44] Then Jesus cried out, “Whoever believes in Me does not believe in Me alone, but in the One who sent Me.
[BSB | EN | NT | John | Chapter 12 | Verse 45] And whoever sees Me sees the One who sent Me.
[BSB | EN | NT | John | Chapter 12 | Verse 46] I have come into the world as a light, so that no one who believes in Me should remain in darkness.
[BSB | EN | NT | John | Chapter 12 | Verse 47] As for anyone who hears My words and does not keep them, I do not judge him. For I have not come to judge the world, but to save the world.
[BSB | EN | NT | John | Chapter 12 | Verse 48] There is a judge for the one who rejects Me and does not receive My words: The word that I have spoken will judge him on the last day.
[BSB | EN | NT | John | Chapter 12 | Verse 49] I have not spoken on My own, but the Father who sent Me has commanded Me what to say and how to say it.
[BSB | EN | NT | John | Chapter 12 | Verse 50] And I know that His command leads to eternal life. So I speak exactly what the Father has told Me to say.”
