[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 1] هَذِهِ أَقْوَالُ لَمُوئِيلَ مَلِكِ مَسَّا الَّتِي تَلَقَّنَهَا عَنْ أُمِّهِ:
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 13] تَلْتَمِسُ صُوفاً وَكَتَّاناً وَتَشْتَغِلُ بِيَدَيْنِ رَاضِيَتَيْنِ،
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 14] فَتَكُونُ كَسُفُنِ التَّاجِرِ الَّتِي تَجْلِبُ طَعَامَهَا مِنْ بِلادٍ نَائِيَةٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 15] تَنْهَضُ وَاللَّيْلُ مَا بَرِحَ مُخَيِّماً، لِتُعِدَّ طَعَاماً لأَهْلِ بَيْتِهَا، وَتُدَبِّرَ أَعْمَالَ جَوَارِيهَا
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 16] تَتَفَحَّصُ حَقْلاً وَتَشْتَرِيهِ، وَمِنْ مَكْسَبِ يَدَيْهَا تَغْرِسُ كَرْماً
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 17] تُنَطِّقُ حَقَوَيْهَا بِالْقُوَّةِ وَتُشَدِّدُ ذِرَاعَيْهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 18] وَتُدْرِكُ أَنَّ تِجَارَتَهَا رَابِحَةٌ، وَلا يَنْطَفِئُ سِرَاجُهَا فِي اللَّيْلِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 19] تَقْبِضُ بِيَدَيْهَا عَلَى الْمِغْزَلِ وَتُمْسِكُ كَفَّاهَا بِالْفَلَكَةِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 20] تَبْسُطُ كَفَّيْهَا لِلْفَقِيرِ وَتَمُدُّ يَدَيْهَا لإِغَاثَةِ الْبَائِسِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 21] لَا تَخْشَى عَلَى أَهْلِ بَيْتِهَا مِنَ الثَّلْجِ، لأَنَّ جَمِيعَهُمْ يَرْتَدُونَ الْحُلَلَ الْقِرْمِزِيَّةَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 22] تَصْنَعُ لِنَفْسِهَا أَغْطِيَةً مُوَشَّاةً، وَثِيَابُهَا مُحَاكَةٌ مِنْ كَتَّانٍ وَأُرْجُوَانٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 23] زَوْجُهَا مَعْرُوفٌ فِي مَجَالِسِ بَوَّابَاتِ الْمَدِينَةِ، حَيْثُ يَجْلِسُ بَيْنَ وُجَهَاءِ الْبِلادِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 24] تَصْنَعُ أَقْمِصَةً كَتَّانِيَّةً وَتَبِيعُهَا، وَتُزَوِّدُ التَّاجِرَ الْكَنْعَانِيَّ بِمَنَاطِقَ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 25] كِسَاؤُهَا الْعِزَّةُ وَالشَّرَفُ، وَتَبْتَهِجُ بِالأَيَّامِ الْمُقْبِلَةِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 26] يَنْطِقُ فَمُهَا بِالْحِكْمَةِ، وَفِي لِسَانِهَا سُنَّةُ الْمَعْرُوفِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 27] تَرْعَى بِعِنَايَةٍ شُؤُونَ أَهْلِ بَيْتِهَا، وَلا تَأْكُلُ خُبْزَ الْكَسَلِ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 28] يَقُومُ أَبْنَاؤُهَا وَيَغْبِطُونَهَا، وَيُطْرِيهَا زَوْجُهَا أَيْضاً قَائِلاً:
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 29] «نِسَاءٌ كَثِيرَاتٌ قُمْنَ بِأَعْمَالٍ جَلِيلَةٍ، وَلَكِنَّكِ تَفَوَّقْتِ عَلَيْهِنَّ جَمِيعاً».
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 30] الْحُسْنُ غِشٌّ وَالْجَمَالُ بَاطِلٌ، أَمَّا الْمَرْأَةُ الْمُتَّقِيَّةُ الرَّبَّ فَهِيَ الَّتِي تُمْدَحُ.
[VANDYKE | AR | OT | Proverbs | Chapter 31 | Verse 31] أَعْطُوهَا مِنْ ثَمَرِ يَدَيْهَا، وَلْتَكُنْ أَعْمَالُهَا مَصْدَرَ الثَّنَاءِ عَلَيْهَا.
