[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 1] حِكْمَةُ الْمَرْأَةِ تَبْنِي بَيْتَهَا، وَحَمَاقَتُهَا تَهْدِمُهُ بِيَدَيْهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 12] رُبَّ طَرِيقٍ تَبْدُو لِلإِنْسَانِ قَوِيمَةً، وَلَكِنَّ عَاقِبَتَهَا هُوَّةُ الْمَوْتِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 13] فِي الضَّحِكِ أَيْضاً تَطْغَى الْكَآبَةُ عَلَى الْقَلْبِ، وَعَاقِبَةُ الْفَرَحِ الْغَمُّ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 14] ذُو الْقَلْبِ الْمُرْتَدِّ يُجَازَى بِمُقْتَضَى طُرُقِهِ، وَالصَّالِحُ يُثَابُ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 15] الْغَبِيُّ يُصَدِّقُ كُلَّ كَلِمَةٍ تُقَالُ لَهُ، وَالْعَاقِلُ يَتَنَبَّهُ إِلَى مَوْقِعِ خَطْوَاتِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 16] الْحَكِيمُ يَخْشَى الشَّرَّ وَيَتَفَادَاهُ، وَالْجَاهِلُ يَتَصَلَّفُ وَيَدَّعِي الثِّقَةَ بِالنَّفْسِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 17] ذُو الطَّبْعِ الْحَادِّ يَتَصَرَّفُ بِحُمْقٍ، وَذُو الْمَكَائِدِ مَمْقُوتٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 18] يَرِثُ الأَغْبِيَاءُ الْحَمَاقَةَ، وَيُتَوَّجُ الْعُقَلاءُ بِالْعِلْمِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 19] يَنْحَنِي الأَشْرَارُ فِي مَحْضَرِ الأَخْيَارِ، وَالأَثَمَةُ لَدَى الصِّدِّيقِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 20] الْفَقِيرُ مَكْرُوهٌ حَتَّى عِنْدَ جَارِهِ، أَمَّا مُحِبُّو الْغَنِيِّ فَكَثِيرُونَ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 21] مَنْ يَحْتَقِرُ صَاحِبَهُ يَأْثَمُ، وَطُوبَى لِمَنْ يَرْحَمُ الْبَائِسِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 22] أَلا يَضِلُّ مُخْتَرِعُو الشَّرِّ؟ أَمَّا الْعَامِلُونَ خَيْراً فَيُلاقُونَ رَحْمَةً وَصِدْقاً.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 23] فِي كُلِّ جَهْدٍ مَبْذُولٍ رِبْحٌ، أَمَّا مُجَرَّدُ الْكَلامِ فَيُؤَدِّي إِلَى الْفَقْرِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 24] تَاجُ الْحُكَمَاءِ غِنَى حِكْمَتِهِمْ، وَالْحَمَاقَةُ إِكْلِيلُ الْجُهَّالِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 25] شَاهِدُ الْحَقِّ يُنَجِّي النُّفُوسَ، وَالنَّاطِقُ بِالزُّورِ يَنْفُثُ كَذِباً.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 26] فِي تَقْوَى الرَّبِّ ثِقَةٌ شَدِيدَةٌ؛ فِيهَا يَجِدُ أَبْنَاؤُهُ مَلاذاً.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 27] تَقْوَى الرَّبِّ يَنْبُوعُ حَيَاةٍ لِتَفَادِي أَشْرَاكِ الْمَوْتِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 28] فِي كَثْرَةِ الشَّعْبِ فَخْرٌ لِلْمَلِكِ، وَفِي فُقْدَانِ الرَّعِيَّةِ دَمَارٌ لِمَقَامِ الأَمِيرِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 29] الْبَطِيءُ الْغَضَبِ ذُو فَهْمٍ كَثِيرٍ، أَمَّا السَّرِيعُ إِلَى السَّخْطِ فَيُبْدِي حَمَاقَةً.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 30] الْقَلْبُ الْمُطْمَئِنُّ يَهَبُ أَعْضَاءَ الْجَسَدِ حَيَاةً، وَالْحَسَدُ يَنْخُرُ فِي الْعِظَامِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 31] مَنْ يَجُورُ عَلَى الْفَقِيرِ يُهِينُ صَانِعَهُ، وَمَنْ يَرْحَمُ الْبَائِسَ يُكْرِمُ خَالِقَهُ،
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 32] يُعَاقَبُ الشِّرِّيرُ بِمُقْتَضَى سُوءِ تَصَرُّفَاتِهِ، أَمَّا الصِّدِّيقُ فَلَهُ مُعْتَصَمٌ عِنْدَ مَوْتِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 33] فِي قَلْبِ الْفَطِنِ تَسْتَقِرُّ الْحِكْمَةُ، وَيَخْلُو مِنْهَا قَلْبُ الْجُهَّالِ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 34] الْبِرُّ يَسْمُو بِالأُمَّةِ، وَالْخَطِيئَةُ عَارٌ لِكُلِّ شَعْبٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 14 | Verse 35] الْعَبْدُ الْعَاقِلُ يَحْظَى بِرِضَى الْمَلِكِ، وَالْعَبْدُ الْمُخْزِي يَسْتَجْلِبُ سُخْطَهُ.
