[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 1] يَا ٱبْنِي، لَا تَنْسَ شَرِيعَتِي، بَلْ لِيَحْفَظْ قَلْبُكَ وَصَايَايَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 14] لِأَنَّ تِجَارَتَهَا خَيْرٌ مِنْ تِجَارَةِ ٱلْفِضَّةِ، وَرِبْحَهَا خَيْرٌ مِنَ ٱلذَّهَبِ ٱلْخَالِصِ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 15] هِيَ أَثْمَنُ مِنَ ٱلَّلآلِئِ، وَكُلُّ جَوَاهِرِكَ لَا تُسَاوِيهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 16] فِي يَمِينِهَا طُولُ أَيَّامٍ، وَفِي يَسَارِهَا ٱلْغِنَى وَٱلْمَجْدُ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 17] طُرُقُهَا طُرُقُ نِعَمٍ، وَكُلُّ مَسَالِكِهَا سَلَامٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 18] هِيَ شَجَرَةُ حَيَاةٍ لِمُمْسِكِيهَا، وَٱلْمُتَمَسِّكُ بِهَا مَغْبُوطٌ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 19] ٱلرَّبُّ بِٱلْحِكْمَةِ أَسَّسَ ٱلْأَرْضَ. أَثْبَتَ ٱلسَّمَاوَاتِ بِٱلْفَهْمِ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 20] بِعِلْمِهِ ٱنْشَقَّتِ ٱللُّجَجُ، وَتَقْطُرُ ٱلسَّحَابُ نَدًى.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 21] يَا ٱبْنِي، لَا تَبْرَحْ هَذِهِ مِنْ عَيْنَيْكَ. ٱحْفَظِ ٱلرَّأْيَ وَٱلتَّدْبِيرَ،
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 22] فَيَكُونَا حَيَاةً لِنَفْسِكَ، وَنِعْمَةً لِعُنُقِكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 23] حِينَئِذٍ تَسْلُكُ فِي طَرِيقِكَ آمِنًا، وَلَا تَعْثُرُ رِجْلُكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 24] إِذَا ٱضْطَجَعْتَ فَلَا تَخَافُ، بَلْ تَضْطَجِعُ وَيَلُذُّ نَوْمُكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 25] لَا تَخْشَى مِنْ خَوْفٍ بَاغِتٍ، وَلَا مِنْ خَرَابِ ٱلْأَشْرَارِ إِذَا جَاءَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 26] لِأَنَّ ٱلرَّبَّ يَكُونُ مُعْتَمَدَكَ، وَيَصُونُ رِجْلَكَ مِنْ أَنْ تُؤْخَذَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 27] لَا تَمْنَعِ ٱلْخَيْرَ عَنْ أَهْلِهِ، حِينَ يَكُونُ فِي طَاقَةِ يَدِكَ أَنْ تَفْعَلَهُ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 28] لَا تَقُلْ لِصَاحِبِكَ: «ٱذْهَبْ وَعُدْ فَأُعْطِيَكَ غَدًا» وَمَوْجُودٌ عِنْدَكَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 29] لَا تَخْتَرِعْ شَرًّا عَلَى صَاحِبِكَ، وَهُوَ سَاكِنٌ لَدَيْكَ آمِنًا.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 30] لَا تُخَاصِمْ إِنْسَانًا بِدُونِ سَبَبٍ، إِنْ لَمْ يَكُنْ قَدْ صَنَعَ مَعَكَ شَرًّا.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 31] لَا تَحْسِدِ ٱلظَّالِمَ وَلَا تَخْتَرْ شَيْئًا مِنْ طُرُقِهِ،
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 32] لِأَنَّ ٱلْمُلْتَوِيَ رَجْسٌ عِنْدَ ٱلرَّبِّ، أَمَّا سِرُّهُ فَعِنْدَ ٱلْمُسْتَقِيمِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 33] لَعْنَةُ ٱلرَّبِّ فِي بَيْتِ ٱلشِّرِّيرِ، لَكِنَّهُ يُبَارِكُ مَسْكَنَ ٱلصِّدِّيقِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 34] كَمَا أَنَّهُ يَسْتَهْزِئُ بِٱلْمُسْتَهْزِئِينَ، هَكَذَا يُعْطِي نِعْمَةً لِلْمُتَوَاضِعِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 3 | Verse 35] ٱلْحُكَمَاءُ يَرِثُونَ مَجْدًا وَٱلْحَمْقَى يَحْمِلُونَ هَوَانًا.
