[VANDYKE | AR | OT | Job | Chapter 30 | Verse 1] «وَأَمَّا ٱلْآنَ فَقَدْ ضَحِكَ عَلَيَّ أَصَاغِرِي أَيَّامًا، ٱلَّذِينَ كُنْتُ أَسْتَنْكِفُ مِنْ أَنْ أَجْعَلَ آبَاءَهُمْ مَعَ كِلَابِ غَنَمِي.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 22] حَمَلْتَنِي، أَرْكَبْتَنِي ٱلرِّيحَ وَذَوَّبْتَنِي تَشَوُّهًا.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 23] لِأَنِّي أَعْلَمُ أَنَّكَ إِلَى ٱلْمَوْتِ تُعِيدُنِي، وَإِلَى بَيْتِ مِيعَادِ كُلِّ حَيٍّ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 24] وَلَكِنْ فِي ٱلْخَرَابِ أَلَا يَمُدُّ يَدًا؟ فِي ٱلْبَلِيَّةِ أَلَا يَسْتَغِيثُ عَلَيْهَا؟
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 25] «أَلَمْ أَبْكِ لِمَنْ عَسَرَ يَوْمُهُ؟ أَلَمْ تَكْتَئِبْ نَفْسِي عَلَى ٱلْمِسْكِينِ؟
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 26] حِينَمَا تَرَجَّيْتُ ٱلْخَيْرَ جَاءَ ٱلشَّرُّ، وَٱنْتَظَرْتُ ٱلنُّورَ فَجَاءَ ٱلدُّجَى.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 27] أَمْعَائِي تَغْلِي وَلَا تَكُفُّ. تَقَدَّمَتْنِي أَيَّامُ ٱلْمَذَلَّةِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 28] اِسْوَدَدْتُ لَكِنْ بِلَا شَمْسٍ. قُمْتُ فِي ٱلْجَمَاعَةِ أَصْرُخُ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 29] صِرْتُ أَخًا لِلذِّئَابِ، وَصَاحِبًا لِرِئَالِ ٱلنَّعَامِ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 30] حَرِشَ جِلْدِي عَلَيَّ وَعِظَامِي ٱحْتَرَّتْ مِنَ ٱلْحَرَارَةِ فِيَّ.
[VANDYKE | AR | OT | Job | Chapter 30 | Verse 31] صَارَ عُودِي لِلنَّوْحِ، وَمِزْمَارِي لِصَوْتِ ٱلْبَاكِينَ.
