[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 1] Παῦλος δέσμιος Χριστοῦ Ἰησοῦ, καὶ Τιμόθεος ὁ ἀδελφός, Φιλήμονι τῷ ἀγαπητῷ καὶ συνεργῷ ἡμῶν,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 12] σὺ δὲ αὐτόν, τοῦτ᾿ ἔστι τὰ ἐμὰ σπλάγχνα, προσλαβοῦ·
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 13] ὃν ἐγὼ ἐβουλόμην πρὸς ἐμαυτὸν κατέχειν, ἵνα ὑπὲρ σοῦ διακονῇ μοι ἐν τοῖς δεσμοῖς τοῦ εὐαγγελίου·
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 14] χωρὶς δὲ τῆς σῆς γνώμης οὐδὲν ἠθέλησα ποιῆσαι, ἵνα μὴ ὡς κατὰ ἀνάγκην τὸ ἀγαθόν σου ᾖ, ἀλλὰ κατὰ ἑκούσιον.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 15] Τάχα γὰρ διὰ τοῦτο ἐχωρίσθη πρὸς ὥραν, ἵνα αἰώνιον αὐτὸν ἀπέχῃς·
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 16] οὐκέτι ὡς δοῦλον, ἀλλ᾿ ὑπὲρ δοῦλον, ἀδελφὸν ἀγαπητόν, μάλιστα ἐμοί, πόσῳ δὲ μᾶλλον σοὶ καὶ ἐν σαρκὶ καὶ ἐν Κυρίῳ.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 17] Εἰ οὖν ἐμὲ ἔχεις κοινωνόν, προσλαβοῦ αὐτὸν ὡς ἐμέ.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 18] Εἰ δέ τι ἠδίκησέ σε ἢ ὀφείλει, τοῦτο ἐμοὶ ἐλλόγει·
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 19] ἐγὼ Παῦλος ἔγραψα τῇ ἐμῇ χειρί, ἐγὼ ἀποτίσω· ἵνα μὴ λέγω σοι ὅτι καὶ σεαυτόν μοι προσοφείλεις.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 20] Ναί, ἀδελφέ, ἐγώ σου ὀναίμην ἐν Κυρίῳ· ἀνάπαυσόν μου τὰ σπλάγχνα ἐν Κυρίῳ.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 21] Πεποιθὼς τῇ ὑπακοῇ σου ἔγραψά σοι, εἰδὼς ὅτι καὶ ὑπὲρ ὃ λέγω ποιήσεις.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 22] Ἅμα δὲ καὶ ἑτοίμαζέ μοι ξενίαν· ἐλπίζω γὰρ ὅτι διὰ τῶν προσευχῶν ὑμῶν χαρισθήσομαι ὑμῖν.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 23] Ἀσπάζονταί σε Ἐπαφρᾶς ὁ συναιχμάλωτός μου ἐν Χριστῷ Ἰησοῦ,
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 24] Μάρκος, Ἀρίσταρχος, Δημᾶς, Λουκᾶς, οἱ συνεργοί μου.
[GRCGTR | EL | NT | Philemon | Chapter 1 | Verse 25] Ἡ χάρις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ μετὰ τοῦ πνεύματος ὑμῶν. Ἀμήν. Πρὸς Φιλήμονα ἐγράφη ἀπὸ Ῥώμης διὰ Ὀνησίμου οἰκέτου.
