[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 1] The LORD’s word came again to me, saying,
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 31] You have walked in the way of your sister; therefore I will give her cup into your hand.’
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 32] “The Lord GOD says: ‘You will drink of your sister’s cup, which is deep and large. You will be ridiculed and held in derision. It contains much.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 33] You will be filled with drunkenness and sorrow, with the cup of astonishment and desolation, with the cup of your sister Samaria.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 34] You will even drink it and drain it out. You will gnaw the broken pieces of it, and will tear your breasts; for I have spoken it,’ says the Lord GOD.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 35] “Therefore the Lord GOD says: ‘Because you have forgotten me and cast me behind your back, therefore you also bear your lewdness and your prostitution.’”
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 36] The LORD said moreover to me: “Son of man, will you judge Oholah and Oholibah? Then declare to them their abominations.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 37] For they have committed adultery, and blood is in their hands. They have committed adultery with their idols. They have also caused their sons, whom they bore to me, to pass through the fire to them to be devoured.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 38] Moreover this they have done to me: they have defiled my sanctuary in the same day, and have profaned my Sabbaths.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 39] For when they had slain their children to their idols, then they came the same day into my sanctuary to profane it; and behold, they have done this in the middle of my house.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 40] “Furthermore you sisters have sent for men who come from far away, to whom a messenger was sent, and behold, they came; for whom you washed yourself, painted your eyes, decorated yourself with ornaments,
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 41] and sat on a stately bed, with a table prepared before it, whereupon you set my incense and my oil.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 42] “The voice of a multitude being at ease was with her. With men of the common sort were brought drunkards from the wilderness; and they put bracelets on their hands, and beautiful crowns on their heads.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 43] Then I said of her who was old in adulteries, ‘Now they will play the prostitute with her, and she with them.’
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 44] They went in to her, as they go in to a prostitute. So they went in to Oholah and to Oholibah, the lewd women.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 45] Righteous men will judge them with the judgment of adulteresses and with the judgment of women who shed blood, because they are adulteresses, and blood is in their hands.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 46] “For the Lord GOD says: ‘I will bring up a mob against them, and will give them to be tossed back and forth and robbed.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 47] The company will stone them with stones and dispatch them with their swords. They will kill their sons and their daughters, and burn up their houses with fire.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 48] “‘Thus I will cause lewdness to cease out of the land, that all women may be taught not to be lewd like you.
[WEB | EN | OT | Ezekiel | Chapter 23 | Verse 49] They will recompense your lewdness on you, and you will bear the sins of your idols. Then you will know that I am the Lord GOD.’”
