[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 1] യഹോവ ദാവീദിനെ സകലശത്രുക്കളുടെ കയ്യിൽനിന്നും ശൗലിന്റെ കയ്യിൽനിന്നും വിടുവിച്ചശേഷം അവൻ യഹോവെക്കു ഒരു സംഗീതംപാടി ചൊല്ലിയതെന്തെന്നാൽ:
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 15] അവൻ അസ്ത്രം എയ്തു അവരെ ചിതറിച്ചു, മിന്നൽ അയച്ചു അവരെ തോല്പിച്ചു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 16] യഹോവയുടെ ഭത്സനത്താൽ, തിരുമൂക്കിലെ ശ്വാസത്തിന്റെ ഊത്തിനാൽ കടലിന്റെ ചാലുകൾ കാണായ്‌വന്നു ഭൂതലത്തിന്റെ അടിസ്ഥാനങ്ങൾ വെളിപ്പെട്ടു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 17] അവൻ ഉയരത്തിൽനിന്നു കൈനീട്ടി എന്നെ പിടിച്ചു, പെരുവെള്ളത്തിൽനിന്നു എന്നെ വലിച്ചെടുത്തു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 18] ബലമുള്ള ശത്രുവിന്റെ കയ്യിൽനിന്നും എന്നെ പകെച്ചവരുടെ പക്കൽനിന്നും എന്നെ വിടുവിച്ചു; അവർ എന്നിലും ബലമേറിയവർ ആയിരുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 19] എന്റെ അനർത്ഥദിവസത്തിൽ അവർ എന്നെ ആക്രമിച്ചു; എന്നാൽ യഹോവ എനിക്കു തുണയായിരുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 20] അവൻ എന്നെ വിശാലതയിലേക്കു കൊണ്ടുവന്നു, എന്നിൽ പ്രസാദിച്ചിരുന്നതുകൊണ്ടു എന്നെ വിടുവിച്ചു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 21] യഹോവ എന്റെ നീതിക്കു തക്കവണ്ണം എനിക്കു പ്രതിഫലം നല്കി, എന്റെ കൈകളുടെ വെടിപ്പിന്നൊത്തവണ്ണം എനിക്കു പകരം തന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 22] ഞാൻ യഹോവയുടെ വഴികളെ പ്രമാണിച്ചു, എന്റെ ദൈവത്തോടു ദ്രോഹം ചെയ്തതുമില്ല.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 23] അവന്റെ വിധികൾ ഒക്കെയും എന്റെ മുമ്പിലുണ്ടു; അവന്റെ ചട്ടങ്ങൾ ഞാൻ വിട്ടുനടന്നിട്ടുമില്ല.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 24] ഞാൻ അവന്റെ മുമ്പാകെ നിഷ്കളങ്കനായിരുന്നു, അകൃത്യം ചെയ്യാതെ എന്നെ തന്നേ കാത്തു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 25] യഹോവ എന്റെ നീതിക്കു തക്കവണ്ണവും അവന്റെ കാഴ്ചയിൽ എന്റെ നിർമ്മലതെക്കൊത്തവണ്ണവും എനിക്കു പകരം നല്കി.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 26] ദയാലുവോടു നീ ദയാലുവാകുന്നു; നിഷ്കളങ്കനോടു നീ നിഷ്കളങ്കൻ.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 27] നിർമ്മലനോടു നീ നിർമ്മലനാകുന്നു; വക്രനോടു നീ വക്രത കാണിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 28] എളിയ ജനത്തെ നീ രക്ഷിക്കും; നിഗളിച്ചു നടക്കുന്നവരെ താഴ്ത്തേണ്ടതിന്നു നീ ദൃഷ്ടിവെക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 29] യഹോവേ, നീ എന്റെ ദീപം ആകുന്നു; യഹോവ എന്റെ അന്ധകാരത്തെ പ്രകാശമാക്കും.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 30] നിന്നാൽ ഞാൻ പടക്കൂട്ടത്തിന്റെ നേരെ പാഞ്ഞുചെല്ലും; എന്റെ ദൈവത്താൽ ഞാൻ മതിൽ ചാടിക്കടക്കും.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 31] ദൈവത്തിന്റെ വഴി തികവുള്ളതു, യഹോവയുടെ വചനം ഊതിക്കഴിച്ചതു; തന്നെ ശരണമാക്കുന്ന ഏവർക്കും അവൻ പരിച ആകുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 32] യഹോവയല്ലാതെ ദൈവം ആരുള്ളു? നമ്മുടെ ദൈവം ഒഴികെ പാറ ആരുള്ളു?
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 33] ദൈവം എന്റെ ഉറപ്പുള്ള കോട്ട, നിഷ്കളങ്കനെ അവൻ വഴിനടത്തുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 34] അവൻ എന്റെ കാലുകളെ മാൻപേടക്കാല്ക്കു തുല്യമാക്കി എന്റെ ഗിരികളിൽ എന്നെ നില്ക്കുമാറാക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 35] അവൻ എന്റെ കൈകൾക്കു യുദ്ധാഭ്യാസം വരുത്തുന്നു; എന്റെ ഭുജങ്ങൾ താമ്രചാപം കുലെക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 36] നിന്റെ രക്ഷ എന്ന പരിചയെ നീ എനിക്കു തന്നിരിക്കുന്നു; നിന്റെ സൗമ്യത എന്നെ വലിയവനാക്കിയിരിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 37] ഞാൻ കാലടിവെക്കേണ്ടതിന്നു നീ വിശാലത വരുത്തി; എന്റെ നരിയാണികൾ വഴുതിപ്പോയതുമില്ല.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 38] ഞാൻ എന്റെ ശത്രുക്കളെ പിന്തുടർന്നൊടുക്കി അവരെ മുടിക്കുവോളം ഞാൻ പിന്തിരിഞ്ഞില്ല.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 39] അവർക്കു എഴുന്നേറ്റുകൂടാതവണ്ണം ഞാൻ അവരെ തകർത്തൊടുക്കി, അവർ എന്റെ കാല്ക്കീഴിൽ വീണിരിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 40] യുദ്ധത്തിന്നായി നീ എന്റെ അരെക്കു ശക്തി കെട്ടിയിരിക്കുന്നു; എന്നോടു എതിർത്തവരെ എനിക്കു കീഴടക്കിയിരിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 41] എന്നെ പകെക്കുന്നവരെ ഞാൻ സംഹരിക്കേണ്ടതിന്നു നീ എന്റെ ശത്രുക്കളെ എനിക്കു പുറം കാട്ടുമാറാക്കി.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 42] അവർ ചുറ്റും നോക്കിയെങ്കിലും രക്ഷിപ്പാൻ ആരും ഉണ്ടായിരുന്നില്ല; യഹോവയിങ്കലേക്കു നോക്കി, അവൻ ഉത്തരം അരുളിയതുമില്ല.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 43] ഞാൻ അവരെ നിലത്തിലെ പൊടിപോലെ പൊടിച്ചു, വീഥികളിലെ ചെളിയെപ്പോലെ ഞാൻ അവരെ ചവിട്ടി ചിതറിച്ചു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 44] എന്റെ ജനത്തിന്റെ കലഹങ്ങളിൽനിന്നും നീ എന്നെ വിടുവിച്ചു, ജാതികൾക്കു എന്നെ തലവനാക്കിയിരിക്കുന്നു; ഞാൻ അറിയാത്ത ജനം എന്നെ സേവിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 45] അന്യജാതിക്കാർ എന്നോടു അനസരണഭാവം കാണിക്കും; അവർ കേട്ട മാത്രെക്കു എന്നെ അനുസരിക്കും.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 46] അന്യജാതിക്കാർ ക്ഷയിച്ചുപോകുന്നു; തങ്ങളുടെ ദുർഗ്ഗങ്ങളിൽനിന്നു അവർ വിറെച്ചു കൊണ്ടുവരുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 47] യഹോവ ജീവിക്കുന്നു; എൻ പാറ വാഴ്ത്തപ്പെട്ടവൻ. എൻ രക്ഷയുടെ പാറയായ ദൈവം ഉന്നതൻ തന്നേ.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 48] ദൈവം എനിക്കുവേണ്ടി പ്രതികാരം ചെയ്കയും ജാതികളെ എനിക്കു കീഴാക്കുകയും ചെയ്യുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 49] അവൻ ശത്രുവശത്തുനിന്നു എന്നെ വിടുവിക്കുന്നു; എന്നോടു എതിർക്കുന്നവർക്കു മീതെ നീ എന്നെ ഉയർത്തുന്നു; സാഹസക്കാരന്റെ കയ്യിൽനിന്നു നീ എന്നെ വിടുവിക്കുന്നു.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 50] അതുകൊണ്ടു, യഹോവേ, ഞാൻ ജാതികളുടെ മദ്ധ്യേ നിനക്കു സ്തോത്രം ചെയ്യും, നിന്റെ നാമത്തെ ഞാൻ കീർത്തിക്കും.
[IRV | ML | OT | 2 Samuel | Chapter 22 | Verse 51] അവൻ തന്റെ രാജാവിന്നു മഹാരക്ഷ നല്കുന്നു; തന്റെ അഭിഷിക്തന്നു ദയ കാണിക്കുന്നു; ദാവീദിന്നും അവന്റെ സന്തതിക്കും എന്നെന്നേക്കും തന്നേ.
