[BSB | EN | NT | Acts | Chapter 7 | Verse 1] Then the high priest asked Stephen, “Are these charges true?”
[BSB | EN | NT | Acts | Chapter 7 | Verse 20] At that time Moses was born, and he was beautiful in the sight of God. For three months he was nurtured in his father’s house.
[BSB | EN | NT | Acts | Chapter 7 | Verse 21] When he was set outside, Pharaoh’s daughter took him and brought him up as her own son.
[BSB | EN | NT | Acts | Chapter 7 | Verse 22] So Moses was educated in all the wisdom of the Egyptians and was powerful in speech and action.
[BSB | EN | NT | Acts | Chapter 7 | Verse 23] When Moses was forty years old, he decided to visit his brothers, the children of Israel.
[BSB | EN | NT | Acts | Chapter 7 | Verse 24] And when he saw one of them being mistreated, Moses went to his defense and avenged him by striking down the Egyptian who was oppressing him.
[BSB | EN | NT | Acts | Chapter 7 | Verse 25] He assumed his brothers would understand that God was using him to deliver them, but they did not.
[BSB | EN | NT | Acts | Chapter 7 | Verse 26] The next day he came upon two Israelites who were fighting, and he tried to reconcile them, saying, ‘Men, you are brothers. Why are you mistreating each other?’
[BSB | EN | NT | Acts | Chapter 7 | Verse 27] But the man who was abusing his neighbor pushed Moses aside and said, ‘Who made you ruler and judge over us?
[BSB | EN | NT | Acts | Chapter 7 | Verse 28] Do you want to kill me as you killed the Egyptian yesterday?’
[BSB | EN | NT | Acts | Chapter 7 | Verse 29] At this remark, Moses fled to the land of Midian, where he lived as a foreigner and had two sons.
[BSB | EN | NT | Acts | Chapter 7 | Verse 30] After forty years had passed, an angel appeared to Moses in the flames of a burning bush in the desert near Mount Sinai.
[BSB | EN | NT | Acts | Chapter 7 | Verse 31] When Moses saw it, he marveled at the sight. As he approached to look more closely, the voice of the Lord came to him:
[BSB | EN | NT | Acts | Chapter 7 | Verse 32] ‘I am the God of your fathers, the God of Abraham, Isaac, and Jacob.’ Moses trembled with fear and did not dare to look.
[BSB | EN | NT | Acts | Chapter 7 | Verse 33] Then the Lord said to him, ‘Take off your sandals, for the place where you are standing is holy ground.
[BSB | EN | NT | Acts | Chapter 7 | Verse 34] I have indeed seen the oppression of My people in Egypt. I have heard their groaning and have come down to deliver them. Now come, I will send you back to Egypt.’
[BSB | EN | NT | Acts | Chapter 7 | Verse 35] This Moses, whom they had rejected with the words, ‘Who made you ruler and judge?’ is the one whom God sent to be their ruler and redeemer through the angel who appeared to him in the bush.
[BSB | EN | NT | Acts | Chapter 7 | Verse 36] He led them out and performed wonders and signs in the land of Egypt, at the Red Sea, and for forty years in the wilderness.
[BSB | EN | NT | Acts | Chapter 7 | Verse 37] This is the same Moses who told the Israelites, ‘God will raise up for you a prophet like me from among your brothers.’
[BSB | EN | NT | Acts | Chapter 7 | Verse 38] He was in the assembly in the wilderness with the angel who spoke to him on Mount Sinai, and with our fathers. And he received living words to pass on to us.
[BSB | EN | NT | Acts | Chapter 7 | Verse 39] But our fathers refused to obey him. Instead, they rejected him and in their hearts turned back to Egypt.
[BSB | EN | NT | Acts | Chapter 7 | Verse 40] They said to Aaron, ‘Make us gods who will go before us! As for this Moses who led us out of the land of Egypt, we do not know what has happened to him.’
[BSB | EN | NT | Acts | Chapter 7 | Verse 41] At that time they made a calf and offered a sacrifice to the idol, rejoicing in the works of their hands.
[BSB | EN | NT | Acts | Chapter 7 | Verse 42] But God turned away from them and gave them over to the worship of the host of heaven, as it is written in the book of the prophets: ‘Did you bring Me sacrifices and offerings forty years in the wilderness, O house of Israel?
[BSB | EN | NT | Acts | Chapter 7 | Verse 43] You have taken along the tabernacle of Molech and the star of your god Rephan, the idols you made to worship. Therefore I will send you into exile beyond Babylon.’
[BSB | EN | NT | Acts | Chapter 7 | Verse 44] Our fathers had the tabernacle of the Testimony with them in the wilderness. It was constructed exactly as God had directed Moses, according to the pattern he had seen.
[BSB | EN | NT | Acts | Chapter 7 | Verse 45] And our fathers who received it brought it in with Joshua when they dispossessed the nations God drove out before them. It remained until the time of David,
[BSB | EN | NT | Acts | Chapter 7 | Verse 46] who found favor in the sight of God and asked to provide a dwelling place for the God of Jacob.
[BSB | EN | NT | Acts | Chapter 7 | Verse 47] But it was Solomon who built the house for Him.
[BSB | EN | NT | Acts | Chapter 7 | Verse 48] However, the Most High does not dwell in houses made by human hands. As the prophet says:
[BSB | EN | NT | Acts | Chapter 7 | Verse 49] ‘Heaven is My throne and the earth is My footstool. What kind of house will you build for Me, says the Lord, or where will My place of repose be?
[BSB | EN | NT | Acts | Chapter 7 | Verse 50] Has not My hand made all these things?’
[BSB | EN | NT | Acts | Chapter 7 | Verse 51] You stiff-necked people with uncircumcised hearts and ears! You always resist the Holy Spirit, just as your fathers did.
[BSB | EN | NT | Acts | Chapter 7 | Verse 52] Which of the prophets did your fathers fail to persecute? They even killed those who foretold the coming of the Righteous One. And now you are His betrayers and murderers—
[BSB | EN | NT | Acts | Chapter 7 | Verse 53] you who received the law ordained by angels, yet have not kept it.”
[BSB | EN | NT | Acts | Chapter 7 | Verse 54] On hearing this, the members of the Sanhedrin were enraged, and they gnashed their teeth at him.
[BSB | EN | NT | Acts | Chapter 7 | Verse 55] But Stephen, full of the Holy Spirit, looked intently into heaven and saw the glory of God and Jesus standing at the right hand of God.
[BSB | EN | NT | Acts | Chapter 7 | Verse 56] “Look,” he said, “I see heaven open and the Son of Man standing at the right hand of God.”
[BSB | EN | NT | Acts | Chapter 7 | Verse 57] At this they covered their ears, cried out in a loud voice, and rushed together at him.
[BSB | EN | NT | Acts | Chapter 7 | Verse 58] They dragged him out of the city and began to stone him. Meanwhile the witnesses laid their garments at the feet of a young man named Saul.
[BSB | EN | NT | Acts | Chapter 7 | Verse 59] While they were stoning him, Stephen appealed, “Lord Jesus, receive my spirit.”
[BSB | EN | NT | Acts | Chapter 7 | Verse 60] Falling on his knees, he cried out in a loud voice, “Lord, do not hold this sin against them.” And when he had said this, he fell asleep.
