[BSB | EN | NT | Acts | Chapter 27 | Verse 1] When it was decided that we would sail for Italy, Paul and some other prisoners were handed over to a centurion named Julius, who belonged to the Imperial Regiment.
[BSB | EN | NT | Acts | Chapter 27 | Verse 35] After he had said this, Paul took bread and gave thanks to God in front of them all. Then he broke it and began to eat.
[BSB | EN | NT | Acts | Chapter 27 | Verse 36] They were all encouraged and took some food themselves.
[BSB | EN | NT | Acts | Chapter 27 | Verse 37] In all, there were 276 of us on board.
[BSB | EN | NT | Acts | Chapter 27 | Verse 38] After the men had eaten their fill, they lightened the ship by throwing the grain into the sea.
[BSB | EN | NT | Acts | Chapter 27 | Verse 39] When daylight came, they did not recognize the land, but they sighted a bay with a sandy beach, where they decided to run the ship aground if they could.
[BSB | EN | NT | Acts | Chapter 27 | Verse 40] Cutting away the anchors, they left them in the sea as they loosened the ropes that held the rudders. Then they hoisted the foresail to the wind and made for the beach.
[BSB | EN | NT | Acts | Chapter 27 | Verse 41] But the vessel struck a sandbar and ran aground. The bow stuck fast and would not move, and the stern was being broken up by the pounding of the waves.
[BSB | EN | NT | Acts | Chapter 27 | Verse 42] The soldiers planned to kill the prisoners so none of them could swim to freedom.
[BSB | EN | NT | Acts | Chapter 27 | Verse 43] But the centurion, wanting to spare Paul’s life, thwarted their plan. He commanded those who could swim to jump overboard first and get to land.
[BSB | EN | NT | Acts | Chapter 27 | Verse 44] The rest were to follow on planks and various parts of the ship. In this way everyone was brought safely to land.
