[IRV | UR | NT | John | Chapter 4 | Verse 1] फिर जब ख़ुदावन्द को मा'लूम हुआ, कि फ़रीसियों ने सुना है कि ईसा युहन्ना से ज़्यादा शागिर्द बनाता है और बपतिस्मा देता है,
[IRV | UR | NT | John | Chapter 4 | Verse 17] 'औरत ने जवाब में उससे कहा, “मैं बे शौहर हूँ।” ईसा ने उससे कहा, “तुने ख़ूब कहा, 'मैं बे शौहर हूँ,
[IRV | UR | NT | John | Chapter 4 | Verse 18] क्यूँकि तू पाँच शौहर कर चुकी है, और जिसके पास तू अब है वो तेरा शौहर नहीं; ये तूने सच कहा।”
[IRV | UR | NT | John | Chapter 4 | Verse 19] औरत ने उससे कहा, “ऐ ख़ुदावन्द! मुझे मालूम होता है कि तू नबी है।
[IRV | UR | NT | John | Chapter 4 | Verse 20] हमारे बाप — दादा ने इस पहाड़ पर इबादत की, और तुम कहते हो कि वो जगह जहाँ पर इबादत करना चाहिए येरूशलेम में है।”
[IRV | UR | NT | John | Chapter 4 | Verse 21] ईसा ने उससे कहा, “ऐ बहन, मेरी बात का यक़ीन कर, कि वो वक़्त आता है कि तुम न तो इस पहाड़ पर बाप की इबादत करोगे और न येरूशलेम में।
[IRV | UR | NT | John | Chapter 4 | Verse 22] तुम जिसे नहीं जानते उसकी इबादत करते हो; और हम जिसे जानते हैं उसकी इबादत करते हैं; क्यूँकि नजात यहुदियों में से है।
[IRV | UR | NT | John | Chapter 4 | Verse 23] मगर वो वक़्त आता है बल्कि अब ही है, कि सच्चे इबादतघर ख़ुदा बाप की इबादत रूह और सच्चाई से करेंगे, क्यूँकि ख़ुदा बाप अपने लिए ऐसे ही इबादतघर ढूँडता है।
[IRV | UR | NT | John | Chapter 4 | Verse 24] ख़ुदा रूह है, और ज़रूर है कि उसके इबादतघर रूह और सच्चाई से इबादत करें।”
[IRV | UR | NT | John | Chapter 4 | Verse 25] 'औरत ने उससे कहा, “मैं जानती हूँ कि मसीह जो ख़्रिस्तुस कहलाता है आने वाला है, जब वो आएगा तो हमें सब बातें बता देगा।”
[IRV | UR | NT | John | Chapter 4 | Verse 26] ईसा ने उससे कहा, “मैं जो तुझ से बोल रहा हूँ, वही हूँ।”
[IRV | UR | NT | John | Chapter 4 | Verse 27] इतने में उसके शागिर्द आ गए और ताअ'ज्जुब करने लगे कि वो 'औरत से बातें कर रहा है, तोभी किसी ने न कहा, “तू क्या चाहता है?” या, “उससे किस लिए बातें करता है।”
[IRV | UR | NT | John | Chapter 4 | Verse 28] पस 'औरत अपना घड़ा छोड़कर शहर में चली गई और लोगों से कहने लगी,
[IRV | UR | NT | John | Chapter 4 | Verse 29] “आओ, एक आदमी को देखो, जिसने मेरे सब काम मुझे बता दिए। क्या मुम्किन है कि मसीह यही है?”
[IRV | UR | NT | John | Chapter 4 | Verse 30] वो शहर से निकल कर उसके पास आने लगे।
[IRV | UR | NT | John | Chapter 4 | Verse 31] इतने में उसके शागिर्द उससे ये दरख़्वास्त करने लगे, “ऐ रब्बी! कुछ खा ले।”
[IRV | UR | NT | John | Chapter 4 | Verse 32] लेकिन उसने कहा, “मेरे पास खाने के लिए ऐसा खाना है जिसे तुम नहीं जानते।”
[IRV | UR | NT | John | Chapter 4 | Verse 33] पस शागिर्दों ने आपस में कहा, “क्या कोई उसके लिए कुछ खाने को लाया है?”
[IRV | UR | NT | John | Chapter 4 | Verse 34] ईसा ने उनसे कहा, “मेरा खाना, ये है, कि अपने भेजनेवाले की मर्ज़ी के मुताबिक़ 'अमल करूँ और उसका काम पूरा करूँ।।
[IRV | UR | NT | John | Chapter 4 | Verse 35] क्या तुम कहते नहीं, 'फ़सल के आने में अभी चार महीने बाक़ी हैं'? देखो, मैं तुम से कहता हूँ, अपनी आँखें उठाकर खेतों पर नज़र करो कि फ़सल पक गई है।
[IRV | UR | NT | John | Chapter 4 | Verse 36] और काटनेवाला मज़दूरी पाता और हमेशा की ज़िन्दगी के लिए फल जमा करता है, ताकि बोनेवाला और काटनेवाला दोनों मिलकर ख़ुशी करें।
[IRV | UR | NT | John | Chapter 4 | Verse 37] क्यूँकि इस पर ये मिसाल ठीक आती है, 'बोनेवाला और काटनेवाला और।'
[IRV | UR | NT | John | Chapter 4 | Verse 38] मैंने तुम्हें वो खेत काटने के लिए भेजा जिस पर तुम ने मेहनत नहीं की, औरों ने मेहनत की और तुम उनकी मेहनत के फल में शरीक हुए।”
[IRV | UR | NT | John | Chapter 4 | Verse 39] और उस शहर के बहुत से सामरी उस 'औरत के कहने से, जिसने गवाही दी, उसने मेरे सब काम मुझे बता दिए, उस पर ईमान लाए।
[IRV | UR | NT | John | Chapter 4 | Verse 40] पस जब वो सामरी उसके पास आए, तो उससे दरख़्वास्त करने लगे कि हमारे पास रह। चुनाँचे वो दो रोज़ वहाँ रहा।
[IRV | UR | NT | John | Chapter 4 | Verse 41] और उसके कलाम के ज़रिए से और भी बहुत सारे ईमान लाए
[IRV | UR | NT | John | Chapter 4 | Verse 42] और उस औरत से कहा “अब हम तेरे कहने ही से ईमान नहीं लाते क्यूँकि हम ने ख़ुद सुन लिया और जानते हैं कि ये हक़ीक़त में दुनियाँ का मुन्जी है।”
[IRV | UR | NT | John | Chapter 4 | Verse 43] फिर उन दो दिनों के बाद वो वहाँ से होकर गलील को गया।
[IRV | UR | NT | John | Chapter 4 | Verse 44] क्यूँकि ईसा ने ख़ुद गवाही दी कि नबी अपने वतन में इज़्ज़त नहीं पाता।
[IRV | UR | NT | John | Chapter 4 | Verse 45] पस जब वो गलील में आया तो ग़लतियों ने उसे क़ुबूल किया, इसलिए कि जितने काम उसने येरूशलेम में 'ईद के वक़्त किए थे, उन्होंने उनको देखा था क्यूँकि वो भी 'ईद में गए थे।
[IRV | UR | NT | John | Chapter 4 | Verse 46] पस फिर वो क़ाना — ए — गलील में आया, जहाँ उसने पानी को मय बनाया था, और बादशाह का एक मुलाज़िम था जिसका बेटा कफ़रनहूम में बीमार था।
[IRV | UR | NT | John | Chapter 4 | Verse 47] वो ये सुनकर कि ईसा यहूदिया से गलील में आ गया है, उसके पास गया और उससे दरख़्वास्त करने लगा, कि चल कर मेरे बेटे को शिफ़ा बख़्श क्यूँकि वो मरने को था।
[IRV | UR | NT | John | Chapter 4 | Verse 48] ईसा ने उससे कहा, “जब तक तुम निशान और 'अजीब काम न देखो, हरगिज़ ईमान न लाओगे।”
[IRV | UR | NT | John | Chapter 4 | Verse 49] बादशाह के मुलाज़िम ने उससे कहा, “ऐ ख़ुदावन्द! मेरे बच्चे के मरने से पहले चल।”
[IRV | UR | NT | John | Chapter 4 | Verse 50] ईसा ने उससे कहा, “जा; तेरा बेटा ज़िन्दा है।” उस शख़्स ने उस बात का यक़ीन किया जो ईसा ने उससे कही और चला गया।
[IRV | UR | NT | John | Chapter 4 | Verse 51] वो रास्ते ही में था कि उसके नौकर उसे मिले और कहने लगे, “तेरा बेटा ज़िन्दा है।”
[IRV | UR | NT | John | Chapter 4 | Verse 52] उसने उनसे पूछा, “उसे किस वक़्त से आराम होने लगा था?” उन्होंने कहा, “कल एक बजे उसका बुख़ार उतर गया।”
[IRV | UR | NT | John | Chapter 4 | Verse 53] पस बाप जान गया कि वही वक़्त था जब ईसा ने उससे कहा, “तेरा बेटा ज़िन्दा है।” और वो ख़ुद और उसका सारा घराना ईमान लाया।
[IRV | UR | NT | John | Chapter 4 | Verse 54] ये दूसरा करिश्मा है जो ईसा ने यहूदिया से गलील में आकर दिखाया।
