[IRV | UR | NT | John | Chapter 13 | Verse 1] फ़सह की ईद अब शुरू होने वाली थी। ईसा जानता था कि वह वक़्त आ गया है कि मुझे इस दुनियाँ को छोड़ कर बाप के पास जाना है। अगरचे उस ने हमेशा दुनियाँ में अपने लोगों से मुहब्बत रखी थी, लेकिन अब उस ने आख़िरी हद तक उन पर अपनी मुहब्बत का इज़हार किया।
[IRV | UR | NT | John | Chapter 13 | Verse 12] उन सब के पैरो को धोने के बाद ईसा दुबारा अपना लिबास पहन कर बैठ गया। उस ने सवाल किया, “क्या तुम समझते हो कि मैं ने तुम्हारे लिए क्या किया है?
[IRV | UR | NT | John | Chapter 13 | Verse 13] तुम मुझे ‘उस्ताद’ और ‘ख़ुदावन्द’ कह कर मुख़ातिब करते हो और यह सही है, क्यूँकि मैं यही कुछ हूँ।
[IRV | UR | NT | John | Chapter 13 | Verse 14] मैं, तुम्हारे ख़ुदावन्द और उस्ताद ने तुम्हारे पैर धोए। इस लिए अब तुम्हारा फ़र्ज़ भी है कि एक दूसरे के पैर धोया करो।
[IRV | UR | NT | John | Chapter 13 | Verse 15] मैंने तुम को एक नमूना दिया है ताकि तुम भी वही करो जो मैं ने तुम्हारे साथ किया है।
[IRV | UR | NT | John | Chapter 13 | Verse 16] मैं तुम को सच बताता हूँ कि ग़ुलाम अपने मालिक से बड़ा नहीं होता, न पैग़म्बर अपने भेजने वाले से।
[IRV | UR | NT | John | Chapter 13 | Verse 17] अगर तुम यह जानते हो तो इस पर अमल भी करो, तभी तुम मुबारिक़ होगे।
[IRV | UR | NT | John | Chapter 13 | Verse 18] मैं तुम सब की बात नहीं कर रहा। जिन्हें मैंने चुन लिया है उन्हें मैं जानता हूँ। लेकिन कलाम — ए — मुक़द्दस की उस बात का पूरा होना ज़रूर है, जो मेरी रोटी खाता है उस ने मुझ पर लात उठाई है।
[IRV | UR | NT | John | Chapter 13 | Verse 19] मैं तुम को इस से पहले कि वह पेश आए यह अभी बता रहा हूँ, ताकि जब वह पेश आए तो तुम ईमान लाओ कि मैं वही हूँ।
[IRV | UR | NT | John | Chapter 13 | Verse 20] मैं तुम को सच बताता हूँ कि जो शख़्स उसे क़ुबूल करता है जिसे मैंने भेजा है वह मुझे क़ुबूल करता है। और जो मुझे क़ुबूल करता है वह उसे क़ुबूल करता है जिस ने मुझे भेजा है।”
[IRV | UR | NT | John | Chapter 13 | Verse 21] इन अल्फ़ाज़ के बाद ईसा बेहद दुखी हुआ और कहा, “मैं तुम को सच बताता हूँ कि तुम में से एक मुझे दुश्मन के हवाले कर देगा।”
[IRV | UR | NT | John | Chapter 13 | Verse 22] शागिर्द उलझन में एक दूसरे को देख कर सोचने लगे कि ईसा किस की बात कर रहा है।
[IRV | UR | NT | John | Chapter 13 | Verse 23] एक शागिर्द जिसे ईसा मुहब्बत करता था उस के बिल्कुल क़रीब बैठा था।
[IRV | UR | NT | John | Chapter 13 | Verse 24] पतरस ने उसे इशारा किया कि वह उस से पूछे कि वह किस की बात कर रहा है।
[IRV | UR | NT | John | Chapter 13 | Verse 25] उस शागिर्द ने ईसा की तरफ़ सर झुका कर पूछा, “ख़ुदावन्द, वह कौन है?”
[IRV | UR | NT | John | Chapter 13 | Verse 26] ईसा ने जवाब दिया, “जिसे मैं रोटी का निवाला शोर्बे में डुबो कर दूँ, वही है।” फिर निवाले को डुबो कर उस ने शमौन इस्करियोती के बेटे यहूदाह को दे दिया।
[IRV | UR | NT | John | Chapter 13 | Verse 27] जैसे ही यहूदाह ने यह निवाला ले लिया इब्लीस उस में बस गया। ईसा ने उसे बताया, “जो कुछ करना है वह जल्दी से कर ले।”
[IRV | UR | NT | John | Chapter 13 | Verse 28] लेकिन मेज़ पर बैठे लोगों में से किसी को मालूम न हुआ कि ईसा ने यह क्यूँ कहा।
[IRV | UR | NT | John | Chapter 13 | Verse 29] कुछ का ख़याल था कि चूँकि यहूदाह ख़ज़ांची था इस लिए वह उसे बता रहा है कि ईद के लिए ज़रूरी चीज़ें ख़रीद ले या ग़रीबों में कुछ बाँट दे।
[IRV | UR | NT | John | Chapter 13 | Verse 30] चुनाँचे ईसा से यह निवाला लेते ही यहूदाह बाहर निकल गया। रात का वक़्त था।
[IRV | UR | NT | John | Chapter 13 | Verse 31] यहूदाह के चले जाने के बाद ईसा ने कहा, “अब इब्न — ए — आदम ने जलाल पाया और ख़ुदा ने उस में जलाल पाया है।
[IRV | UR | NT | John | Chapter 13 | Verse 32] हाँ, चूँकि ख़ुदा को उस में जलाल मिल गया है इस लिए ख़ुदा अपने में फ़र्ज़न्द को जलाल देगा। और वह यह जलाल फ़ौरन देगा।
[IRV | UR | NT | John | Chapter 13 | Verse 33] मेरे बच्चो, मैं थोड़ी देर और तुम्हारे पास ठहरूँगा। तुम मुझे तलाश करोगे, और जो कुछ मैं यहूदियों को बता चुका हूँ वह अब तुम को भी बताता हूँ, जहाँ मैं जा रहा हूँ वहाँ तुम नहीं आ सकते।
[IRV | UR | NT | John | Chapter 13 | Verse 34] मैं तुम को एक नया हुक्म देता हूँ, यह कि एक दूसरे से मुहब्बत रखो। जिस तरह मैं ने तुम से मुहब्बत रखी उसी तरह तुम भी एक दूसरे से मुहब्बत करो।
[IRV | UR | NT | John | Chapter 13 | Verse 35] अगर तुम एक दूसरे से मुहब्बत रखोगे तो सब जान लेंगे कि तुम मेरे शागिर्द हो।”
[IRV | UR | NT | John | Chapter 13 | Verse 36] पतरस ने पूछा, ख़ुदावन्द, “आप कहाँ जा रहे हैं?” ईसा ने जवाब दिया “जहाँ में जाता हूँ अब तो तू मेरे पीछे आ नहीं सकता लेकिन बाद में तू मेरे पीछे आ जाएगा।”
[IRV | UR | NT | John | Chapter 13 | Verse 37] पतरस ने सवाल किया, “ख़ुदावन्द, मैं आप के पीछे अभी क्यूँ नहीं जा सकता? मैं आप के लिए अपनी जान तक देने को तय्यार हूँ।”
[IRV | UR | NT | John | Chapter 13 | Verse 38] लेकिन ईसा ने जवाब दिया, “तू मेरे लिए अपनी जान देना चाहता है? मैं तुझे सच बताता हूँ कि मुर्ग़ के बाँग देने से पहले पहले तू तीन मर्तबा मुझे जानने से इन्कार कर चुका होगा।”
