[IRV | UR | NT | John | Chapter 11 | Verse 1] उन दिनों में एक आदमी बीमार पड़ गया जिस का नाम लाज़र था। वह अपनी बहनों मरियम और मर्था के साथ बैत — अनियाह में रहता था।
[IRV | UR | NT | John | Chapter 11 | Verse 25] ईसा ने उसे बताया, “क़यामत और ज़िन्दगी तो मैं हूँ। जो मुझ पर ईमान रखे वह ज़िन्दा रहेगा, चाहे वह मर भी जाए।
[IRV | UR | NT | John | Chapter 11 | Verse 26] और जो ज़िन्दा है और मुझ पर ईमान रखता है वह कभी नहीं मरेगा। मर्था, क्या तुझे इस बात का यक़ीन है?”
[IRV | UR | NT | John | Chapter 11 | Verse 27] मर्था ने जवाब दिया, “जी ख़ुदावन्द, मैं ईमान रखती हूँ कि आप ख़ुदा के फ़र्ज़न्द मसीह हैं, जिसे दुनियाँ में आना था।”
[IRV | UR | NT | John | Chapter 11 | Verse 28] यह कह कर मर्था वापस चली गई और चुपके से मरियम को बुलाया, “उस्ताद आ गए हैं, वह तुझे बुला रहे हैं।”
[IRV | UR | NT | John | Chapter 11 | Verse 29] यह सुनते ही मरियम उठ कर ईसा के पास गई।
[IRV | UR | NT | John | Chapter 11 | Verse 30] वह अभी गाँव के बाहर उसी जगह ठहरा था जहाँ उस की मुलाक़ात मर्था से हुई थी।
[IRV | UR | NT | John | Chapter 11 | Verse 31] जो यहूदी घर में मरियम के साथ बैठे उसे तसल्ली दे रहे थे, जब उन्हों ने देखा कि वह जल्दी से उठ कर निकल गई है तो वह उस के पीछे हो लिए। क्यूँकि वह समझ रहे थे कि वह मातम करने के लिए अपने भाई की क़ब्र पर जा रही है।
[IRV | UR | NT | John | Chapter 11 | Verse 32] मरियम ईसा के पास पहुँच गई। उसे देखते ही वह उस के पैरों में गिर गई और कहने लगी, “ख़ुदावन्द, अगर आप यहाँ होते तो मेरा भाई न मरता।”
[IRV | UR | NT | John | Chapter 11 | Verse 33] जब ईसा ने मरियम और उस के लोगों को रोते देखा तो उसे दुःख हुआ। और उसने ताअ'ज्जुब होकर
[IRV | UR | NT | John | Chapter 11 | Verse 34] उस ने पूछा, “तुम ने उसे कहाँ रखा है?” उन्हों ने जवाब दिया, “आएँ ख़ुदावन्द, और देख लें।”
[IRV | UR | NT | John | Chapter 11 | Verse 35] ईसा “रो पड़ा।
[IRV | UR | NT | John | Chapter 11 | Verse 36] यहूदियों ने कहा, देखो, वह उसे कितना प्यारा था।”
[IRV | UR | NT | John | Chapter 11 | Verse 37] लेकिन उन में से कुछ ने कहा, इस आदमी ने अंधे को सही किया। “क्या यह लाज़र को मरने से नहीं बचा सकता था?”
[IRV | UR | NT | John | Chapter 11 | Verse 38] फिर ईसा दुबारा बहुत ही मायूस हो कर क़ब्र पर आया। क़ब्र एक ग़ार थी जिस के मुँह पर पत्थर रखा गया था।
[IRV | UR | NT | John | Chapter 11 | Verse 39] ईसा ने कहा, “पत्थर को हटा दो।” लेकिन मर्हूम की बहन मर्था ने एतराज़ किया, “ख़ुदावन्द, बदबू आएगी, क्यूँकि उसे यहाँ पड़े चार दिन हो गए हैं।”
[IRV | UR | NT | John | Chapter 11 | Verse 40] ईसा ने उस से कहा, “क्या मैंने तुझे नहीं बताया कि अगर तू ईमान रखे तो ख़ुदा का जलाल देखेगी?”
[IRV | UR | NT | John | Chapter 11 | Verse 41] चुनाँचे उन्हों ने पत्थर को हटा दिया। फिर ईसा ने अपनी नज़र उठा कर कहा, “ऐ बाप, मैं तेरा शुक्र करता हूँ कि तू ने मेरी सुन ली है।
[IRV | UR | NT | John | Chapter 11 | Verse 42] मैं तो जानता हूँ कि तू हमेशा मेरी सुनता है। लेकिन मैं ने यह बात पास खड़े लोगों की ख़ातिर की, ताकि वह ईमान लाएँ कि तू ने मुझे भेजा है।”
[IRV | UR | NT | John | Chapter 11 | Verse 43] फिर ईसा ज़ोर से पुकार उठा, “लाज़र, निकल आ!”
[IRV | UR | NT | John | Chapter 11 | Verse 44] और मुर्दा निकल आया। अभी तक उस के हाथ और पाँओ पट्टियों से बँधे हुए थे जबकि उस का चेहरा कपड़े में लिपटा हुआ था। ईसा ने उन से कहा, “इस के कफ़न को खोल कर इसे जाने दो।”
[IRV | UR | NT | John | Chapter 11 | Verse 45] उन यहूदियों में से जो मरियम के पास आए थे बहुत से ईसा पर ईमान लाए जब उन्हों ने वह देखा जो उस ने किया।
[IRV | UR | NT | John | Chapter 11 | Verse 46] लेकिन कुछ फ़रीसियों के पास गए और उन्हें बताया कि ईसा ने क्या किया है।
[IRV | UR | NT | John | Chapter 11 | Verse 47] तब राहनुमा इमामों और फ़रीसियों ने यहूदियों ने सदरे अदालत का जलसा बुलाया। उन्हों ने एक दूसरे से पूछा, “हम क्या कर रहे हैं? यह आदमी बहुत से ख़ुदाई करिश्मे दिखा रहा है।
[IRV | UR | NT | John | Chapter 11 | Verse 48] अगर हम उसे यूँही छोड़ें तो आख़िरकार सब उस पर ईमान ले आएँगे। फिर रोमी हाकिम आ कर हमारे बैत — उल — मुक़द्दस और हमारे मुल्क को तबाह कर देंगे।”
[IRV | UR | NT | John | Chapter 11 | Verse 49] उन में से एक काइफ़ा था जो उस साल इमाम — ए — आज़म था। उस ने कहा, “आप कुछ नहीं समझते
[IRV | UR | NT | John | Chapter 11 | Verse 50] और इस का ख़याल भी नहीं करते कि इस से पहले कि पूरी क़ौम हलाक हो जाए बेहतर यह है कि एक आदमी उम्मत के लिए मर जाए।”
[IRV | UR | NT | John | Chapter 11 | Verse 51] उस ने यह बात अपनी तरफ़ से नहीं की थी। उस साल के इमाम — ए — आज़म की हैसियत से ही उस ने यह पेशीनगोई की कि ईसा यहूदी क़ौम के लिए मरेगा।
[IRV | UR | NT | John | Chapter 11 | Verse 52] और न सिर्फ़ इस के लिए बल्कि ख़ुदा के बिखरे हुए फ़र्ज़न्दों को जमा करके एक करने के लिए भी।
[IRV | UR | NT | John | Chapter 11 | Verse 53] उस दिन से उन्हों ने ईसा को क़त्ल करने का इरादा कर लिया।
[IRV | UR | NT | John | Chapter 11 | Verse 54] इस लिए उस ने अब से एलानिया यहूदियों के दरमियान वक़्त न गुज़ारा, बल्कि उस जगह को छोड़ कर रेगिस्तान के क़रीब एक इलाक़े में गया। वहाँ वह अपने शागिर्दों समेत एक गाँव बनाम इफ़्राईम में रहने लगा।
[IRV | UR | NT | John | Chapter 11 | Verse 55] फिर यहूदियों की ईद — ए — फ़सह क़रीब आ गई। देहात से बहुत से लोग अपने आप को पाक करवाने के लिए ईद से पहले पहले येरूशलेम पहुँचे।
[IRV | UR | NT | John | Chapter 11 | Verse 56] वहाँ वह ईसा का पता करते और हैकल में खड़े आपस में बात करते रहे, “क्या ख़याल है? क्या वह ईद पर नहीं आएगा?”
[IRV | UR | NT | John | Chapter 11 | Verse 57] लेकिन राहनुमा इमामों और फ़रीसियों ने हुक्म दिया था, अगर किसी को मालूम हो जाए कि ईसा कहाँ है तो वह ख़बर दे ताकि हम उसे गिरफ़्तार कर लें।
