[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 1] ਇਸਰਾਏਲ ਦੇ ਪਹਿਲੌਠੇ ਰਊਬੇਨ ਦੇ ਪੁੱਤਰ (ਉਹ ਪਹਿਲੌਠਾ ਸੀ ਪਰ ਇਸ ਲਈ ਜੋ ਉਸ ਨੇ ਆਪਣੇ ਪਿਤਾ ਦੇ ਬਿਸਤਰ ਨੂੰ ਭਰਿਸ਼ਟ ਕੀਤਾ ਸੀ, ਉਸ ਦੇ ਪਹਿਲੌਠੇ ਹੋਣ ਦਾ ਹੱਕ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰ ਯੂਸੁਫ਼ ਦੇ ਪੁੱਤਰਾਂ ਨੂੰ ਦਿੱਤਾ ਗਿਆ ਅਤੇ ਉਹ ਕੁਲ ਪੱਤ੍ਰੀ ਵਿੱਚ ਪਹਿਲੌਠਾ ਕਰਕੇ ਨਹੀਂ ਗਿਣਿਆ ਜਾਂਦਾ)
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 12] ਯੋਏਲ ਮੁਖੀ ਸੀ, ਫੇਰ ਦੂਜਾ ਸ਼ਫਾਮ ਅਤੇ ਯਅਨਈ ਤੇ ਸ਼ਾਫਾਟ ਬਾਸ਼ਾਨ ਵਿੱਚ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 13] ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਾਂ ਦੇ ਘਰਾਣੇ ਦੇ ਸੱਤ ਭਰਾ, ਮੀਕਾਏਲ ਤੇ ਮਸ਼ੁੱਲਾਮ ਤੇ ਸ਼ਬਾ ਤੇ ਯੋਰਈ ਤੇ ਯਅਕਾਨ ਤੇ ਜ਼ੀਆ ਤੇ ਏਬਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 14] ਇਹ ਅਬੀਹੈਲ ਦੇ ਪੁੱਤਰ, ਹੂਰੀ ਦੇ ਪੁੱਤਰ, ਯਾਰੋਅਹ ਦਾ ਪੁੱਤਰ, ਗਿਲਆਦ ਦਾ ਪੁੱਤਰ, ਮੀਕਾਏਲ ਦਾ ਪੁੱਤਰ, ਯਸ਼ੀਸ਼ਈ ਦਾ ਪੁੱਤਰ, ਯਹਦੋ ਦਾ ਪੁੱਤਰ, ਬੂਜ਼ ਦਾ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 15] ਅਬਦੀਏਲ ਦਾ ਪੁੱਤਰ ਅਹੀ, ਗੂਨੀ ਦਾ ਪੁੱਤਰ ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦਾ ਮੁਖੀ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 16] ਅਤੇ ਓਹ ਗਿਲਆਦ ਵਿੱਚ ਬਾਸ਼ਾਨ ਵਿੱਚ ਅਤੇ ਉਸ ਦੇ ਪਿੰਡਾਂ ਵਿੱਚ ਤੇ ਸ਼ਾਰੋਨ ਦੀਆਂ ਸਾਰੀਆਂ ਚਾਰਗਾਹਾਂ ਵਿੱਚ ਉਨ੍ਹਾਂ ਦੀਆਂ ਹੱਦਾਂ ਤੱਕ ਵੱਸਦੇ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 17] ਯਹੂਦਾਹ ਦੇ ਪਾਤਸ਼ਾਹ ਯੋਥਾਮ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹ ਯਾਰਾਬੁਆਮ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਇਹ ਸਾਰੀਆਂ ਕੁਲਪੱਤ੍ਰੀਆਂ ਲਿਖੀਆਂ ਗਈਆਂ।
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 18] ਰਊਬੇਨੀ ਤੇ ਗਾਦੀ ਤੇ ਮਨੱਸ਼ਹ ਦੇ ਅੱਧੇ ਗੋਤ ਦੇ ਸੂਰਮੇ ਜਿਹੜੇ ਢਾਲ਼ ਤੇ ਤਲਵਾਰ ਉਠਾਉਣ ਵਾਲੇ, ਤੀਰ-ਅੰਦਾਜ਼ ਅਤੇ ਲੜਾਈ ਵਿੱਚ ਸਿਆਣੇ ਸਨ, ਉਹ ਚੁਤਾਲੀ ਹਜ਼ਾਰ ਸੱਤ ਸੌ ਸੱਠ ਯੋਧੇ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 19] ਅਤੇ ਇਹ ਹਗਰੀਆਂ, ਯਟੂਰ ਤੇ ਨਾਫ਼ੀਸ਼ ਤੇ ਨੋਦਾਬ ਨਾਲ ਲੜੇ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 20] ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਵਿਰੋਧ ਕਰਨ ਵਿੱਚ ਇਨ੍ਹਾਂ ਨੂੰ ਸਹਾਇਤਾ ਮਿਲੀ ਅਤੇ ਹਗਰੀ ਅਤੇ ਸਭ ਜਿਹੜੇ ਉਨ੍ਹਾਂ ਨਾਲ ਸਨ ਉਨ੍ਹਾਂ ਦੇ ਹਵਾਲੇ ਕੀਤੇ ਗਏ ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਲੜਾਈ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਦੀ ਬੇਨਤੀ ਕੀਤੀ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਬੇਨਤੀ ਪਰਵਾਨ ਹੋਈ, ਇਸ ਲਈ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਦੇ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 21] ਅਤੇ ਓਹ ਉਨ੍ਹਾਂ ਦੇ ਪਸ਼ੂ ਲੈ ਗਏ, ਉਨ੍ਹਾਂ ਦੇ ਊਠ ਪੰਜਾਹ ਹਜ਼ਾਰ, ਅਤੇ ਭੇਡਾਂ ਢਾਈ ਲੱਖ, ਅਤੇ ਗਧੇ ਦੋ ਹਜ਼ਾਰ, ਅਤੇ ਇੱਕ ਲੱਖ ਮਨੁੱਖ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 22] ਸੋ ਬਹੁਤ ਸਾਰੇ ਲੋਕ ਵੱਢੇ ਗਏ ਕਿਉਂ ਜੋ ਇਹ ਯੁੱਧ ਪਰਮੇਸ਼ੁਰ ਦੀ ਵੱਲੋਂ ਸੀ ਅਤੇ ਉਹ ਗ਼ੁਲਾਮ ਹੋਣ ਦੇ ਸਮੇਂ ਤੱਕ ਉਨ੍ਹਾਂ ਦੇ ਥਾਂ ਵਿੱਚ ਵੱਸਦੇ ਰਹੇ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 23] ਮਨੱਸ਼ੀਆਂ ਦੇ ਅੱਧੇ ਗੋਤ ਦੇ ਲੋਕ ਉਸ ਦੀ ਧਰਤੀ ਵਿੱਚ ਵੱਸੇ। ਓਹ ਬਾਸ਼ਾਨ ਤੋਂ ਬਆਲ-ਹਰਮੋਨ ਤੇ ਸਨੀਰ ਤੇ ਹਰਮੋਨ ਪਰਬਤ ਤੱਕ ਵਧਦੇ ਗਏ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 24] ਇਹ ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ, ਅਰਥਾਤ ਏਫਰ ਤੇ ਯਿਸ਼ਈ ਤੇ ਅਲੀਏਲ ਤੇ ਅਜ਼ਰੀਏਲ ਤੇ ਯਿਰਮਿਯਾਹ ਤੇ ਹੋਦਵਯਾਹ ਤੇ ਯਹਦੀਏਲ ਜਿਹੜੇ ਸੂਰਬੀਰ ਯੋਧੇ, ਨਾਮੀ, ਤੇ ਆਪਣੇ ਪੁਰਖਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 25] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਆਪਣੇ ਵੱਡ-ਵਡੇਰਿਆਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਅਪਰਾਧ ਕੀਤਾ ਅਤੇ ਉਸ ਦੇਸ ਦੇ ਲੋਕਾਂ ਦੇ ਦੇਵਤਿਆਂ ਦੇ ਪਿੱਛੇ ਚਲ ਕੇ ਵਿਭਚਾਰੀ ਹੋ ਗਏ ਜਿਨ੍ਹਾਂ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਅੱਗੇ ਨਸ਼ਟ ਕੀਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 26] ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਅੱਸ਼ੂਰ ਦੇ ਰਾਜਾ ਪੂਲ ਦੇ ਮਨ ਨੂੰ ਅਤੇ ਅਸ਼ੂਰ ਦੇ ਰਾਜਾ ਤਿਲਗਥ ਪਿਲਨਅਸਰ ਦੇ ਮਨ ਨੂੰ ਉਕਸਾਇਆ, ਅਤੇ ਉਹ ਉਹਨਾਂ ਨੂੰ ਅਰਥਾਤ ਰਊਬੇਨੀਆਂ ਨੂੰ, ਗਾਦੀਆਂ ਨੂੰ ਅਤੇ ਮਨੱਸ਼ਹ ਦੇ ਅੱਧੇ ਗੋਤ ਨੂੰ ਦੇਸ ਵਿੱਚੋਂ ਕੱਢ ਕੇ ਲੈ ਗਏ, ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਹਲਹ, ਹਾਬੋਰ, ਹਾਰਾ ਅਤੇ ਗੋਜ਼ਾਨ ਦੀ ਨਦੀ ਨੂੰ ਲੈ ਆਇਆ। ਉਹ ਅੱਜ ਤੱਕ ਉੱਥੇ ਹੀ ਵੱਸਦੇ ਹਨ।
