[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 1] ਸ਼ੈਤਾਨ ਇਸਰਾਏਲ ਦੇ ਵਿਰੁੱਧ ਉੱਠਿਆ ਅਤੇ ਉਸ ਨੇ ਦਾਊਦ ਨੂੰ ਉਕਸਾਇਆ ਕਿ ਉਹ ਇਸਰਾਏਲ ਦੀ ਗਿਣਤੀ ਕਰੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 12] ਜਾਂ ਤਿੰਨ ਸਾਲਾਂ ਕਾਲ ਪਵੇ ਜਾਂ ਤੂੰ ਆਪਣੇ ਵੈਰੀਆਂ ਦੇ ਸਾਹਮਣੇ ਤਿੰਨ ਮਹੀਨਿਆਂ ਤੱਕ ਨਾਸ ਹੁੰਦਾ ਜਾਏਂ ਜਦੋਂ ਤੇਰੇ ਵੈਰੀਆਂ ਦੀ ਤਲਵਾਰ ਤੇਰੇ ਉੱਤੇ ਆ ਪਵੇ ਜਾਂ ਤਿੰਨ ਦਿਨਾਂ ਤੱਕ ਯਹੋਵਾਹ ਦੀ ਤਲਵਾਰ ਅਰਥਾਤ ਮਹਾਂ ਮਰੀ ਦੇਸ ਵਿੱਚ ਹੋਵੇ ਅਤੇ ਯਹੋਵਾਹ ਦਾ ਦੂਤ ਇਸਰਾਏਲ ਦੀ ਸਾਰੀ ਧਰਤੀ ਵਿੱਚ ਨਸ਼ਟ ਕਰਦਾ ਫਿਰੇ। ਹੁਣ ਵਿਚਾਰ ਕਰ ਕੇ ਦੱਸ, ਜੋ ਮੈਂ ਉਸ ਨੂੰ ਜਿਸ ਨੇ ਮੈਨੂੰ ਭੇਜਿਆ ਹੈ ਕੀ ਉੱਤਰ ਦੇਵਾਂ?
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 13] ਦਾਊਦ ਨੇ ਗਾਦ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਤਾਂ ਵੱਡੀ ਮੁਸੀਬਤ ਵਿੱਚ ਪਿਆ ਹਾਂ, ਹੁਣ ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਹੱਥ ਵਿੱਚ ਪਵਾਂ ਕਿਉਂ ਜੋ ਉਸ ਦੀ ਦਯਾ ਬਹੁਤ ਵੱਡੀ ਹੈ, ਪਰ ਮਨੁੱਖ ਦੇ ਹੱਥ ਵਿੱਚ ਨਾ ਪਵਾਂ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 14] ਸੋ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲ ਉੱਤੇ ਮਹਾਂ ਮਰੀ ਘੱਲੀ ਅਤੇ ਇਸਰਾਏਲ ਵਿੱਚੋਂ ਸੱਤਰ ਹਜ਼ਾਰ ਲੋਕ ਮਰ ਗਏ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 15] ਯਹੋਵਾਹ ਨੇ ਇੱਕ ਦੂਤ ਯਰੂਸ਼ਲਮ ਨੂੰ ਭੇਜ ਦਿੱਤਾ ਤਾਂ ਜੋ ਉਹ ਦਾ ਨਾਸ ਕਰੇ, ਜਦੋਂ ਉਸ ਨੇ ਉਸ ਦੇ ਨਾਸ ਕਰਨ ਨੂੰ ਤਿਆਰੀ ਕੀਤੀ ਹੀ ਸੀ, ਤਾਂ ਪਰਮੇਸ਼ੁਰ ਵੇਖ ਕੇ ਉਸ ਦੁੱਖ ਦੇ ਦੇਣ ਤੋਂ ਪਛਤਾਇਆ ਅਤੇ ਉਸ ਨਸ਼ਟ ਕਰਨ ਵਾਲੇ ਦੂਤ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ, ਬਸ, ਬਹੁਤ ਹੋ ਗਿਆ, ਹੁਣ ਆਪਣਾ ਹੱਥ ਖਿੱਚ ਲੈ, ਉਸ ਵੇਲੇ ਯਹੋਵਾਹ ਦਾ ਦੂਤ ਯਬੂਸੀ ਆਰਨਾਨ ਦੇ ਪਿੜ ਕੋਲ ਖੜ੍ਹਾ ਸੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 16] ਤਾਂ ਦਾਊਦ ਨੇ ਆਪਣੀਆਂ ਅੱਖਾਂ ਉਤਾਂਹ ਕਰ ਕੇ ਕੀ ਦੇਖਿਆ, ਕਿ ਯਹੋਵਾਹ ਦਾ ਦੂਤ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਦੇ ਵਿਚਕਾਰ ਖਲੋਤਾ ਹੋਇਆ ਸੀ ਅਤੇ ਉਸ ਦੇ ਹੱਥ ਵਿੱਚ ਨੰਗੀ ਤਲਵਾਰ ਯਰੂਸ਼ਲਮ ਦੀ ਵੱਲ ਧੂਹੀ ਹੋਈ ਸੀ, ਤਾਂ ਦਾਊਦ ਅਤੇ ਬਜ਼ੁਰਗ ਤੱਪੜ ਪਹਿਨੇ ਹੋਏ ਮੂੰਹ ਦੇ ਭਾਰ ਡਿੱਗ ਪਏ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 17] ਅਤੇ ਦਾਊਦ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰ ਕੇ ਆਖਿਆ, ਕੀ ਮੈਂ ਹੀ ਇਹ ਆਗਿਆ ਨਹੀਂ ਦਿੱਤੀ ਸੀ ਜੋ ਲੋਕਾਂ ਦੀ ਗਿਣਤੀ ਕੀਤੀ ਜਾਵੇ? ਪਾਪ ਤਾਂ ਮੈਂ ਕੀਤਾ ਹੈ ਅਤੇ ਸੱਚ-ਮੁੱਚ ਦੋਸ਼ ਮੇਰਾ ਹੈ, ਪਰ ਇਨ੍ਹਾਂ ਭੇਡਾਂ ਦਾ ਕੀ ਦੋਸ਼ ਹੈ? ਹੇ ਯਹੋਵਾਹ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਤੇਰਾ ਹੱਥ ਮੇਰੇ ਉੱਤੇ ਅਤੇ ਮੇਰੇ ਪਿਤਾ ਦੇ ਘਰਾਣੇ ਦੇ ਵਿਰੁੱਧ ਹੋਵੇ, ਨਾ ਕਿ ਤੇਰੇ ਲੋਕਾਂ ਉੱਤੇ, ਜੋ ਉਹ ਬਵਾ ਵਿੱਚ ਫਸ ਜਾਣ!।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 18] ਤਾਂ ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਨੇ ਗਾਦ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ ਕਿ ਦਾਊਦ ਨੂੰ ਆਖੋ ਜੋ ਦਾਊਦ ਜਾ ਕੇ ਯਬੂਸੀ ਆਰਨਾਨ ਦੇ ਪਿੜ ਵਿੱਚ ਯਹੋਵਾਹ ਦੇ ਲਈ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਵੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 19] ਫਿਰ ਦਾਊਦ ਗਾਦ ਦੀ ਆਗਿਆ ਅਨੁਸਾਰ, ਜਿਹੜੀ ਉਸ ਨੇ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਉੱਤੇ ਦਿੱਤੀ ਸੀ, ਚਲਾ ਗਿਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 20] ਆਰਨਾਨ ਨੇ ਪਿੱਛੇ ਮੁੜ ਕੇ ਦੂਤ ਨੂੰ ਦੇਖਿਆ ਅਤੇ ਉਸ ਦੇ ਚੌਹਾਂ ਪੁੱਤਰਾਂ ਨੇ ਉਹ ਦੇ ਨਾਲ ਆਪਣੇ ਆਪ ਨੂੰ ਲੁਕਾ ਲਿਆ, ਉਸ ਵੇਲੇ ਆਰਨਾਨ ਕਣਕ ਝਾੜ ਰਿਹਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 21] ਅਤੇ ਦਾਊਦ ਆਰਨਾਨ ਦੇ ਕੋਲ ਆਉਂਦਾ ਹੀ ਸੀ, ਤਾਂ ਆਰਨਾਨ ਨੇ ਦਾਊਦ ਨੂੰ ਦੇਖਿਆ, ਅਤੇ ਪਿੜ ਤੋਂ ਬਾਹਰ ਜਾ ਕੇ ਦਾਊਦ ਦੇ ਅੱਗੇ ਮੂੰਹ ਭਾਰ ਝੁੱਕ ਕੇ ਨਮਸਕਾਰ ਕੀਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 22] ਤਾਂ ਦਾਊਦ ਨੇ ਆਰਨਾਨ ਨੂੰ ਆਖਿਆ ਕਿ ਇਹ ਪਿੜ ਮੈਨੂੰ ਦੇ, ਤਾਂ ਜੋ ਮੈਂ ਐਥੇ ਯਹੋਵਾਹ ਦੇ ਲਈ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਵਾਂ। ਮੇਰੇ ਕੋਲੋਂ ਇਸ ਦਾ ਪੂਰਾ ਮੁੱਲ ਲੈ ਕੇ ਮੈਨੂੰ ਦੇ, ਤਾਂ ਜੋ ਲੋਕਾਂ ਦੇ ਸਿਰ ਉੱਤੋਂ ਮਰੀ ਹਟ ਜਾਏ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 23] ਅਤੇ ਆਰਨਾਨ ਨੇ ਦਾਊਦ ਨੂੰ ਅੱਗੋਂ ਆਖਿਆ ਕਿ ਲੈ ਲਓ ਅਤੇ ਜਿਵੇਂ ਮੇਰਾ ਸੁਆਮੀ ਪਾਤਸ਼ਾਹ ਚਾਹੁੰਦਾ ਹੈ ਉਸੇ ਤਰ੍ਹਾਂ ਕਰੇ, ਵੇਖੋ, ਮੈਂ ਤਾਂ ਹੋਮ ਦੀਆਂ ਬਲੀਆਂ ਦੇ ਲਈ ਬਲ਼ਦ, ਕਣਕ ਝਾੜਨ ਦਾ ਸਾਰਾ ਸਮਾਨ ਬਾਲਣ ਵਾਸਤੇ, ਅੰਨ ਦੀ ਭੇਟ ਵਾਸਤੇ ਕਣਕ ਅਤੇ ਸਭ ਕੁਝ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 24] ਤਦ ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਨੇ ਆਰਨਾਨ ਨੂੰ ਆਖਿਆ, ਨਹੀਂ, ਸੱਚ-ਮੁੱਚ ਮੈਂ ਤਾਂ ਉਹ ਦਾ ਪੂਰਾ ਮੁੱਲ ਦੇ ਕੇ ਹੀ ਉਸ ਨੂੰ ਖਰੀਦਾਂਗਾ ਕਿਉਂ ਜੋ ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਲਈ ਤੇਰਾ ਮਾਲ ਨਹੀਂ ਲਵਾਂਗਾ, ਨਾ ਮੁੱਲ ਤੋਂ ਬਿਨਾਂ ਹੋਮ ਬਲੀ ਚੜ੍ਹਾਵਾਂਗਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 25] ਅਖ਼ੀਰ, ਦਾਊਦ ਨੇ ਆਰਨਾਨ ਨੂੰ ਉਸੇ ਥਾਂ ਦੇ ਲਈ ਛੇ ਸੌ ਤੋੜਾ ਸੋਨਾ ਤੋਲ ਕੇ ਦਿੱਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 26] ਦਾਊਦ ਨੇ ਯਹੋਵਾਹ ਦੇ ਲਈ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਈ, ਅਤੇ ਹੋਮ ਦੀਆਂ ਬਲੀਆਂ ਅਤੇ ਸੁੱਖ-ਸਾਂਦ ਦੀਆਂ ਭੇਟਾਂ ਚੜ੍ਹਾਈਆਂ ਅਤੇ ਯਹੋਵਾਹ ਅੱਗੇ ਪ੍ਰਾਰਥਨਾ ਕੀਤੀ, ਤਾਂ ਯਹੋਵਾਹ ਨੇ ਅਕਾਸ਼ ਤੋਂ ਹੋਮ ਦੀ ਜਗਵੇਦੀ ਉੱਤੇ ਅੱਗ ਭੇਜ ਕੇ ਉਸ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 27] ਯਹੋਵਾਹ ਨੇ ਉਸ ਦੂਤ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ, ਤਦ ਉਸ ਨੇ ਆਪਣੀ ਤਲਵਾਰ ਫੇਰ ਮਿਆਨ ਵਿੱਚ ਪਾ ਲਈ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 28] ਉਸ ਵੇਲੇ ਜਦ ਦਾਊਦ ਨੇ ਦੇਖਿਆ, ਜੋ ਯਹੋਵਾਹ ਨੇ ਯਬੂਸੀ ਆਰਨਾਨ ਦੇ ਪਿੜ ਵਿੱਚ ਉਸ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਤਦ ਉਸ ਨੇ ਉੱਥੇ ਬਲੀਦਾਨ ਚੜ੍ਹਾਇਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 29] ਕਿਉਂ ਜੋ ਉਸ ਵੇਲੇ ਯਹੋਵਾਹ ਦਾ ਡੇਰਾ ਜਿਹੜਾ ਮੂਸਾ ਨੇ ਉਜਾੜ ਵਿੱਚ ਬਣਾਇਆ ਸੀ ਅਤੇ ਹੋਮ ਦੀ ਜਗਵੇਦੀ ਗਿਬਓਨ ਦੇ ਉੱਚੇ ਥਾਂ ਉੱਤੇ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 30] ਪਰ ਦਾਊਦ ਪਰਮੇਸ਼ੁਰ ਦੀ ਭਾਲ ਵਿੱਚ ਉੱਥੇ ਉਹ ਦੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਨ ਲਈ ਨਾ ਜਾ ਸਕਿਆ, ਕਿਉਂ ਜੋ ਉਹ ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਦੀ ਤਲਵਾਰ ਤੋਂ ਡਰਦਾ ਸੀ।
