[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 1] ਹਾਰੂਨ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਦਲ ਇਹ ਹਨ, ਹਾਰੂਨ ਦੇ ਪੁੱਤਰ ਨਾਦਾਬ ਤੇ ਅਬੀਹੂ, ਅਲਆਜ਼ਾਰ ਤੇ ਈਥਾਮਾਰ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 20] ਲੇਵੀ ਦੇ ਰਹਿੰਦੇ ਪੁੱਤਰ ਇਹ ਸਨ, ਅਮਰਾਮ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਸ਼ੂਬਾਏਲ। ਸ਼ੂਬਾਏਲ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ, ਜਹਦਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 21] ਰਹਾਬਯਾਹ, ਰਹਾਬਯਾਹ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਪਹਿਲਾ ਯਿੱਸ਼ੀਯਾਹ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 22] ਯਿਸਹਾਰੀਆਂ ਵਿੱਚੋਂ ਸ਼ਲੋਮੋਥ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ, ਯਹਥ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 23] ਅਤੇ ਹਬਰੋਨ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਯਰੀਯਾਹ, ਅਮਰਯਾਹ ਦੂਜਾ ਯਹਜ਼ੀਏਲ ਤੀਜਾ, ਯਿਕਮਆਮ ਚੌਥਾ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 24] ਉੱਜ਼ੀਏਲ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ, ਮੀਕਾਹ। ਮੀਕਾਹ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ, ਸ਼ਾਮੀਰ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 25] ਮੀਕਾਹ ਦੇ ਭਰਾ ਯਿੱਸ਼ੀਯਾਹ, ਯਿੱਸ਼ੀਯਾਹ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਜ਼ਕਰਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 26] ਮਰਾਰੀ ਦੇ ਪੁੱਤਰ, ਮਹਲੀ ਤੇ ਮੂਸ਼ੀ। ਯਅਜ਼ੀਯਾਹ ਦੇ ਪੁੱਤਰ, ਬਨੋ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 27] ਮਰਾਰੀ ਦੇ ਪੁੱਤਰ, ਯਅਜ਼ੀਯਾਹ ਦੀ ਬਨੋ ਤੇ ਸ਼ੋਹਮ ਤੇ ਜ਼ੱਕੂਰ ਤੇ ਈਬਰੀ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 28] ਮਹਲੀ ਦੀ ਅਲਆਜ਼ਾਰ ਜਿਹ ਦੇ ਪੁੱਤਰ ਨਹੀਂ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 29] ਰਿਹਾ ਕੀਸ਼, ਕੀਸ਼ ਦਾ ਪੁੱਤਰ, ਯਰਹਮਏਲ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 30] ਅਤੇ ਮੂਸ਼ੀ ਦੇ ਪੁੱਤਰ ਮਹਲੀ ਤੇ ਏਦਰ ਤੇ ਯਰੀਮੋਥ। ਇਹ ਲੇਵੀ ਦੇ ਪੁੱਤਰ ਆਪਣੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 31] ਇਨ੍ਹਾਂ ਨੇ ਵੀ ਹਾਰੂਨ ਦੇ ਪੁੱਤਰਾਂ ਆਪਣੇ ਭਰਾਵਾਂ ਵਾਂਗੂੰ ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਦੇ, ਸਾਦੋਕ ਦੇ, ਅਹੀਮਲਕ ਦੇ ਅਤੇ ਲੇਵੀਆਂ ਤੇ ਜਾਜਕਾਂ ਦੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਆਂ ਦੇ ਸਨਮੁਖ ਪਰਚੀਆਂ ਪਈਆਂ ਅਰਥਾਤ ਮੁਖੀਏ ਦੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣੇ ਆਪਣੇ ਛੋਟੇ ਭਰਾਵਾਂ ਦੇ ਬਰਾਬਰ।
