[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 1] Give ear, O heavens, to my voice; let the earth take note of the words of my mouth:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 21] They have given my honour to that which is not God, moving me to wrath with their false worship: I will give their honour to those who are not a people, moving them to wrath by a foolish nation,
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 22] For my wrath is a flaming fire, burning to the deep parts of the underworld, burning up the earth with her increase, and firing the deep roots of the mountains.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 23] I will send a rain of troubles on them, my arrows will be showered on them.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 24] They will be wasted from need of food, and overcome by burning heat and bitter destruction; and the teeth of beasts I will send on them, with the poison of the worms of the dust.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 25] Outside they will be cut off by the sword, and in the inner rooms by fear; death will take the young man and the virgin, the baby at the breast and the grey-haired man.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 26] I said I would send them wandering far away, I would make all memory of them go from the minds of men:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 27] But for the fear that their haters, uplifted in their pride, might say, Our hand is strong, the Lord has not done all this.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 28] For they are a nation without wisdom; there is no sense in them.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 29] If only they were wise, if only this was clear to them, and they would give thought to their future!
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 30] How would it be possible for one to overcome a thousand, and two to send ten thousand in flight, if their rock had not let them go, if the Lord had not given them up?
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 31] For their rock is not like our Rock, even our haters themselves being judges.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 32] For their vine is the vine of Sodom, from the fields of Gomorrah: their grapes are the grapes of evil, and the berries are bitter:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 33] Their wine is the poison of dragons, the cruel poison of snakes.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 34] Is not this among my secrets, kept safe in my store-house?
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 35] Punishment is mine and reward, at the time of the slipping of their feet: for the day of their downfall is near, sudden will be their fate.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 36] For the Lord will be judge of his people, he will have pity for his servants; when he sees that their power is gone, there is no one, shut up or free.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 37] And he will say, Where are their gods, the rock in which they put their faith?
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 38] Who took the fat of their offerings, and the wine of their drink offering? Let them now come to your help, let them be your salvation.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 39] See now, I myself am he; there is no other god but me: giver of death and life, wounding and making well: and no one has power to make you free from my hand.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 40] For lifting up my hand to heaven I say, By my unending life,
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 41] If I make sharp my shining sword, and my hand is outstretched for judging, I will give punishment to those who are against me, and their right reward to my haters.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 42] I will make my arrows red with blood, my sword will be feasting on flesh, with the blood of the dead and the prisoners, of the long-haired heads of my haters.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 43] Be glad, O you his people, over the nations; for he will take payment for the blood of his servants, and will give punishment to his haters, and take away the sin of his land, for his people.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 44] So Moses said all the words of this song in the hearing of the people, he and Hoshea, the son of Nun.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 45] And after saying all this to the people,
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 46] Moses said to them, Let the words which I have said to you today go deep into your hearts, and give orders to your children to do every word of this law.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 47] And this is no small thing for you, but it is your life, and through this you may make your days long in the land which you are going over Jordan to take for your heritage.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 48] That same day the Lord said to Moses,
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 49] Go up into this mountain of Abarim, to Mount Nebo in the land of Moab opposite Jericho; there you may see the land of Canaan, which I am giving to the children of Israel for their heritage:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 50] And let death come to you on the mountain where you are going, and be put to rest with your people; as death came to Aaron, your brother, on Mount Hor, where he was put to rest with his people:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 51] Because of your sin against me before the children of Israel at the waters of Meribath Kadesh in the waste land of Zin; because you did not keep my name holy among the children of Israel.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 52] So you will see the land before you, but you will not go into the land which I am giving to the children of Israel.
