[ERV | EN | OT | Ezra | Chapter 10 | Verse 1] Now while Ezra prayed, and made confession, weeping and casting himself down before the house of God, there was gathered together unto him out of Israel a very great congregation of men and women and children: for the people wept very sore.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 27] And of the sons of Zattu; Elioenai, Eliashib, Mattaniah, and Jeremoth, and Zabad, and Aziza.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 28] And of the sons of Bebai; Jehohanan, Hananiah, Zabbai, Athlai.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 29] And of the sons of Bani; Meshullam, Malluch, and Adaiah, Jashub, and Sheal, Jeremoth.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 30] And of the sons of Pahath-moab; Adna, and Chelal, Benaiah, Maaseiah, Mattaniah, Bezalel, and Binnui, and Manasseh.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 31] And of the sons of Harim; Eliezer, Isshijah, Malchijah, Shemaiah, Shimeon;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 32] Benjamin, Malluch, Shemariah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 33] Of the sons of Hashum; Mattenai, Mattattah, Zabad, Eliphelet, Jeremai, Manasseh, Shimei.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 34] Of the sons of Bani; Maadai, Amram, and Uel;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 35] Benaiah, Bedeiah, Cheluhi;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 36] Vaniah, Meremoth, Eliashib;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 37] Mattaniah, Mattenai, and Jaasu;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 38] and Bani, and Binnui, Shimei;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 39] and Shelemiah, and Nathan, and Adaiah;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 40] Machnadebai, Shashai, Sharai;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 41] Azarel, and Shelemiah, Shemariah;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 42] Shallum, Amariah, Joseph.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 43] Of the sons of Nebo; Jeiel, Mattithiah, Zabad, Zebina, Iddo, and Joel, Benaiah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 44] All these had taken strange wives: and some of them had wives by whom they had children.
