[IRV | PA | OT | Joshua | Chapter 19 | Verse 1] ਦੂਜੀ ਪਰਚੀ ਸ਼ਿਮਓਨ ਲਈ ਅਰਥਾਤ ਸ਼ਿਮਓਨੀਆਂ ਦੇ ਗੋਤ ਲਈ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਨਿੱਕਲੀ ਅਤੇ ਉਹਨਾਂ ਦੀ ਵਿਰਾਸਤ ਯਹੂਦੀਆਂ ਦੇ ਹਿੱਸੇ ਵਿੱਚ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 12] ਅਤੇ ਸਾਰੀਦ ਤੋਂ ਪੂਰਬ ਨੂੰ ਸੂਰਜ ਦੇ ਚੜ੍ਹਦੀ ਵੱਲ ਕਿਸਲਥ ਤਾਬੋਰ ਦੀ ਹੱਦ ਨੂੰ ਮੁੜੀ ਅਤੇ ਉੱਥੋਂ ਦਾਬਰਥ ਨੂੰ ਜਾ ਕੇ ਯਾਫ਼ੀਆ ਨੂੰ ਚੜ੍ਹੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 13] ਅਤੇ ਉੱਥੋਂ ਲੰਘ ਕੇ ਅੱਗੇ ਨੂੰ ਚੜ੍ਹਦੀ ਵੱਲ ਗਥ ਹੇਫ਼ਰ ਅਤੇ ਇੱਤਾਕਾਸੀਨ ਵੱਲ ਗਈ ਅਤੇ ਰਿੰਮੋਨ ਜਿਹੜਾ ਨੇਆਹ ਤੱਕ ਪਹੁੰਚਦਾ ਹੈ ਗਈ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 14] ਉਹ ਹੱਦ ਉਹ ਦੇ ਉੱਤਰ ਵੱਲੋਂ ਹਨਾਥੋਨ ਕੋਲੋਂ ਮੁੜੀ ਅਤੇ ਉਹ ਦਾ ਫੈਲਾਓ ਯਿੱਫਤਾਏਲ ਦੀ ਵਾਦੀ ਤੱਕ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 15] ਕੱਟਾਥ ਅਤੇ ਨਹਲਾਲ ਅਤੇ ਸ਼ਿਮਰੋਨ ਯਿਦਲਾਹ ਅਤੇ ਬੈਤਲਹਮ, ਬਾਰਾਂ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 16] ਇਹ ਜ਼ਬੂਲੁਨੀਆਂ ਦੀ ਮਿਲਖ਼ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਸੀ, ਇਹ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 17] ਚੌਥੀ ਪਰਚੀ ਯਿੱਸਾਕਾਰ ਲਈ ਨਿੱਕਲੀ ਅਰਥਾਤ ਯਿੱਸਾਕਾਰੀਆਂ ਲਈ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 18] ਅਤੇ ਉਹਨਾਂ ਦੀ ਹੱਦ ਯਿਜ਼ਰਏਲ ਅਤੇ ਕਸੂਲੋਥ ਅਤੇ ਸ਼ੂਨੇਮ ਤੱਕ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 19] ਹਫਾਰਇਮ ਅਤੇ ਸ਼ੀਓਨ ਅਤੇ ਅਨਾਹਰਾਥ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 20] ਰੰਬੀਥ ਅਤੇ ਕਿਸ਼ਯੋਨ ਅਤੇ ਆਬਸ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 21] ਅਤੇ ਰਮਥ ਅਤੇ ਏਨ-ਗਨੀਮ ਅਤੇ ਏਨ-ਹੱਦਦ ਅਤੇ ਬੈਤ-ਪੱਸੇਸ ਤੱਕ ਸੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 22] ਤਾਂ ਉਹ ਹੱਦ ਤਾਬੋਰ ਅਤੇ ਸਾਹਸੀਮਾਹ ਅਤੇ ਬੈਤ ਸ਼ਮਸ਼ ਨੂੰ ਜਾ ਢੁੱਕੀ ਅਤੇ ਉਹ ਦੀਆਂ ਹੱਦਾਂ ਦਾ ਫੈਲਾਓ ਯਰਦਨ ਤੱਕ ਸੀ, ਸੋਲਾਂ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 23] ਉਹ ਯਿੱਸਾਕਾਰੀਆਂ ਦੇ ਗੋਤ ਦੀ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਮਿਲਖ਼ ਸੀ ਅਤੇ ਉਹਨਾਂ ਦੇ ਸ਼ਹਿਰ ਤੇ ਪਿੰਡ ਇਹ ਸਨ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 24] ਪੰਜਵੀਂ ਪਰਚੀ ਆਸ਼ੇਰੀਆਂ ਦੇ ਗੋਤ ਦਾ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਨਿੱਕਲੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 25] ਅਤੇ ਉਹਨਾਂ ਦੀ ਹੱਦ ਇਹ ਸੀ, ਹਲਕਾਥ ਅਤੇ ਹਲੀ ਅਤੇ ਬਟਨ ਅਤੇ ਅਕਸ਼ਾਫ਼
[IRV | PA | OT | Joshua | Chapter 19 | Verse 26] ਅਤੇ ਅਲਮੰਲਕ ਅਤੇ ਅਮਾਦ ਅਤੇ ਮਿਸ਼ਾਲ ਅਤੇ ਪੱਛਮ ਵੱਲ ਕਰਮਲ ਨੂੰ ਅਤੇ ਸ਼ੀਹੋਰ ਲਿਬਨਾਥ ਨੂੰ ਜਾ ਢੁੱਕੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 27] ਸੂਰਜ ਦੇ ਚੜ੍ਹਦੇ ਪਾਸੇ ਉਹ ਬੈਤ ਦਾਗੋਨ ਨੂੰ ਮੁੜ ਕੇ ਜ਼ਬੂਲੁਨ ਨੂੰ ਅਤੇ ਯਿੱਫਤਾਏਲ ਦੀ ਵਾਦੀ ਨੂੰ ਉਤਰ ਵੱਲ ਬੈਤ ਏਮਕ ਅਤੇ ਨਈਏਲ ਤੱਕ ਜਾ ਢੁੱਕੀ, ਫਿਰ ਉਹ ਖੱਬੇ ਪਾਸੇ ਕਾਬੂਲ ਨੂੰ ਨਿੱਕਲੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 28] ਨਾਲੇ ਅਬਰੋਨ ਅਤੇ ਰਹੋਬ ਅਤੇ ਹੰਮੋਨ ਅਤੇ ਕਾਨਾਹ ਨੂੰ ਵੱਡੇ ਸੀਦੋਨ ਤੱਕ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 29] ਤਾਂ ਉਹ ਹੱਦ ਰਾਮਾਹ ਅਤੇ ਮਿਬਸਰ-ਸੋਰ ਦੇ ਸ਼ਹਿਰ ਨੂੰ ਮੁੜੀ ਅਤੇ ਉਹ ਹੱਦ ਹੋਸਾਹ ਨੂੰ ਮੁੜੀ ਅਤੇ ਉਹ ਦਾ ਫੈਲਾਓ ਸਮੁੰਦਰ ਕੋਲ ਹੇਬਲ ਤੋਂ ਅਕਜ਼ੀਬ ਤੱਕ ਸੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 30] ਨਾਲੇ ਉੱਮਾਹ ਅਤੇ ਅਫੇਕ ਅਤੇ ਰਹੋਬ, ਬਾਈ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 31] ਇਹ ਆਸ਼ੇਰੀਆਂ ਦੇ ਗੋਤ ਦੀ ਮਿਲਖ਼ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਸੀ ਇਹ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਪਿੰਡ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 32] ਛੇਵੀਂ ਪਰਚੀ ਨਫ਼ਤਾਲੀਆਂ ਦੇ ਲਈ ਨਿੱਕਲੀ ਅਰਥਾਤ ਨਫ਼ਤਾਲੀਆਂ ਦੇ ਲਈ ਉਹਨਾਂ ਦੀਆਂ ਗੋਤਾਂ ਅਨੁਸਾਰ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 33] ਉਹਨਾਂ ਦੀ ਹੱਦ ਹਲਫ ਤੋਂ ਸਅਨਇਮ ਦੇ ਬਲੂਤ ਤੋਂ ਅਤੇ ਅਦਾਮੀ ਨਕਬ, ਯਬਨੇਲ ਤੋਂ ਲੱਕੂਮ ਤੱਕ ਅਤੇ ਉਸ ਦਾ ਫੈਲਾਓ ਯਰਦਨ ਤੱਕ ਸੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 34] ਤਾਂ ਉਹ ਹੱਦ ਪੱਛਮ ਵੱਲ ਅਜ਼ਨੋਥ ਤਾਬੋਰ ਨੂੰ ਮੁੜੀ ਅਤੇ ਉੱਥੋਂ ਹੁੱਕੋਕ ਨੂੰ ਜਾ ਨਿੱਕਲੀ ਅਤੇ ਦੱਖਣ ਵੱਲ ਜ਼ਬੂਲੁਨ ਨੂੰ ਜਾ ਪਹੁੰਚੀ ਅਤੇ ਪੱਛਮ ਵੱਲ ਆਸ਼ੇਰ ਨੂੰ ਅਤੇ ਸੂਰਜ ਦੇ ਚੜ੍ਹਦੇ ਪਾਸੇ ਯਰਦਨ ਕੋਲ ਯਹੂਦਾਹ ਨੂੰ ਜਾ ਪਹੁੰਚੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 35] ਅਤੇ ਗੜ੍ਹ ਵਾਲੇ ਸ਼ਹਿਰ ਇਹ ਸਨ, ਸਿੱਦੀਮ, ਸੇਰ ਅਤੇ ਹੰਮਥ, ਰੱਕਥ ਅਤੇ ਕਿੰਨਰਥ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 36] ਅਤੇ ਅਦਾਮਾਹ ਅਤੇ ਰਾਮਾਹ ਅਤੇ ਹਾਸੋਰ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 37] ਅਤੇ ਕਾਦੇਸ਼ ਅਤੇ ਅਦਰਈ ਅਤੇ ਏਨ-ਹਾਸੋਰ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 38] ਅਤੇ ਯਿਰੋਨ ਅਤੇ ਮਿਗਦਲ-ਏਲ, ਹਾਰੇਮ ਅਤੇ ਬੈਤ ਅਨਾਥ ਅਤੇ ਬੈਤ ਸ਼ਮਸ਼, ਉੱਨੀ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 39] ਇਹ ਨਫ਼ਤਾਲੀਆਂ ਦੇ ਗੋਤ ਦੀ ਮਿਲਖ਼ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਸੀ ਅਰਥਾਤ ਇਹ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 40] ਸੱਤਵੀਂ ਪਰਚੀ ਦਾਨੀਆਂ ਦੇ ਗੋਤ ਲਈ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਨਿੱਕਲੀ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 41] ਅਤੇ ਉਹਨਾਂ ਦੀ ਮਿਲਖ਼ ਦੀ ਹੱਦ ਇਹ ਸੀ, ਸਾਰਾਹ ਅਤੇ ਅਸ਼ਤਾਓਲ ਅਤੇ ਈਰ-ਸ਼ਮਸ਼
[IRV | PA | OT | Joshua | Chapter 19 | Verse 42] ਅਤੇ ਸ਼ਆਲੱਬੀਨ ਅਤੇ ਅੱਯਾਲੋਨ ਅਤੇ ਯਿਥਲਾਹ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 43] ਅਤੇ ਏਲੋਨ ਅਤੇ ਤਿਮਨਾਹ ਅਤੇ ਅਕਰੋਨ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 44] ਅਤੇ ਅਲਤਕੇਹ ਅਤੇ ਗਿਬਥੋਨ ਅਤੇ ਬਆਲਾਥ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 45] ਅਤੇ ਯਿਹੁਦ ਅਤੇ ਬਨੇ-ਬਰਕ ਅਤੇ ਗਥ-ਰਿੰਮੋਨ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 46] ਅਤੇ ਮੇ-ਯਰਕੋਨ ਅਤੇ ਰੱਕੋਨ ਨਾਲੇ ਯਾਫ਼ਾ ਦੇ ਸਾਹਮਣੇ ਦੀ ਹੱਦ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 47] ਅਤੇ ਦਾਨੀਆਂ ਦੀ ਹੱਦ ਉਹਨਾਂ ਤੋਂ ਪਾਰ ਇਸ ਲਈ ਨਿੱਕਲੀ ਕਿ ਦਾਨੀਆਂ ਨੇ ਚੜ੍ਹਾਈ ਕਰ ਕੇ ਲਸ਼ਮ ਨਾਲ ਯੁੱਧ ਕੀਤਾ ਅਤੇ ਉਹ ਨੂੰ ਲੈ ਕੇ ਤਲਵਾਰ ਦੀ ਧਾਰ ਨਾਲ ਵੱਢਿਆ ਅਤੇ ਉਸ ਉੱਤੇ ਕਬਜ਼ਾ ਕਰ ਕੇ ਉਸ ਵਿੱਚ ਵਸੇਰਾ ਕੀਤਾ ਅਤੇ ਲਸ਼ਮ ਨੂੰ ਦਾਨ ਆਪਣੇ ਪਿਤਾ ਦਾਨ ਦੇ ਨਾਮ ਉੱਤੇ ਆਖਿਆ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 48] ਇਹ ਦਾਨੀਆਂ ਦੇ ਗੋਤ ਦੀ ਮਿਲਖ਼ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਅਨੁਸਾਰ ਸੀ ਅਰਥਾਤ ਇਹ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 49] ਤਦ ਉਹ ਉਸ ਦੇਸ ਨੂੰ ਉਹ ਦੀਆਂ ਹੱਦਾਂ ਅਨੁਸਾਰ ਵੰਡ ਚੁੱਕੇ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਨੇ ਨੂਨ ਦੇ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ ਨੂੰ ਆਪਣੇ ਵਿੱਚ ਮਿਲਖ਼ ਦਿੱਤੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 50] ਯਹੋਵਾਹ ਦੇ ਹੁਕਮ ਅਨੁਸਾਰ ਉਹਨਾਂ ਨੇ ਉਹ ਨੂੰ ਉਹ ਸ਼ਹਿਰ ਜਿਹ ਨੂੰ ਉਹ ਮੰਗਦਾ ਸੀ ਅਰਥਾਤ ਤਿਮਨਥ-ਸਰਹ ਇਫ਼ਰਾਈਮ ਦੇ ਪਰਬਤ ਵਿੱਚ ਦਿੱਤਾ ਅਤੇ ਉਹ ਨੇ ਉਸ ਸ਼ਹਿਰ ਨੂੰ ਬਣਾ ਕੇ ਉੱਥੇ ਵਾਸ ਕੀਤਾ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 51] ਇਹ ਉਹ ਮਿਲਖਾਂ ਹਨ ਜਿਹੜੀਆਂ ਅਲਆਜ਼ਾਰ ਜਾਜਕ ਅਤੇ ਨੂਨ ਦੇ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਦੇ ਗੋਤਾਂ ਦੇ ਪ੍ਰਧਾਨਾਂ ਨੇ ਸ਼ੀਲੋਹ ਵਿੱਚ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੇ ਦਰਵਾਜ਼ੇ ਕੋਲ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਪਰਚੀਆਂ ਪਾ ਕੇ ਵੰਡ ਦਿੱਤੀਆਂ। ਇਸ ਤਰ੍ਹਾਂ ਉਹ ਉਸ ਦੇਸ ਨੂੰ ਵੰਡ ਚੁੱਕੇ।
