[ASV | EN | OT | Isaiah | Chapter 37 | Verse 1] And it came to pass, when king Hezekiah heard it, that he rent his clothes, and covered himself with sackcloth, and went into the house of Jehovah.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 17] Incline thine ear, O Jehovah, and hear; open thine eyes, O Jehovah, and see; and hear all the words of Sennacherib, who hath sent to defy the living God.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 18] Of a truth, Jehovah, the kings of Assyria have laid waste all the countries, and their land,
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 19] and have cast their gods into the fire: for they were no gods, but the work of men’s hands, wood and stone; therefore they have destroyed them.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 20] Now therefore, O Jehovah our God, save us from his hand, that all the kingdoms of the earth may know that thou art Jehovah, even thou only.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 21] Then Isaiah the son of Amoz sent unto Hezekiah, saying, Thus saith Jehovah, the God of Israel, Whereas thou hast prayed to me against Sennacherib king of Assyria,
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 22] this is the word which Jehovah hath spoken concerning him: The virgin daughter of Zion hath despised thee and laughed thee to scorn; the daughter of Jerusalem hath shaken her head at thee.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 23] Whom hast thou defied and blasphemed? and against whom hast thou exalted thy voice and lifted up thine eyes on high? even against the Holy One of Israel.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 24] By thy servants hast thou defied the Lord, and hast said, With the multitude of my chariots am I come up to the height of the mountains, to the innermost parts of Lebanon; and I will cut down the tall cedars thereof, and the choice fir trees thereof; and I will enter into its farthest height, the forest of its fruitful field;
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 25] I have dug and drunk water, and with the sole of my feet will I dry up all the rivers of Egypt.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 26] Hast thou not heard how I have done it long ago, and formed it of ancient times? now have I brought it to pass, that it should be thine to lay waste fortified cities into ruinous heaps.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 27] Therefore their inhabitants were of small power, they were dismayed and confounded; they were as the grass of the field, and as the green herb, as the grass on the housetops, and as a field of grain before it is grown up.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 28] But I know thy sitting down, and thy going out, and thy coming in, and thy raging against me.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 29] Because of thy raging against me, and because thine arrogancy is come up into mine ears, therefore will I put my hook in thy nose, and my bridle in thy lips, and I will turn thee back by the way by which thou camest.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 30] And this shall be the sign unto thee: ye shall eat this year that which groweth of itself, and in the second year that which springeth of the same; and in the third year sow ye, and reap, and plant vineyards, and eat the fruit thereof.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 31] And the remnant that is escaped of the house of Judah shall again take root downward, and bear fruit upward.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 32] For out of Jerusalem shall go forth a remnant, and out of mount Zion they that shall escape. The zeal of Jehovah of hosts will perform this.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 33] Therefore thus saith Jehovah concerning the king of Assyria, He shall not come unto this city, nor shoot an arrow there, neither shall he come before it with shield, nor cast up a mound against it.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 34] By the way that he came, by the same shall he return, and he shall not come unto this city, saith Jehovah.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 35] For I will defend this city to save it, for mine own sake, and for my servant David’s sake.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 36] And the angel of Jehovah went forth, and smote in the camp of the Assyrians a hundred and fourscore and five thousand; and when men arose early in the morning, behold, these were all dead bodies.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 37] So Sennacherib king of Assyria departed, and went and returned, and dwelt at Nineveh.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 38] And it came to pass, as he was worshiping in the house of Nisroch his god, that Adrammelech and Sharezer his sons smote him with the sword; and they escaped into the land of Ararat. And Esar-haddon his son reigned in his stead.
