[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 1] ثُمَّ نُعَرِّفُكُمْ أَيُّهَا ٱلْإِخْوَةُ نِعْمَةَ ٱللهِ ٱلْمُعْطَاةَ فِي كَنَائِسِ مَكِدُونِيَّةَ،
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 12] لِأَنَّهُ إِنْ كَانَ ٱلنَّشَاطُ مَوْجُودًا فَهُوَ مَقْبُولٌ عَلَى حَسَبِ مَا لِلْإِنْسَانِ، لَا عَلَى حَسَبِ مَا لَيْسَ لَهُ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 13] فَإِنَّهُ لَيْسَ لِكَيْ يَكُونَ لِلْآخَرِينَ رَاحَةٌ وَلَكُمْ ضِيقٌ،
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 14] بَلْ بِحَسَبِ ٱلْمُسَاوَاةِ. لِكَيْ تَكُونَ فِي هَذَا ٱلْوَقْتِ فُضَالَتُكُمْ لِإِعْوَازِهِمْ، كَيْ تَصِيرَ فُضَالَتُهُمْ لِإِعْوَازِكُمْ، حَتَّى تَحْصُلَ ٱلْمُسَاوَاةُ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 15] كَمَا هُوَ مَكْتُوبٌ: «ٱلَّذِي جَمَعَ كَثِيرًا لَمْ يُفْضِلْ، وَٱلَّذِي جَمَعَ قَلِيلًا لَمْ يُنْقِصْ». خدمة تيطس في كورنثوس
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 16] وَلَكِنْ شُكْرًا لِلهِ ٱلَّذِي جَعَلَ هَذَا ٱلِٱجْتِهَادَ عَيْنَهُ لِأَجْلِكُمْ فِي قَلْبِ تِيطُسَ،
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 17] لِأَنَّهُ قَبِلَ ٱلطِّلْبَةَ. وَإِذْ كَانَ أَكْثَرَ ٱجْتِهَادًا، مَضَى إِلَيْكُمْ مِنْ تِلْقَاءِ نَفْسِهِ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 18] وَأَرْسَلْنَا مَعَهُ ٱلْأَخَ ٱلَّذِي مَدْحُهُ فِي ٱلْإِنْجِيلِ فِي جَمِيعِ ٱلْكَنَائِسِ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 19] وَلَيْسَ ذَلِكَ فَقَطْ، بَلْ هُوَ مُنْتَخَبٌ أَيْضًا مِنَ ٱلْكَنَائِسِ رَفِيقًا لَنَا فِي ٱلسَّفَرِ، مَعَ هَذِهِ ٱلنِّعْمَةِ ٱلْمَخْدُومَةِ مِنَّا لِمَجْدِ ذَاتِ ٱلرَّبِّ ٱلْوَاحِدِ، وَلِنَشَاطِكُمْ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 20] مُتَجَنِّبِينَ هَذَا أَنْ يَلُومَنَا أَحَدٌ فِي جَسَامَةِ هَذِهِ ٱلْمَخْدُومَةِ مِنَّا.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 21] مُعْتَنِينَ بِأُمُورٍ حَسَنَةٍ، لَيْسَ قُدَّامَ ٱلرَّبِّ فَقَطْ، بَلْ قُدَّامَ ٱلنَّاسِ أَيْضًا.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 22] وَأَرْسَلْنَا مَعَهُمَا أَخَانَا، ٱلَّذِي ٱخْتَبَرْنَا مِرَارًا فِي أُمُورٍ كَثِيرَةٍ أَنَّهُ مُجْتَهِدٌ، وَلَكِنَّهُ ٱلْآنَ أَشَدُّ ٱجْتِهَادًا كَثِيرًا بِٱلثِّقَةِ ٱلْكَثِيرَةِ بِكُمْ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 23] أَمَّا مِنْ جِهَةِ تِيطُسَ فَهُوَ شَرِيكٌ لِي وَعَامِلٌ مَعِي لِأَجْلِكُمْ. وَأَمَّا أَخَوَانَا فَهُمَا رَسُولَا ٱلْكَنَائِسِ، وَمَجْدُ ٱلْمَسِيحِ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 24] فَبَيِّنُوا لَهُمْ، وَقُدَّامَ ٱلْكَنَائِسِ، بَيِّنَةَ مَحَبَّتِكُمْ، وَٱفْتِخَارِنَا مِنْ جِهَتِكُمْ.
