[ERV | EN | NT | Mark | Chapter 12 | Verse 1] And he began to speak unto them in parables. A man planted a vineyard, and set a hedge about it, and digged a pit for the winepress, and built a tower, and let it out to husbandmen, and went into another country.
[ERV | EN | NT | Mark | Chapter 12 | Verse 29] Jesus answered, The first is, Hear, O Israel; The Lord our God, the Lord is one:
[ERV | EN | NT | Mark | Chapter 12 | Verse 30] and thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength.
[ERV | EN | NT | Mark | Chapter 12 | Verse 31] The second is this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these.
[ERV | EN | NT | Mark | Chapter 12 | Verse 32] And the scribe said unto him, Of a truth, Master, thou hast well said that he is one; and there is none other but he:
[ERV | EN | NT | Mark | Chapter 12 | Verse 33] and to love him with all the heart, and with all the understanding, and with all the strength, and to love his neighbour as himself, is much more than all whole burnt offerings and sacrifices.
[ERV | EN | NT | Mark | Chapter 12 | Verse 34] And when Jesus saw that he answered discreetly, he said unto him, Thou art not far from the kingdom of God. And no man after that durst ask him any question.
[ERV | EN | NT | Mark | Chapter 12 | Verse 35] And Jesus answered and said, as he taught in the temple, How say the scribes that the Christ is the son of David?
[ERV | EN | NT | Mark | Chapter 12 | Verse 36] David himself said in the Holy Spirit, The Lord said unto my Lord, Sit thou on my right hand, Till I make thine enemies the footstool of thy feet.
[ERV | EN | NT | Mark | Chapter 12 | Verse 37] David himself calleth him Lord; and whence is he his son? And the common people heard him gladly.
[ERV | EN | NT | Mark | Chapter 12 | Verse 38] And in his teaching he said, Beware of the scribes, which desire to walk in long robes, and to have salutations in the marketplaces,
[ERV | EN | NT | Mark | Chapter 12 | Verse 39] and chief seats in the synagogues, and chief places at feasts:
[ERV | EN | NT | Mark | Chapter 12 | Verse 40] they which devour widows’ houses, and for a pretence make long prayers; these shall receive greater condemnation.
[ERV | EN | NT | Mark | Chapter 12 | Verse 41] And he sat down over against the treasury, and beheld how the multitude cast money into the treasury: and many that were rich cast in much.
[ERV | EN | NT | Mark | Chapter 12 | Verse 42] And there came a poor widow, and she cast in two mites, which make a farthing.
[ERV | EN | NT | Mark | Chapter 12 | Verse 43] And he called unto him his disciples, and said unto them, Verily I say unto you, This poor widow cast in more than all they which are casting into the treasury:
[ERV | EN | NT | Mark | Chapter 12 | Verse 44] for they all did cast in of their superfluity; but she of her want did cast in all that she had, even all her living.
