[ERV | EN | NT | Mark | Chapter 10 | Verse 1] And he arose from thence, and cometh into the borders of Judaea and beyond Jordan: and multitudes come together unto him again; and, as he was wont, he taught them again.
[ERV | EN | NT | Mark | Chapter 10 | Verse 33] saying, Behold, we go up to Jerusalem; and the Son of man shall be delivered unto the chief priests and the scribes; and they shall condemn him to death, and shall deliver him unto the Gentiles:
[ERV | EN | NT | Mark | Chapter 10 | Verse 34] and they shall mock him, and shall spit upon him, and shall scourge him, and shall kill him; and after three days he shall rise again.
[ERV | EN | NT | Mark | Chapter 10 | Verse 35] And there come near unto him James and John, the sons of Zebedee, saying unto him, Master, we would that thou shouldest do for us whatsoever we shall ask of thee.
[ERV | EN | NT | Mark | Chapter 10 | Verse 36] And he said unto them, What would ye that I should do for you?
[ERV | EN | NT | Mark | Chapter 10 | Verse 37] And they said unto him, Grant unto us that we may sit, one on thy right hand, and one on thy left hand, in thy glory.
[ERV | EN | NT | Mark | Chapter 10 | Verse 38] But Jesus said unto them, Ye know not what ye ask. Are ye able to drink the cup that I drink? or to be baptized with the baptism that I am baptized with?
[ERV | EN | NT | Mark | Chapter 10 | Verse 39] And they said unto him, We are able. And Jesus said unto them, The cup that I drink ye shall drink; and with the baptism that I am baptized withal shall ye be baptized:
[ERV | EN | NT | Mark | Chapter 10 | Verse 40] but to sit on my right hand or on my left hand is not mine to give: but it is for them for whom it hath been prepared.
[ERV | EN | NT | Mark | Chapter 10 | Verse 41] And when the ten heard it, they began to be moved with indignation concerning James and John.
[ERV | EN | NT | Mark | Chapter 10 | Verse 42] And Jesus called them to him, and saith unto them, Ye know that they which are accounted to rule over the Gentiles lord it over them; and their great ones exercise authority over them.
[ERV | EN | NT | Mark | Chapter 10 | Verse 43] But it is not so among you: but whosoever would become great among you, shall be your minister:
[ERV | EN | NT | Mark | Chapter 10 | Verse 44] and whosoever would be first among you, shall be servant of all.
[ERV | EN | NT | Mark | Chapter 10 | Verse 45] For verily the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.
[ERV | EN | NT | Mark | Chapter 10 | Verse 46] And they come to Jericho: and as he went out from Jericho, with his disciples and a great multitude, the son of Timaeus, Bartimaeus, a blind beggar, was sitting by the way side.
[ERV | EN | NT | Mark | Chapter 10 | Verse 47] And when he heard that it was Jesus of Nazareth, he began to cry out, and say, Jesus, thou son of David, have mercy on me.
[ERV | EN | NT | Mark | Chapter 10 | Verse 48] And many rebuked him, that he should hold his peace: but he cried out the more a great deal, Thou son of David, have mercy on me.
[ERV | EN | NT | Mark | Chapter 10 | Verse 49] And Jesus stood still, and said, Call ye him. And they call the blind man, saying unto him, Be of good cheer: rise, he calleth thee.
[ERV | EN | NT | Mark | Chapter 10 | Verse 50] And he, casting away his garment, sprang up, and came to Jesus.
[ERV | EN | NT | Mark | Chapter 10 | Verse 51] And Jesus answered him, and said, What wilt thou that I should do unto thee? And the blind man said unto him, Rabboni, that I may receive my sight.
[ERV | EN | NT | Mark | Chapter 10 | Verse 52] And Jesus said unto him, Go thy way; thy faith hath made thee whole. And straightway he received his sight, and followed him in the way.
