[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 1] Καὶ ἐγενήθη τῷ Ἰωσαφὰτ ἔτι πλοῦτος καὶ δόξα πολλὴ, καὶ ἐπεγαμβρεύσατο ἐν οἴκῳ Ἀχαάβ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 12] Καὶ ὁ ἄγγελος ὁ πορευθεὶς τοῦ καλέσαι τὸν Μιχαίαν, ἐλάλησεν αὐτῷ, λέγων, ἰδοὺ ἐλάλησαν οἱ προφῆται ἐν στόματι ἑνὶ ἀγαθὰ περὶ τοῦ βασιλέως, καὶ ἔστωσαν δὴ οἱ λόγοι σου ὡς ἑνὸς αὐτῶν, καὶ λαλήσεις ἀγαθά.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 13] Καὶ εἶπε Μιχαίας, ζῇ Κύριος, ὅτι ὃ ἐὰν εἴπῃ ὁ Θεὸς πρὸς μὲ, αὐτὸ λαλήσω.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 14] Καὶ ἦλθε πρὸς τὸν βασιλέα, καὶ εἶπεν αὐτῷ ὁ βασιλεὺς, Μιχαία, εἰ πορευθῶ εἰς Ῥαμὼθ Γαλαὰδ εἰς πόλεμον, ἢ ἐπίσχω; καὶ εἶπεν, ἀνάβαινε, καὶ εὐοδώσεις, καὶ δοθήσονται εἰς χεῖρας ὑμῶν.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 15] Καὶ εἶπεν αὐτῷ ὁ βασιλεὺς, ποσάκις ὁρκίζω σε ἵνα μὴ λαλήσῃς πρὸς μὲ πλὴν τὴν ἀλήθειαν ἐν ὀνόματι Κυρίου;
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 16] Καὶ εἶπεν, εἶδον τὸν Ἰσραὴλ διεσπαρμένους ἐν τοῖς ὄρεσιν, ὡς πρόβατα οἷς οὐκ ἔστι ποιμήν· καὶ εἶπε Κύριος, οὐκ ἔχουσιν ἡγούμενον οὗτοι, ἀναστρεφέτωσαν ἕκαστος εἰς τὸν οἶκον αὐτοῦ ἐν εἰρήνῃ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 17] Καὶ εἶπεν ὁ βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ, οὐκ εἶπόν σοι, ὅτι οὐ προφητεύει περὶ ἐμοῦ ἀγαθὰ ἀλλʼ ἢ κακά;
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 18] Καὶ εἶπεν, οὐχ οὕτως· ἀκούσατε λόγον Κυρίου. εἶδον τὸν Κύριον καθήμενον ἐπὶ θρόνου αὐτοῦ, καὶ πᾶσα δύναμις τοῦ οὐρανοῦ παρειστήκει ἐκ δεξιῶν αὐτοῦ καὶ ἐξ ἀριστερῶν αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 19] Καὶ εἶπε Κύριος, τίς ἀπατήσει τὸν Ἀχαὰβ βασιλέα Ἰσραὴλ, καὶ ἀναβήσεται, καὶ πεσεῖται ἐν Ῥαμὼθ Γαλαάδ; καὶ οὗτος εἶπεν οὕτως, καὶ οὗτος εἶπεν οὕτως.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 20] Καὶ ἐξῆλθε τὸ πνεῦμα καὶ ἔστη ἐνώπιον Κυρίου, καὶ εἶπεν, ἐγὼ ἀπατήσω αὐτόν· καὶ εἶπε Κύριος, ἐν τίνι;
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 21] Καὶ εἶπεν, ἐξελεύσομαι καὶ ἔσομαι πνεῦμα ψευδὲς ἐν στόματι πάντων τῶν προφητῶν αὐτοῦ. καὶ εἶπεν, ἀπατήσεις καὶ δυνήσῃ, ἔξελθε καὶ ποίησον οὕτω.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 22] Καὶ νῦν ἰδοὺ ἔδωκε Κύριος πνεῦμα ψευδὲς ἐν στόματι τῶν προφητῶν σου τούτων, καὶ Κύριος ἐλάλησεν ἐπὶ σὲ κακά.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 23] Καὶ ἤγγισε Σεδεκίας υἱὸς Χαναὰν, καὶ ἐπάταξε τὸν Μιχαίαν ἐπὶ τὴν σιαγόνα, καὶ εἶπεν αὐτῷ, ποίᾳ τῇ ὁδῷ παρῆλθε πνεῦμα Κυρίου παρʼ ἐμοῦ τοῦ λαλῆσαι πρὸς σέ;
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 24] Καὶ εἶπε Μιχαίας, ἰδοὺ ὄψῃ ἐν τῇ ἡμέρᾳ ἐκείνῃ, ἐν ᾗ εἰσελεύσῃ ταμεῖον ἐκ ταμείου τοῦ κατακρυβῆναι.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 25] Καὶ εἶπε βασιλεὺς Ἰσραὴλ, λάβετε τὸν Μιχαίαν καὶ ἀποστρέψατε πρὸς Ἐμὴρ ἄρχοντα τῆς πόλεως, καὶ πρὸς Ἰωὰς ἄρχοντα υἱὸν τοῦ βασιλέως,
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 26] καὶ ἐρεῖτε, οὕτως εἶπεν ὁ βασιλεὺς, ἀπόθεσθε τοῦτον εἰς οἶκον φυλακῆς, καὶ ἐσθιέτω ἄρτον θλίψεως καὶ ὕδωρ θλίψεως, ἕως τοῦ ἐπιστρέψαι με ἐν εἰρήνῃ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 27] Καὶ εἶπε Μιχαίας, ἐὰν ἐπιστρέφων ἐπιστρέψῃς ἐν εἰρήνῃ, οὐκ ἐλάλησε Κύριος ἐν ἐμοί· καὶ εἶπεν, ἀκούσατε λαοὶ πάντες.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 28] Καὶ ἀνέβη βασιλεὺς Ἰσραὴλ, καὶ Ἰωσαφὰτ βασιλεὺς Ἰούδα, εἰς Ῥαμὼθ Γαλαάδ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 29] Καὶ εἶπε βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ, κατακάλυψόν με, καὶ εἰσελεύσομαι εἰς τὸν πόλεμον, καὶ σὺ ἔνδυσαι τὸν ἱματισμόν μου· καὶ συνεκαλύψατο βασιλεὺς Ἰσραὴλ, καὶ εἰσῆλθεν εἰς τὸν πόλεμον.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 30] Καὶ βασιλεὺς Συρίας ἐνετείλατο τοῖς ἄρχουσι τῶν ἁρμάτων τοῖς μετʼ αὐτοῦ, λέγων, μὴ πολεμεῖτε τὸν μικρὸν καὶ τὸν μέγαν, ἀλλʼ ἢ τὸν βασιλέα Ἰσραὴλ μόνον.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 31] Καὶ ἐγένετο ὡς εἶδον οἱ ἄρχοντες τῶν ἁρμάτων τὸν Ἰωσαφὰτ, καὶ αὐτοὶ εἶπαν, βασιλεὺς Ἰσραήλ ἐστι, καὶ ἐκύκλωσαν αὐτὸν τοῦ πολεμεῖν· καὶ ἐβόησεν Ἰωσαφὰτ, καὶ Κύριος ἔσωσεν αὐτὸν, καὶ ἀπέστρεψεν αὐτοὺς ὁ Θεὸς ἀπʼ αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 32] Καὶ ἐγένετο ὡς εἶδον οἱ ἄρχοντες τῶν ἁρμάτων ὅτι οὐκ ἦν βασιλεὺς Ἰσραὴλ, καὶ ἀπέστρεψαν ἀπʼ αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 33] Καὶ ἀνὴρ ἔτεινε τόξον εὐστόχως, καὶ ἐπάταξε τὸν βασιλέα Ἰσραὴλ ἀναμέσον τοῦ πνεύμονος καὶ ἀναμέσον τοῦ θώρακος· καὶ εἶπε τῷ ἡνίοχῳ, ἐπίστρεφε τὴν χεῖρά σου, ἐξάγαγέ με ἐκ τοῦ πολέμου, ὅτι ἐπόνεσα.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 34] Καὶ ἐτροπώθη ὁ πόλεμος ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ὁ βασιλεὺς Ἰσραὴλ ἦν ἑστηκὼς ἐπὶ τοῦ ἅρματος ἐξεναντίας Συρίας ἕως ἑσπέρας, καὶ ἀπέθανε δύνοντος τοῦ ἡλίου.
