[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 1] Against Moab thus saith the Lord of hosts, the God of Israel; Woe unto Nebo! for it is spoiled: Kiriathaim is confounded and taken: Misgab is confounded and dismayed.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 28] O ye that dwell in Moab, leave the cities, and dwell in the rock, And be like the dove that maketh her nest in the sides of the hole’s mouth.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 29] We have heard the pride of Moab; he is exceeding proud: His loftiness, and his arrogancy, and his pride, and the haughtiness of his heart.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 30] I know his wrath, saith the Lord; but it shall not be so; His lies shall not so effect it.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 31] Therefore will I howl for Moab, And I will cry out for all Moab; Mine heart shall mourn for the men of Kir-heres.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 32] O vine of Sibmah, I will weep for thee with the weeping of Jazer: Thy plants are gone over the sea, They reach even to the sea of Jazer: The spoiler is fallen upon thy summer fruits and upon thy vintage.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 33] And joy and gladness is taken from the plentiful field, and from the land of Moab; And I have caused wine to fail from the wine presses: None shall tread with shouting; Their shouting shall be no shouting.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 34] From the cry of Heshbon even unto Elealeh, And even unto Jahaz, have they uttered their voice, From Zoar even unto Horonaim, As a heifer of three years old: For the waters also of Nimrim shall be desolate.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 35] Moreover I will cause to cease in Moab, saith the Lord, him that offereth in the high places, And him that burneth incense to his gods.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 36] Therefore mine heart shall sound for Moab like pipes, And mine heart shall sound like pipes for the men of Kir-heres: Because the riches that he hath gotten are perished.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 37] For every head shall be bald, And every beard clipt: Upon all the hands shall be cuttings, And upon the loins sackcloth.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 38] There shall be lamentation generally upon all the housetops of Moab, and in the streets thereof: For I have broken Moab like a vessel wherein is no pleasure, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 39] They shall howl, saying, How is it broken down! How hath Moab turned the back with shame! So shall Moab be a derision and a dismaying to all them about him.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 40] For thus saith the Lord; Behold, he shall fly as an eagle, And shall spread his wings over Moab.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 41] Kerioth is taken, and the strong holds are surprised, And the mighty men’s hearts in Moab at that day shall be As the heart of a woman in her pangs.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 42] And Moab shall be destroyed from being a people, Because he hath magnified himself against the Lord.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 43] Fear, and the pit, and the snare, shall be upon thee, O inhabitant of Moab, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 44] He that fleeth from the fear shall fall into the pit; And he that getteth up out of the pit shall be taken in the snare: For I will bring upon it, even upon Moab, the year of their visitation, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 45] They that fled stood under the shadow of Heshbon because of the force: But a fire shall come forth out of Heshbon, And a flame from the midst of Sihon, And shall devour the corner of Moab, And the crown of the head of the tumultuous ones.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 46] Woe be unto thee, O Moab! The people of Chemosh perisheth: For thy sons are taken captives, And thy daughters captives.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 47] Yet will I bring again the captivity of Moab In the latter days, saith the Lord. Thus far is the judgment of Moab.
