[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 1] Περὶ δὲ τῶν πνευματικῶν, ἀδελφοί, οὐ θέλω ὑμᾶς ἀγνοεῖν.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 15] ἐὰν εἴπῃ ὁ πούς· Ὅτι οὐκ εἰμὶ χείρ, οὐκ εἰμὶ ἐκ τοῦ σώματος, οὐ παρὰ τοῦτο οὐκ ἔστιν ἐκ τοῦ σώματος;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 16] καὶ ἐὰν εἴπῃ τὸ οὖς· Ὅτι οὐκ εἰμὶ ὀφθαλμός, οὐκ εἰμὶ ἐκ τοῦ σώματος, οὐ παρὰ τοῦτο οὐκ ἔστιν ἐκ τοῦ σώματος·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 17] εἰ ὅλον τὸ σῶμα ὀφθαλμός, ποῦ ἡ ἀκοή; εἰ ὅλον ἀκοή, ποῦ ἡ ὄσφρησις;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 18] ⸀νυνὶ δὲ ὁ θεὸς ἔθετο τὰ μέλη, ἓν ἕκαστον αὐτῶν, ἐν τῷ σώματι καθὼς ἠθέλησεν.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 19] εἰ δὲ ἦν τὰ πάντα ἓν μέλος, ποῦ τὸ σῶμα;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 20] νῦν δὲ πολλὰ ⸀μὲν μέλη, ἓν δὲ σῶμα.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 21] οὐ δύναται δὲ ὁ ὀφθαλμὸς εἰπεῖν τῇ χειρί· Χρείαν σου οὐκ ἔχω, ἢ πάλιν ἡ κεφαλὴ τοῖς ποσίν· Χρείαν ὑμῶν οὐκ ἔχω·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 22] ἀλλὰ πολλῷ μᾶλλον τὰ δοκοῦντα μέλη τοῦ σώματος ἀσθενέστερα ὑπάρχειν ἀναγκαῖά ἐστιν,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 23] καὶ ἃ δοκοῦμεν ἀτιμότερα εἶναι τοῦ σώματος, τούτοις τιμὴν περισσοτέραν περιτίθεμεν, καὶ τὰ ἀσχήμονα ἡμῶν εὐσχημοσύνην περισσοτέραν ἔχει,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 24] τὰ δὲ εὐσχήμονα ἡμῶν οὐ χρείαν ⸀ἔχει. ἀλλὰ ὁ θεὸς συνεκέρασεν τὸ σῶμα, τῷ ⸀ὑστεροῦντι περισσοτέραν δοὺς τιμήν,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 25] ἵνα μὴ ᾖ ⸀σχίσμα ἐν τῷ σώματι, ἀλλὰ τὸ αὐτὸ ὑπὲρ ἀλλήλων μεριμνῶσι τὰ μέλη.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 26] καὶ ⸀εἴτε πάσχει ἓν μέλος, συμπάσχει πάντα τὰ μέλη· εἴτε δοξάζεται ⸀μέλος, συγχαίρει πάντα τὰ μέλη.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 27] Ὑμεῖς δέ ἐστε σῶμα Χριστοῦ καὶ μέλη ἐκ μέρους.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 28] καὶ οὓς μὲν ἔθετο ὁ θεὸς ἐν τῇ ἐκκλησίᾳ πρῶτον ἀποστόλους, δεύτερον προφήτας, τρίτον διδασκάλους, ἔπειτα δυνάμεις, ⸀ἔπειτα χαρίσματα ἰαμάτων, ἀντιλήμψεις, κυβερνήσεις, γένη γλωσσῶν.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 29] μὴ πάντες ἀπόστολοι; μὴ πάντες προφῆται; μὴ πάντες διδάσκαλοι; μὴ πάντες δυνάμεις;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 30] μὴ πάντες χαρίσματα ἔχουσιν ἰαμάτων; μὴ πάντες γλώσσαις λαλοῦσιν; μὴ πάντες διερμηνεύουσιν;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 12 | Verse 31] ζηλοῦτε δὲ τὰ χαρίσματα τὰ ⸀μείζονα. καὶ ἔτι καθʼ ὑπερβολὴν ὁδὸν ὑμῖν δείκνυμι.
