[IRV | TE | OT | Ezra | Chapter 10 | Verse 1] ఎజ్రా దేవుని మందిరం ముందు సాష్టాంగపడి విలపిస్తూ, పాపం ఒప్పుకొంటూ ప్రార్థన చేస్తూ ఉన్నప్పుడు, ఇశ్రాయేలు పురుషులు, స్త్రీలు, పిన్నలూ గుంపులు గుంపులుగా అతని దగ్గరికి వచ్చి గట్టిగా రోదించారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 12] అప్పుడు అక్కడ సమకూడిన వారంతా బిగ్గరగా ఇలా అన్నారు. “నువ్వు చెప్పినట్టుగా మేము తప్పకుండా చేయవలసి ఉంది.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 13] అయితే ఇక్కడ జనసమూహం ఎక్కువగా ఉంది. ఇప్పుడు విపరీతంగా వర్షం కురుస్తున్నందువల్ల మేము బయట నిలబడలేకపోతున్నాం. ఈ పని ఒకటి రెండు రోజుల్లో జరిగేది కాదు. ఈ విషయంలో మాలో చాలామందిమి పాపం చేశాం. కాబట్టి అన్ని సమాజాల్లోని పెద్దలందరికీ ఈ పని కేటాయించండి.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 14] మన పట్టణాల్లో ఎవరెవరు పరాయి దేశపు స్త్రీలను పెళ్లి చేసుకొన్నారో వాళ్ళంతా గడువులోగా రావాలి. ఈ విషయంలో మాపై దేవునికి వచ్చిన తీవ్రమైన కోపం తొలగిపోయేలా ప్రతి పట్టణాల్లోని పెద్దలు, న్యాయాధిపతులు వాళ్ళతో ఉండాలి.”
[IRV | TE | OT | Ezra | Chapter 10 | Verse 15] ఈ పని జరిగించడానికి అశాహేలు కొడుకు యోనాతాను, తిక్వా కొడుకు యహజ్యా, వాళ్లకు సహాయకులుగా మెషుల్లాము, లేవీ గోత్రికుడు షబ్బెతైలను నియమించారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 16] చెరనుంచి వచ్చినవారు ఆ క్రమం ప్రకారం చేశారు. యాజకుడైన ఎజ్రా పెద్దల్లో కొందరు ప్రధానులును వారి తండ్రుల ఇంటి పేర్ల ప్రకారం ఎన్నుకున్నాడు. పదవ నెల మొదటి రోజున ఈ విషయాన్ని గూర్చి పరిశీలించడం మొదలుపెట్టారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 17] మొదటి నెల మొదటి రోజునాటికి పరాయి దేశపు స్త్రీలను పెళ్లి చేసికొన్న వారందరి వ్యవహారం పరిష్కారం చేశారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 18] యాజకుల వంశంలో పరాయి దేశపు స్త్రీలను పెళ్లి చేసుకొన్న వారు ఎవరంటే, యోజాదాకు కొడుకు యేషూవ వంశంలో, అతని సహోదరుల్లో మయశేయా, ఎలీయెజెరు, యారీబు, గెదల్యా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 19] వీరు తమ తమ భార్యలను పంపివేస్తామని ప్రమాణం చేశారు. వారు అపరాధులు కావడంవల్ల తమ అపరాధం విషయంలో మందలోనుండి ఒక పొట్టేలును సమర్పించారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 20] ఇమ్మేరు వంశంలో హనానీ, జెబద్యా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 21] హారీం వంశంలో మయశేయా, ఏలీయా, షెమయా, యెహీయేలు, ఉజ్జియా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 22] పషూరు వంశంలో ఎల్యో యేనై, మయశేయా, ఇష్మాయేలు, నెతనేలు, యోజాబాదు, ఎల్యాశా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 23] లేవీ గోత్రం నుండి యోజాబాదు, షిమీ కెలిథా అనే పేరున్న కెలాయా, పెతహయా, యూదా, ఎలీయెజెరు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 24] గాయక బృందానికి చెందిన ఎల్యాషీబు, ద్వారపాలకుల నుండి షల్లూము, తెలెము, ఊరి అనేవాళ్ళు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 25] ఇశ్రాయేలీయుల్లో పరోషు వంశం నుండి రమ్యా, యిజ్జీయా, మల్కీయా, మీయామిను, ఎలియేజరు, మల్కీయా, బెనాయా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 26] ఏలాము వంశంలో మత్తన్యా, జెకర్యా, యెహీయేలు, అబ్దీ, యెరేమోతు, ఏలీయా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 27] జత్తూ వంశంలో ఎల్యోయేనై, ఎల్యాషీబు, మత్తన్యా, యెరేమోతు, జాబాదు, అజీజా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 28] బేబై వంశంలో యెహోహానాను, హనన్యా, జబ్బయి, అత్లాయి.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 29] బానీ వంశంలో మెషుల్లాము, మల్లూకు, అదాయా, యాషూబు, షెయాలు, రామోతు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 30] పహత్మోయాబు వంశంలో అద్నా, కెలాలు, బెనాయా, మయశేయా, మత్తన్యా, బెసలేలు, బిన్నూయి, మనష్షే.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 31] హారిము వంశంలో ఎలీయెజెరు, ఇష్షీయా, మల్కీయా, షెమయా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 32] షిమ్యోను, బెన్యామీను, మల్లూకు, షెమర్యా,
[IRV | TE | OT | Ezra | Chapter 10 | Verse 33] హాషుము వంశంలో మత్తెనై, మత్తత్తా, జాబాదు, ఎలీపేలెటు, యెరేమై, మనష్షే, షిమీ.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 34] బానీ వంశంలో మయదై, అమ్రాము, ఊయేలు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 35] బెనాయా, బేద్యా, కెలూహు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 36] వన్యా, మెరేమోతు, ఎల్యాషీబు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 37] మత్తన్యా, మత్తెనై, యహశావు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 38] బానీ, బిన్నూయి, షిమీ.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 39] షిలెమ్యా, నాతాను, అదాయా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 40] మక్నద్బయి, షామై, షారాయి.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 41] అజరేలు, షెలెమ్యా, షెమర్యా.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 42] షల్లూము, అమర్యా, యోసేపు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 43] నెబో వంశానికి చెందిన యెహీయేలు, మత్తిత్యా, జాబాదు, జెబీనా, యద్దయి, యోవేలు, బెనాయా అనేవాళ్ళు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 44] వీరంతా పరాయి దేశపు స్త్రీలను పెళ్లిళ్ళు చేసుకొన్నవారు. ఈ స్త్రీలలో కొందరు పిల్లలను కూడా కన్నారు. వీరంతా పరాయి దేశపు స్త్రీలను పెళ్లిళ్ళు చేసుకొన్నవారు.
