[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] So they brought in the Arke of God, and set it in the middes of the Tabernacle that Dauid had pitched for it, and they offred burnt offrings and peace offrings before God.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 23] Sing vnto the Lord all the earth: declare his saluation from day to day.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 24] Declare his glory among the nations, and his wonderful workes among all people.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 25] For the Lord is great and much to be praised, and hee is to bee feared aboue all gods.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 26] For all the gods of the people are idoles, but the Lord made the heauens.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 27] Prayse and glory are before him: power and beautie are in his place.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 28] Giue vnto the Lord, ye families of the people: giue vnto the Lord glory and power.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 29] Giue vnto the Lord ye glory of his Name: bring an offring and come before him, and worship the Lord in the glorious Sanctuarie.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 30] Tremble ye before him, al the earth: surely the world shalbe stable and not moue.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 31] Let the heauens reioyce, and let the earth be glad, and let them say among the nations, The Lord reigneth.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 32] Let the sea roare, and all that therein is: Let the field be ioyfull and all that is in it.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 33] Let the trees of the wood then reioyce at the presence of the Lord: for he commeth to iudge the earth.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 34] Prayse the Lord, for hee is good, for his mercie endureth for euer.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 35] And say ye, Saue vs, O God, our saluation, and gather vs, and deliuer vs from the heathen, that we may prayse thine holy Name, and glorie in thy praise.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 36] Blessed be the Lord God of Israel for euer and euer: and let all people say, So be it, and praise the Lord.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 37] Then he left there before the Arke of the Lordes couenant Asaph and his brethren to minister continually before the Arke, that which was to be done euery day:
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 38] And Obed Edom and his brethren, three score and eight: and Obed Edom the sonne of Ieduthun, and Hosah were porters.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 39] And Zadok the Priest and his brethren the Priestes were before the Tabernacle of ye Lord, in the hie place that was at Gibeon,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 40] To offer burnt offrings vnto the Lord, vpon the burnt offring altar continually, in the morning and in the euening, euen according vnto all that is written in the law of the Lord, which hee commanded Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 41] And with them were Heman, and Ieduthun, and the rest that were chosen (which were appointed by names) to praise the Lord, because his mercie endureth for euer.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 42] Euen with them were Heman and Ioduthun, to make a sound with the cornets and with the cymbales, with excellent instruments of musicke: and the sonnes of Ieduthun were at the gate.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 43] And all the people departed, euerie man to his house: and Dauid returned to blesse his house.
