[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 1] And Satan stoode vp against Israel, and prouoked Dauid to nomber Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 16] And Dauid lift vp his eyes, and sawe the Angel of the Lord stande betweene the earth and the heauen with his sworde drawen in his hand, and stretched out towarde Ierusalem. Then Dauid and the Elders of Israel, which were clothed in sacke, fell vpon their faces.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 17] And Dauid said vnto God, Is it not I that commanded to nomber the people? It is euen I that haue sinned and haue committed euil, but these sheepe what haue they done? O Lord my God, I beseech thee, let thine hande be on me and on my fathers house, and not on thy people for their destruction.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 18] Then the Angel of the Lord commanded Gad to say to Dauid, that Dauid should goe vp, and set vp an altar vnto the Lord in the thresshing floore of Ornan the Iebusite.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 19] So Dauid went vp according to the saying of Gad, which he had spoken in the Name of the Lord.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 20] And Ornan turned about, and sawe the Angel, and his foure sonnes, that were with him, hid them selues, and Ornan thresshed wheat.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 21] And as Dauid came to Ornan, Ornan looked and sawe Dauid, and went out of the thresshing floore, and bowed himselfe to Dauid with his face to the grounde.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 22] And Dauid saide to Ornan, Giue me the place of thy thresshing floore, that I may builde an altar therein vnto the Lord: giue it me for sufficient money, that the plague may be stayed from the people.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 23] Then Ornan saide vnto Dauid, Take it to thee, and let my lord the King do that which seemeth him good: loe, I giue thee bullockes for burnt offrings, and thresshing instruments for wood, and wheat for meate offring, I giue it all.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 24] And King Dauid saide to Ornan, Not so: but I will bye it for sufficient money: for I wil not take that which is thine for the Lord, nor offer burnt offrings without cost.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 25] So Dauid gaue to Ornan for that place sixe hundreth shekels of golde by weight.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 26] And Dauid built there an altar vnto the Lord, and offred burnt offrings, and peace offrings, and called vpon the Lord, and he answered him by fire from heauen vpon the altar of burnt offring.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 27] And when the Lord had spoken to the Angel, he put vp his sworde againe into his sheath.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 28] At that time when Dauid sawe that the Lord had heard him in the thresshing floore of Ornan the Iebusite, then he sacrificed there.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 29] (But the Tabernacle of the Lord which Moses had made in the wildernesse, and the altar of burnt offring were at that season in the hie place at Gibeon.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 30] And Dauid could not go before it to aske counsel at God: for he was afraide of the sworde of the Angel of the Lord.)
