[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 1] Thus all Israel were nombred by their genealogies: and beholde, they are written in the booke of the Kings of Israel and of Iudah, and they were caried away to Babel for their transgression.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 12] And Adaiah the sonne of Ieroham, ye sonne of Pashur, the sonne of Malchiiah, and Maasai the sonne of Adiel, the sonne of Iahzerah, the sonne of Meshullam, the sonne of Meshillemith, the sonne of Immer.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 13] And their brethre the chiefe of the households of their fathers a thousand, seuen hundreth and three score valiant men, for the worke of the seruice of the house of God.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 14] And of the Leuites, Shemaiah the sonne of Hasshub, the sonne of Azrikam, the sonne of Hashabiah of the sonnes of Merari,
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 15] And Bakbakkar, Heresh and Galal, and Mattaniah the sonne of Micha, the sonne of Zichri, the sonne of Asaph,
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 16] And Obadiah the sonne of Shemaiah, the sonne of Galal, the sonne of Ieduthun, and Berechiah, the sonne of Asa, the sonne of Elkanah, that dwelt in the villages of the Netophathites.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 17] And the porters were Shallum, and Akkub, and Talmon, and Ahiman, and their brethren: Shallum was the chiefe.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 18] For they were porters to this time by companies of the children of Leui vnto the Kinges gate eastward.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 19] And Shallum the sonne of Kore the sonne of Ebiasaph the sonne of Korah, and his brethren the Korathites (of the house of their father) were ouer the worke, and office to keepe the gates of the Tabernacle: so their families were ouer the hoste of the Lord, keeping the entrie.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 20] And Phinehas ye sonne of Eleazar was their guide, and the Lord was with him.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 21] Zechariah the sonne of Meshelemiah was the porter of the doore of the Tabernacle of the Congregation.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 22] All these were chosen for porters of the gates, two hundreth and twelue, which were nombred according to their genealogies by their townes. Dauid established these and Samuel the Seer in their perpetuall office.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 23] So they and their children had the ouersight of the gates of the house of the Lord, euen of the house of the Tabernacle by wardes.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 24] The porters were in foure quarters Eastward, Westward, Northward and Southward.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 25] And their brethren, which were in their townes, came at seuen dayes from time to time with them.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 26] For these foure chiefe porters were in perpetuall office, and were of the Leuites and had charge of the chambers, and of the treasures in the house of God.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 27] And they lay rounde about the house of God, because the charge was theirs, and they caused it to be opened euery morning.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 28] And certaine of them had the rule of the ministring vessels: for they brought them in by tale, and brought them out by tale.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 29] Some of them also were appoynted ouer the instruments, and ouer all the vessels of the Sanctuarie, and of the floure, and the wine, and the oyle, and the incense, and the sweete odours.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 30] And certaine of the sonnes of the Priestes made oyntments of sweete odours.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 31] And Mattithiah one of the Leuites which was the eldest sonne of Shallum the Korhite, had the charge of the things that were made in the frying panne.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 32] And other of their brethren the sonnes of Kohath had the ouersight of the shewbread to prepare it euery Sabbath.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 33] And these are the singers, the chiefe fathers of the Leuites, which dwelt in the chambers, and had none other charge: for they had to do in that busines day and night:
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 34] These were the chiefe fathers of the Leuites according to their generations, and the principall which dwelt at Ierusalem.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 35] And in Gibeon dwelt ye father of Gibeon, Ieiel, and the name of his wife was Maachah.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 36] And his eldest sonne was Abdon, then Zur, and Kish, and Baal, and Ner, and Nadab,
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 37] And Gedor, and Ahio, and Zechariah, and Mikloth.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 38] And Mikloth begate Shimeam: they also dwelt with their brethren at Ierusalem, euen by their brethren.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 39] And Ner begate Kish, and Kish begate Saul, and Saul begate Ionathan and Malchishua, and Abinadab and Eshbaal.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 40] And the sonne of Ionathan was Merib-baal: and Merib-baal begate Micah.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 41] And the sonnes of Micah were Pithon, and Melech and Tahrea.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 42] And Ahaz begate Iarah, and Iarah begat Alemeth, and Azmaueth, and Zimri, and Zimri begate Moza.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 43] And Moza begate Binea, whose sonne was Rephaiah, and his sonne was Eleasah, and his sonne Azel.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 44] And Azel had sixe sonnes, whose names are these, Azrikam, Bocheru, and Ismael, and Sheariah, and Obadiah, and Hanan: these are the sonnes of Azel.
