[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sonnes of Leui were Gershon, Kohath, and Merari.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 33] And these ministred with their children: of the sonnes of Kohath, Heman a singer, the sonne of Ioel, the sonne of Shemuel,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 34] The sonne of Elkanah, the sonne of Ieroham, the sonne of Eliel, the sonne of Toah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 35] The sonne of Zuph, the sonne of Elkanah, the sonne of Mahath, the sonne of Amasai,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 36] The sonne of Elkanah, the sonne of Ioel, the sonne of Azariah, the sonne of Zephaniah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 37] The sonne of Tahath, the sonne of Assir, the sonne of Ebiasaph, the sonne of Korah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 38] The sonne of Izhar, the sonne of Kohath, the sonne of Leui, the sonne of Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 39] And his brother Asaph stoode on his right hand: and Asaph was the sonne of Berechiah, the sonne of Shimea,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 40] The sonne of Michael, the sonne of Baaseiah, the sonne of Malchiah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 41] The sonne of Ethni, the sonne of Zerah, the sonne of Adaiah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 42] The sonne of Ethan, the sonne of Zimmah, the sonne of Shimei,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 43] The sonne of Iahath, the sonne of Gershom, the sonne of Leui.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 44] And their brethren the sonnes of Merari were on the left hand, euen Ethan the sonne of Kishi, the sonne of Abdi, the sonne of Malluch,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 45] The sonne of Hashabiah, the sonne of Amaziah, the sonne of Hilkiah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 46] The sonne of Amzi, the sonne of Bani, the sonne of Shamer,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 47] The sonne of Mahli, the sonne of Mushi, the sonne of Merari, the sonne of Leui.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 48] And their brethren the Leuites were appointed vnto all the seruice of the Tabernacle of the house of God,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 49] But Aaron and his sonnes burnt incense vpon the altar of burnt offering, and on the altar of incense, for all that was to do in the most holy place, and to make an atonement for Israel, according to all that Moses the seruant of God had commanded.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 50] These are also the sonnes of Aaron, Eleazar his sonne, Phinehas his sonne, Abishua his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 51] Bukki his sonne, Vzzi his sonne, Zerahiah his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 52] Meraioth his sonne, Amariah his sonne, Ahitub his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 53] Zadok his sonne, and Ahimaaz his sonne.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 54] And these are the dwelling places of them throughout their townes and coastes, euen of the sonnes of Aaron for the familie of the Kohathites, for the lot was theirs.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 55] So they gaue them Hebron in the lande of Iudah and the suburbes thereof rounde about it.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 56] But the fielde of the citie, and the villages thereof they gaue to Caleb the sonne of Iephunneh.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 57] And to the sonnes of Aaron they gaue the cities of Iudah for refuge, euen Hebron and Libna with their suburbes, and Iattir, and Eshtemoa with their suburbes,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 58] And Hilen with her suburbes, and Debir with her suburbes,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 59] And Ashan and her suburbes, and Bethshemesh and her suburbes:
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 60] And of the tribe of Beniamin, Geba and her suburbes, and Alemeth with her suburbes, and Anathoth with her suburbes: all their cities were thirteene cities by their families.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 61] And vnto the sonnes of Kohath the remnant of the familie of the tribe, euen of the halfe tribe of the halfe of Manasseh, by lot ten cities.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 62] And to the sonnes of Gershom according to their families out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteene cities.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 63] Vnto the sonnes of Merari according to their families out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, by lot twelue cities.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 64] Thus the children of Israel gaue to the Leuites cities with their suburbes.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 65] And they gaue by lot out of the tribe of the children of Iudah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Beniamin, these cities, which they called by their names.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 66] And they of the families of the sonnes of Kohath, had cities and their coastes out of the tribe of Ephraim.
