[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 1] ਮਨੁੱਖ ਸਾਨੂੰ ਮਸੀਹ ਦੇ ਸੇਵਕ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭੇਤਾਂ ਦੇ ਭੰਡਾਰੀ ਸਮਝਣ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 12] ਅਤੇ ਆਪਣੇ ਹੱਥਾਂ ਨਾਲ ਕੰਮ-ਧੰਦੇ ਕਰ ਕੇ ਮਿਹਨਤ ਕਰਦੇ ਹਾਂ। ਅਸੀਂ ਗਾਲਾਂ ਖਾ ਕੇ ਬਰਕਤ ਦਿੰਦੇ ਹਾਂ। ਜਦੋਂ ਸਾਨੂੰ ਸਤਾਉਂਦੇ ਹਨ ਤਾਂ ਅਸੀਂ ਸਹਿੰਦੇ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 13] ਜਦ ਸਾਡੀ ਨਿੰਦਿਆ ਕਰਦੇ ਹਨ ਤਾਂ ਅਸੀਂ ਬੇਨਤੀ ਕਰਦੇ ਹਾਂ। ਅਸੀਂ ਹੁਣ ਤੱਕ ਸੰਸਾਰ ਦੇ ਕੂੜੇ ਵਰਗੇ ਅਤੇ ਸਭਨਾਂ ਵਸਤਾਂ ਦੇ ਕੂੜਾ ਕਰਕਟ ਬਣੇ ਹੋਏ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 14] ਮੈਂ ਇਹ ਗੱਲਾਂ ਤੁਹਾਨੂੰ ਲੱਜਿਆਵਾਨ ਕਰਨ ਲਈ ਨਹੀਂ ਸਗੋਂ ਆਪਣੇ ਪਿਆਰਿਆਂ ਬਾਲਕਾਂ ਦੀ ਤਰ੍ਹਾਂ ਸਮਝਾਉਣ ਲਈ ਲਿਖਦਾ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 15] ਭਾਵੇਂ ਹੀ ਮਸੀਹ ਵਿੱਚ ਦਸ ਹਜ਼ਾਰ ਉਸਤਾਦ ਤੁਹਾਡੇ ਹੋਣ ਪਰ ਪਿਉ ਬਹੁਤੇ ਨਹੀਂ ਇਸ ਲਈ ਜੋ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ ਖੁਸ਼ਖਬਰੀ ਦੇ ਵਸੀਲੇ ਨਾਲ ਤੁਹਾਡਾ ਪਿਉ ਮੈਂ ਹੀ ਹੋਇਆ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 16] ਸੋ ਮੈਂ ਤੁਹਾਡੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਜੋ ਤੁਸੀਂ ਮੇਰੀ ਰੀਸ ਕਰੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 17] ਇਸੇ ਕਰਕੇ ਮੈਂ ਤਿਮੋਥਿਉਸ ਨੂੰ ਤੁਹਾਡੇ ਕੋਲ ਭੇਜਿਆ, ਜਿਹੜਾ ਪ੍ਰਭੂ ਵਿੱਚ ਮੇਰਾ ਪਿਆਰਾ ਅਤੇ ਵਿਸ਼ਵਾਸਯੋਗ ਪੁੱਤਰ ਹੈ। ਉਹ ਮੇਰਾ ਵਰਤਾਵਾ ਜੋ ਮਸੀਹ ਵਿੱਚ ਹੈ ਤੁਹਾਨੂੰ ਚੇਤੇ ਕਰਾਵੇਗਾ, ਜਿਸ ਤਰ੍ਹਾਂ ਮੈਂ ਸਭਨੀਂ ਥਾਈਂ ਹਰੇਕ ਕਲੀਸਿਯਾ ਵਿੱਚ ਉਪਦੇਸ਼ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 18] ਕਈ ਇਹ ਸਮਝ ਕੇ ਫੁੱਲਦੇ ਹਨ ਕਿ ਜਿਵੇਂ ਮੈਂ ਤੁਹਾਡੇ ਕੋਲ ਨਹੀਂ ਆਵਾਂਗਾ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 19] ਪਰ ਜੇ ਪ੍ਰਭੂ ਚਾਹੇ ਤਾਂ ਮੈਂ ਤੁਹਾਡੇ ਕੋਲ ਛੇਤੀ ਆਵਾਂਗਾ ਅਤੇ ਫੁੱਲਿਆ ਹੋਇਆਂ ਦੇ ਬਚਨ ਨੂੰ ਨਹੀਂ ਸਗੋਂ ਉਹਨਾਂ ਦੀ ਸਮਰੱਥਾ ਨੂੰ ਜਾਣ ਲਵਾਂਗਾ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 20] ਪਰਮੇਸ਼ੁਰ ਦਾ ਰਾਜ ਗੱਲਾਂ ਵਿੱਚ ਤਾਂ ਨਹੀਂ ਸਗੋਂ ਸਮਰੱਥਾ ਵਿੱਚ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 21] ਤੁਸੀਂ ਕੀ ਚਾਹੁੰਦੇ ਹੋ ਕਿ ਮੈਂ ਡਾਂਗ ਫੜ੍ਹ ਕੇ ਤੁਹਾਡੇ ਕੋਲ ਆਵਾਂ ਜਾਂ ਪਿਆਰ ਅਤੇ ਨਰਮਾਈ ਦੇ ਆਤਮਾ ਨਾਲ?
