[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 1] ਹੇ ਭਰਾਵੋ, ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਜੋ ਤੁਸੀਂ ਆਤਮਿਕ ਦਾਤਾਂ ਦੇ ਬਾਰੇ ਅਣਜਾਣ ਰਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 12] ਜਿਸ ਤਰ੍ਹਾਂ ਸਰੀਰ ਇੱਕ ਹੈ ਅਤੇ ਉਹ ਦੇ ਅੰਗ ਬਹੁਤੇ ਹਨ, ਅਤੇ ਸਰੀਰ ਦੇ ਸਾਰੇ ਅੰਗ ਭਾਵੇਂ ਬਹੁਤੇ ਹਨ ਪਰ ਤਾਂ ਵੀ ਮਿਲ ਕੇ ਇੱਕੋ ਸਰੀਰ ਹੋਇਆ ਸੋ ਇਸੇ ਤਰ੍ਹਾਂ ਮਸੀਹ ਵੀ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 13] ਕਿਉਂ ਜੋ ਸਾਨੂੰ ਸਾਰਿਆਂ ਨੂੰ ਕੀ ਯਹੂਦੀ, ਕੀ ਯੂਨਾਨੀ, ਕੀ ਗੁਲਾਮ, ਕੀ ਅਜ਼ਾਦ, ਇੱਕ ਸਰੀਰ ਬਣਨ ਲਈ ਇੱਕੋ ਆਤਮਾ ਨਾਲ ਬਪਤਿਸਮਾ ਦਿੱਤਾ ਗਿਆ ਅਤੇ ਸਾਨੂੰ ਸਾਰਿਆਂ ਨੂੰ ਇੱਕ ਆਤਮਾ ਪਿਆਇਆ ਗਿਆ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 14] ਇਸ ਲਈ ਸਰੀਰ ਇੱਕੋ ਅੰਗ ਨਹੀਂ, ਸਗੋਂ ਬਹੁਅੰਗਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 15] ਜੇ ਪੈਰ ਆਖੇ ਕਿ ਮੈਂ ਹੱਥ ਨਹੀਂ, ਇਸ ਲਈ ਸਰੀਰ ਦਾ ਨਹੀਂ ਹਾਂ ਤਾਂ ਭਲਾ, ਉਹ ਇਸ ਕਾਰਨ ਸਰੀਰ ਦਾ ਨਹੀਂ ਹੈ?
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 16] ਅਤੇ ਜੇ ਕੰਨ ਆਖੇ ਕਿ ਮੈਂ ਅੱਖ ਨਹੀਂ ਇਸ ਲਈ ਸਰੀਰ ਦਾ ਨਹੀਂ ਹਾਂ, ਤਾਂ ਭਲਾ, ਉਹ ਇਸ ਕਾਰਨ ਸਰੀਰ ਦਾ ਨਹੀਂ ਹੈ?
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 17] ਜੇ ਸਾਰਾ ਸਰੀਰ ਅੱਖ ਹੀ ਹੁੰਦਾ ਤਾਂ ਸੁਣਨਾ ਕਿੱਥੇ ਹੁੰਦਾ? ਜੇ ਸਾਰਾ ਸੁਣਨਾ ਹੀ ਹੁੰਦਾ ਤਾਂ ਸੁੰਘਣਾ ਕਿੱਥੇ ਹੁੰਦਾ?
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 18] ਪਰ ਹੁਣ ਪਰਮੇਸ਼ੁਰ ਨੇ ਜਿਸ ਪ੍ਰਕਾਰ ਉਹ ਨੂੰ ਭਾਉਂਦਾ ਸੀ, ਅੰਗਾਂ ਨੂੰ ਇੱਕ-ਇੱਕ ਕਰਕੇ ਸਰੀਰ ਵਿੱਚ ਰੱਖਿਆ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 19] ਪਰ ਜੇ ਉਹ ਸਾਰੇ ਇੱਕੋ ਹੀ ਅੰਗ ਹੁੰਦੇ ਤਾਂ ਸਰੀਰ ਕਿੱਥੇ ਹੁੰਦਾ?
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 20] ਪਰ ਹੁਣ ਤਾਂ ਬਹੁਤੇ ਅੰਗ ਹਨ, ਪਰ ਸਰੀਰ ਇੱਕੋ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 21] ਅੱਖ ਹੱਥ ਨੂੰ ਨਹੀਂ ਆਖ ਸਕਦੀ ਕਿ ਮੈਨੂੰ ਤੇਰੀ ਕੋਈ ਲੋੜ ਨਹੀਂ, ਨਾ ਸਿਰ ਪੈਰ ਨੂੰ ਕਿ ਮੈਨੂੰ ਤੁਹਾਡੀ ਕੋਈ ਲੋੜ ਨਹੀਂ l
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 22] ਪਰ ਸਰੀਰ ਦੇ ਜਿਹੜੇ ਅੰਗ ਹੋਰਨਾਂ ਨਾਲੋਂ ਕਮਜ਼ੋਰ ਦਿਸਦੇ ਹਨ ਉਹ ਅਤੇ ਜ਼ਰੂਰੀ ਹਨ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 23] ਅਤੇ ਸਰੀਰ ਦਿਆਂ ਜਿਹਨਾਂ ਅੰਗਾਂ ਨੂੰ ਅਸੀਂ ਹੋਰਨਾਂ ਨਾਲੋਂ ਨਿਰਾਦਰ ਸਮਝਦੇ ਹਾਂ ਉਹਨਾਂ ਦਾ ਬਹੁਤ ਵੱਧਕੇ ਆਦਰ ਕਰਦੇ ਹਾਂ ਅਤੇ ਸਾਡੇ ਲਈ ਉਹ ਸੋਹਣੇ ਹੋ ਜਾਂਦੇ ਹਨ l
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 24] ਪਰ ਸਾਡੇ ਅੰਗਾਂ ਨੂੰ ਕੋਈ ਲੋੜ ਨਹੀਂ ਪਰੰਤੂ ਜਿਹੜੇ ਅੰਗਾਂ ਨੂੰ ਕੁਝ ਘਾਟਾ ਸੀ, ਉਨ੍ਹਾਂ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਹੋਰ ਆਦਰ ਦੇ ਕੇ ਸਰੀਰ ਨੂੰ ਜੋੜਿਆ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 25] ਤਾਂ ਜੋ ਸਰੀਰ ਵਿੱਚ ਫੁੱਟ ਨਾ ਪਵੇ ਸਗੋਂ ਇੱਕ ਦੂਜੇ ਦੇ ਲਈ ਇੱਕ ਸਮਾਨ ਚਿੰਤਾ ਕਰਨ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 26] ਅਤੇ ਜੇ ਇੱਕ ਅੰਗ ਨੂੰ ਦੁੱਖ ਲੱਗੇ ਤਾਂ ਸਾਰੇ ਅੰਗ ਉਸ ਦੇ ਨਾਲ ਦੁੱਖੀ ਹੁੰਦੇ ਹਨ ਅਤੇ ਜੇ ਇੱਕ ਅੰਗ ਦਾ ਆਦਰ ਹੋਵੇ ਤਾਂ ਸਾਰੇ ਉਹ ਦੇ ਨਾਲ ਅਨੰਦ ਹੁੰਦੇ ਹਨ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 27] ਹੁਣ ਤੁਸੀਂ ਰਲ ਕੇ ਮਸੀਹ ਦੇ ਸਰੀਰ ਹੋ ਅਤੇ ਇੱਕ-ਇੱਕ ਕਰਕੇ ਉਸ ਦੇ ਅੰਗ ਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 28] ਅਤੇ ਕਲੀਸਿਯਾ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਨੇ ਕਈਆਂ ਨੂੰ ਨਿਯੁਕਤ ਕੀਤਾ ਹੋਇਆ ਹੈ, ਪਹਿਲਾਂ ਰਸੂਲਾਂ ਨੂੰ, ਦੂਜਾ ਨਬੀਆਂ ਨੂੰ, ਤੀਜੇ ਉਪਦੇਸ਼ਕਾਂ ਨੂੰ, ਫੇਰ ਕਰਾਮਾਤੀਆਂ ਨੂੰ, ਫੇਰ ਨਰੋਇਆਂ ਕਰਨ ਦੀਆਂ ਦਾਤਾਂ ਵਾਲਿਆਂ ਨੂੰ, ਉਪਕਾਰੀਆਂ ਨੂੰ, ਹਾਕਮਾਂ ਨੂੰ ਅਤੇ ਅਨੇਕ ਪ੍ਰਕਾਰ ਦੀਆਂ ਭਾਸ਼ਾ ਬੋਲਣ ਵਾਲਿਆਂ ਨੂੰ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 29] ਕੀ ਸਾਰੇ ਰਸੂਲ ਹਨ? ਕੀ ਸਾਰੇ ਨਬੀ ਹਨ? ਕੀ ਸਾਰੇ ਉਪਦੇਸ਼ਕ ਹਨ? ਕੀ ਸਾਰੇ ਕਰਾਮਾਤੀ ਹਨ?
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 30] ਕੀ ਸਭ ਨੂੰ ਨਰੋਇਆਂ ਕਰਨ ਦੀਆਂ ਦਾਤਾਂ ਮਿਲੀਆਂ ਹਨ? ਕੀ ਸਾਰੇ ਅਨੇਕ ਪ੍ਰਕਾਰ ਦੀਆਂ ਭਾਸ਼ਾ ਬੋਲਦੇ ਹਨ? ਕੀ ਸਾਰੇ ਅਰਥ ਕਰਦੇ ਹਨ?
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 31] ਪਰ ਤੁਸੀਂ ਚੰਗੀਆਂ ਦਾਤਾਂ ਦੀ ਭਾਲ ਕਰੋ, ਨਾਲੇ ਮੈਂ ਤੁਹਾਨੂੰ ਇੱਕ ਬਹੁਤ ਹੀ ਉੱਤਮ ਮਾਰਗ ਦੱਸਦਾ ਹਾਂ।
