[DARBY | EN | OT | Numbers | Chapter 32 | Verse 1] And the children of Reuben and the children of Gad had much cattle, a very great multitude; and they saw the land of Jaazer, and the land of Gilead, and behold, the place was a place for cattle.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 29] And Moses said unto them, If the children of Gad and the children of Reuben pass with you over the Jordan, every one armed for battle, before Jehovah, and the land be subdued before you, then ye shall give them the land of Gilead for a possession;
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 30] but if they do not pass over with you armed, they shall have possessions among you in the land of Canaan.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 31] And the children of Gad and the children of Reuben answered, saying, As Jehovah has said to thy servants, so will we do.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 32] We will pass over armed before Jehovah into the land of Canaan, and the possession of our inheritance on this side the Jordan shall be ours.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 33] And Moses gave to them, to the children of Gad, and to the children of Reuben, and to half the tribe of Manasseh the son of Joseph, the kingdom of Sihon king of the Amorites, and the kingdom of Og the king of Bashan, the land, according to its cities and territories, the cities of the land round about.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 34] And the children of Gad built Dibon, and Ataroth, and Aroer,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 35] and Atroth-Shophan, and Jaazer, and Jogbebah,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 36] and Beth-Nimrah, and Beth-haran, strong cities, and sheepfolds.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 37] — And the children of Reuben built Heshbon, and Elaleh, and Kirjathaim,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 38] and Nebo, and Baal-meon (of which the names were changed), and Sibmah; and they gave other names to the cities that they built.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 39] — And the children of Machir the son of Manasseh went to Gilead, and took it, and they dispossessed the Amorites that were therein.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 40] And Moses gave Gilead to Machir the son of Manasseh; and he dwelt therein.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 41] And Jair the son of Manasseh went and took their hamlets, and called them Havoth-Jair.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 42] And Nobah went and took Kenath, and its dependent villages, and called it Nobah, after his name.
