[ERV | EN | NT | John | Chapter 7 | Verse 1] And after these things Jesus walked in Galilee: for he would not walk in Judaea, because the Jews sought to kill him.
[ERV | EN | NT | John | Chapter 7 | Verse 25] Some therefore of them of Jerusalem said, Is not this he whom they seek to kill?
[ERV | EN | NT | John | Chapter 7 | Verse 26] And lo, he speaketh openly, and they say nothing unto him. Can it be that the rulers indeed know that this is the Christ?
[ERV | EN | NT | John | Chapter 7 | Verse 27] Howbeit we know this man whence he is: but when the Christ cometh, no one knoweth whence he is.
[ERV | EN | NT | John | Chapter 7 | Verse 28] Jesus therefore cried in the temple, teaching and saying, Ye both know me, and know whence I am; and I am not come of myself, but he that sent me is true, whom ye know not.
[ERV | EN | NT | John | Chapter 7 | Verse 29] I know him; because I am from him, and he sent me.
[ERV | EN | NT | John | Chapter 7 | Verse 30] They sought therefore to take him: and no man laid his hand on him, because his hour was not yet come.
[ERV | EN | NT | John | Chapter 7 | Verse 31] But of the multitude many believed on him; and they said, When the Christ shall come, will he do more signs than those which this man hath done?
[ERV | EN | NT | John | Chapter 7 | Verse 32] The Pharisees heard the multitude murmuring these things concerning him; and the chief priests and the Pharisees sent officers to take him.
[ERV | EN | NT | John | Chapter 7 | Verse 33] Jesus therefore said, Yet a little while am I with you, and I go unto him that sent me.
[ERV | EN | NT | John | Chapter 7 | Verse 34] Ye shall seek me, and shall not find me: and where I am, ye cannot come.
[ERV | EN | NT | John | Chapter 7 | Verse 35] The Jews therefore said among themselves, Whither will this man go that we shall not find him? will he go unto the Dispersion among the Greeks, and teach the Greeks?
[ERV | EN | NT | John | Chapter 7 | Verse 36] What is this word that he said, Ye shall seek me, and shall not find me: and where I am, ye cannot come?
[ERV | EN | NT | John | Chapter 7 | Verse 37] Now on the last day, the great day of the feast, Jesus stood and cried, saying, If any man thirst, let him come unto me, and drink.
[ERV | EN | NT | John | Chapter 7 | Verse 38] He that believeth on me, as the scripture hath said, out of his belly shall flow rivers of living water.
[ERV | EN | NT | John | Chapter 7 | Verse 39] But this spake he of the Spirit, which they that believed on him were to receive: for the Spirit was not yet given; because Jesus was not yet glorified.
[ERV | EN | NT | John | Chapter 7 | Verse 40] Some of the multitude therefore, when they heard these words, said, This is of a truth the prophet.
[ERV | EN | NT | John | Chapter 7 | Verse 41] Others said, This is the Christ. But some said, What, doth the Christ come out of Galilee?
[ERV | EN | NT | John | Chapter 7 | Verse 42] Hath not the scripture said that the Christ cometh of the seed of David, and from Bethlehem, the village where David was?
[ERV | EN | NT | John | Chapter 7 | Verse 43] So there arose a division in the multitude because of him.
[ERV | EN | NT | John | Chapter 7 | Verse 44] And some of them would have taken him; but no man laid hands on him.
[ERV | EN | NT | John | Chapter 7 | Verse 45] The officers therefore came to the chief priests and Pharisees; and they said unto them, Why did ye not bring him?
[ERV | EN | NT | John | Chapter 7 | Verse 46] The officers answered, Never man so spake.
[ERV | EN | NT | John | Chapter 7 | Verse 47] The Pharisees therefore answered them, Are ye also led astray?
[ERV | EN | NT | John | Chapter 7 | Verse 48] Hath any of the rulers believed on him, or of the Pharisees?
[ERV | EN | NT | John | Chapter 7 | Verse 49] But this multitude which knoweth not the law are accursed.
[ERV | EN | NT | John | Chapter 7 | Verse 50] Nicodemus saith unto them ( he that came to him before, being one of them),
[ERV | EN | NT | John | Chapter 7 | Verse 51] Doth our law judge a man, except it first hear from himself and know what he doeth?
[ERV | EN | NT | John | Chapter 7 | Verse 52] They answered and said unto him, Art thou also of Galilee? Search, and see that out of Galilee ariseth no prophet.
[ERV | EN | NT | John | Chapter 7 | Verse 53] [ And they went every man unto his own house:
