[KJV | EN | OT | Susanna | Chapter 1 | Verse 1] There dwelt a man in Babylon, called Joacim:
[KJV | EN | OT | Susanna | Chapter 1 | Verse 24] With that Susanna cried with a loud voice: and the two elders cried out against her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 25] Then ran the one, and opened the garden door.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 26] So when the servants of the house heard the cry in the garden, they rushed in at a privy door, to see what was done unto her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 27] But when the elders had declared their matter, the servants were greatly ashamed: for there was never such a report made of Susanna.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 28] And it came to pass the next day, when the people were assembled to her husband Joacim, the two elders came also full of mischievous imagination against Susanna to put her to death;
[KJV | EN | OT | Susanna | Chapter 1 | Verse 29] and said before the people, Send for Susanna, the daughter of Chelcias, Joacim’s wife. And so they sent.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 30] So she came with her father and mother, her children, and all her kindred.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 31] Now Susanna was a very delicate woman, and beauteous to behold.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 32] And these wicked men commanded to uncover her face, (for she was covered) that they might be filled with her beauty.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 33] Therefore her friends and all that saw her wept.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 34] Then the two elders stood up in the midst of the people, and laid their hands upon her head.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 35] And she weeping looked up towards heaven: for her heart trusted in the Lord.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 36] And the elders said, As we walked in the garden alone, this woman came in with two maids, and shut the garden doors, and sent the maids away.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 37] Then a young man, who there was hid, came unto her, and lay with her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 38] Then we that stood in a corner of the garden, seeing this wickedness, ran unto them.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 39] And when we saw them together, the man we could not hold: for he was stronger than we, and opened the door, and leaped out.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 40] But having taken this woman, we asked who the young man was, but she would not tell us: these things do we testify.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 41] Then the assembly believed them, as those that were the elders and judges of the people: so they condemned her to death.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 42] Then Susanna cried out with a loud voice, and said, O everlasting God, that knowest the secrets, and knowest all things before they be:
[KJV | EN | OT | Susanna | Chapter 1 | Verse 43] thou knowest that they have borne false witness against me, and behold, I must die; whereas I never did such things as these men have maliciously invented against me.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 44] And the Lord heard her voice.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 45] Therefore when she was led to be put to death, the Lord raised up the holy spirit of a young youth, whose name was Daniel:
[KJV | EN | OT | Susanna | Chapter 1 | Verse 46] who cried with a loud voice, I am clear from the blood of this woman.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 47] Then all the people turned them towards him, and said, What mean these words that thou hast spoken?
[KJV | EN | OT | Susanna | Chapter 1 | Verse 48] So he standing in the midst of them, said, Are ye such fools, ye sons of Israel, that without examination or knowledge of the truth ye have condemned a daughter of Israel?
[KJV | EN | OT | Susanna | Chapter 1 | Verse 49] Return again to the place of judgment: for they have borne false witness against her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 50] Wherefore all the people turned again in haste, and the elders said unto him, Come, sit down among us, and shew it us, seeing God hath given thee the honour of an elder.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 51] Then said Daniel unto them, Put these two aside one far from another, and I will examine them.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 52] So when they were put asunder one from another, he called one of them, and said unto him, O thou that art waxen old in wickedness, now thy sins which thou hast committed aforetime are come to light:
[KJV | EN | OT | Susanna | Chapter 1 | Verse 53] for thou hast pronounced false judgment, and hast condemned the innocent, and hast let the guilty go free; albeit the Lord saith, The innocent and righteous shalt thou not slay.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 54] Now then, if thou hast seen her, tell me, Under what tree sawest thou them companying together? Who answered, Under a mastick tree.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 55] And Daniel said, Very well; thou hast lied against thine own head; for even now the angel of God hath received the sentence of God to cut thee in two.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 56] So he put him aside, and commanded to bring the other, and said unto him, O thou seed of Canaan, and not of Juda, beauty hath deceived thee, and lust hath perverted thine heart.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 57] Thus have ye dealt with the daughters of Israel, and they for fear companied with you: but the daughter of Juda would not abide your wickedness.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 58] Now therefore tell me, Under what tree didst thou take them companying together? Who answered, Under a holm tree.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 59] Then said Daniel unto him, Well; thou hast also lied against thine own head: for the angel of God waiteth with the sword to cut thee in two, that he may destroy you.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 60] With that all the assembly cried out with a loud voice, and praised God, who saveth them that trust in him.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 61] And they arose against the two elders, (for Daniel had convicted them of false witness by their own mouth;)
[KJV | EN | OT | Susanna | Chapter 1 | Verse 62] and according to the law of Moses they did unto them in such sort as they maliciously intended to do to their neighbour: and they put them to death. Thus the innocent blood was saved the same day.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 63] Therefore Chelcias and his wife praised God for their daughter Susanna, with Joacim her husband, and all the kindred, because there was no dishonesty found in her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 64] From that day forth was Daniel had in great reputation in the sight of the people.
