[DRA | EN | NT | Matthew | Chapter 12 | Verse 1] At that time Jesus went through the corn on the sabbath: and his disciples being hungry, began to pluck the ears, and to eat.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 27] And if I by Beelzebub cast out devils, by whom do your children cast them out? Therefore they shall be your judges.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 28] But if I by the Spirit of God cast out devils, then is the kingdom of God come upon you.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 29] Or how can any one enter into the house of the strong, and rifle his goods, unless he first bind the strong? and then he will rifle his house.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 30] He that is not with me, is against me: and he that gathereth not with me, scattereth.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 31] Therefore I say to you: Every sin and blasphemy shall be forgiven men, but the blasphemy of the Spirit shall not be forgiven.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 32] And whosoever shall speak a word against the Son of man, it shall be forgiven him: but he that shall speak against the Holy Ghost, it shall not be forgiven him, neither in this world, nor in the world to come.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 33] Either make the tree good and its fruit good: or make the tree evil, and its fruit evil. For by the fruit the tree is known.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 34] O generation of vipers, how can you speak good things, whereas you are evil? for out of the abundance of the heart the mouth speaketh.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 35] A good man out of a good treasure bringeth forth good things: and an evil man out of an evil treasure bringeth forth evil things.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 36] But I say unto you, that every idle word that men shall speak, they shall render an account for it in the day of judgment.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 37] For by thy words thou shalt be justified, and by thy words thou shalt be condemned.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 38] Then some of the scribes and Pharisees answered him, saying: Master we would see a sign from thee.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 39] Who answering said to them: An evil and adulterous generation seeketh a sign: and a sign shall not be given it, but the sign of Jonas the prophet.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 40] For as Jonas was in the whale’s belly three days and three nights: so shall the Son of man be in the heart of the earth three days and three nights.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 41] The men of Ninive shall rise in judgment with this generation, and shall condemn it: because they did penance at the preaching of Jonas. And behold a greater than Jonas here.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 42] The queen of the south shall rise in judgment with this generation, and shall condemn it: because she came from the ends of the earth to hear the wisdom of Solomon, and behold a greater than Solomon here.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 43] And when an unclean spirit is gone out of a man he walketh through dry places seeking rest, and findeth none.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 44] Then he saith: I will return into my house from whence I came out. And coming he findeth it empty, swept, and garnished.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 45] Then he goeth, and taketh with him seven other spirits more wicked than himself, and they enter in and dwell there: and the last state of that man is made worse than the first. So shall it be also to this wicked generation.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 46] As he was yet speaking to the multitudes, behold his mother and his brethren stood without, seeking to speak to him.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 47] And one said unto him: Behold thy mother and thy brethren stand without, seeking thee.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 48] But he answering him that told him, said: Who is my mother, and who are my brethren?
[DRA | EN | NT | Matthew | Chapter 12 | Verse 49] And stretching forth his hand towards his disciples, he said: Behold my mother and my brethren.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 50] For whosoever shall do the will of my Father, that is in heaven, he is my brother, and sister, and mother.
