[DRA | EN | NT | Matthew | Chapter 5 | Verse 1] And seeing the multitudes, he went up into a mountain, and when he was set down, his disciples came unto him.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 30] And if thy right hand scandalize thee, cut it off, and cast it from thee: for it is expedient for thee that one of thy members should perish, rather than that thy whole body be cast into hell.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 31] And it hath been said, whosoever shall put away his wife, let him give her a bill of divorce.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 32] But I say to you, that whosoever shall put away his wife, excepting for the cause of fornication, maketh her to commit adultery: and he that shall marry her that is put away, committeth adultery.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 33] Again you have heard that it was said to them of old, Thou shalt not forswear thyself: but thou shalt perform thy oaths to the Lord.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 34] But I say to you not to swear at all, neither by heaven, for it is the throne of God:
[DRA | EN | NT | Matthew | Chapter 5 | Verse 35] Nor by the earth, for it is his footstool: nor by Jerusalem, for it is the city of the great king:
[DRA | EN | NT | Matthew | Chapter 5 | Verse 36] Neither shalt thou swear by thy head, because thou canst not make one hair white or black.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 37] But let your speech be yea, yea: no, no: and that which is over and above these, is of evil.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 38] You have heard that it hath been said, An eye for an eye, and a tooth for a tooth.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 39] But I say to you not to resist evil: but if one strike thee on thy right cheek, turn to him also the other:
[DRA | EN | NT | Matthew | Chapter 5 | Verse 40] And if a man will contend with thee in judgment, and take away thy coat, let go thy cloak also unto him.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 41] And whosoever will force thee one mile, go with him other two,
[DRA | EN | NT | Matthew | Chapter 5 | Verse 42] Give to him that asketh of thee and from him that would borrow of thee turn not away.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 43] You have heard that it hath been said, Thou shalt love thy neighbor, and hate thy enemy.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 44] But I say to you, Love your enemies: do good to them that hate you: and pray for them that persecute and calumniate you:
[DRA | EN | NT | Matthew | Chapter 5 | Verse 45] That you may be the children of your Father who is in heaven, who maketh his sun to rise upon the good, and bad, and raineth upon the just and the unjust.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 46] For if you love them that love you, what reward shall you have? do not even the publicans this?
[DRA | EN | NT | Matthew | Chapter 5 | Verse 47] And if you salute your brethren only, what do you more? do not also the heathens this?
[DRA | EN | NT | Matthew | Chapter 5 | Verse 48] Be you therefore perfect, as also your heavenly Father is perfect.
