[DRA | EN | NT | Matthew | Chapter 10 | Verse 1] And having called his twelve disciples together, he gave them power over unclean spirits, to cast them out, and to heal all manner of diseases, and all manner of infirmities.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 17] But beware of men. For they will deliver you up in councils, and they will scourge you in their synagogues.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 18] And you shall be brought before governors, and before kings for my sake, for a testimony to them and to the Gentiles:
[DRA | EN | NT | Matthew | Chapter 10 | Verse 19] But when they shall deliver you up, take no thought how or what to speak: for it shall be given you in that hour what to speak.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 20] For it is not you that speak, but the Spirit of your Father that speaketh in you.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 21] The brother also shall deliver up the brother to death, and the father the son: and the children shall rise up against their parents, and shall put them to death.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 22] And you shall be hated by all men for my name’s sake: but he that shall persevere unto the end, he shall be saved.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 23] And when they shall persecute you in this city, flee into another. Amen I say to you, you shall not finish all the cities of Israel, till the Son of man come.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 24] The disciple is not above the master, nor the servant above his lord.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 25] It is enough for the disciple that he be as his master, and the servant as his lord. If they have called the goodman of the house Beelzebub, how much more them of his household?
[DRA | EN | NT | Matthew | Chapter 10 | Verse 26] Therefore fear them not. For nothing is covered that shall not be revealed: nor hid, that shall not be known.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 27] That which I tell you in the dark, speak ye in the light: and that which you hear in the ear, preach ye upon the housetops.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 28] And fear ye not them that kill the body, and are not able to kill the soul: but rather fear him that can destroy both soul and body in hell.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 29] Are not two sparrows sold for a farthing? and not one of them shall fall on the ground without your Father.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 30] But the very hairs of your head are all numbered.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 31] Fear not therefore: better are you than many sparrows.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 32] Every one therefore that shall confess me before men, I will also confess him before my Father who is in heaven.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 33] But he that shall deny me before men, I will also deny him before my Father who is in heaven.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 34] Do not think that I came to send peace upon earth: I came not to send peace, but the sword.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 35] For I came to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 36] And as a man’s enemies shall be they of his own household.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 37] He that loveth father or mother more than me, is not worthy of me; and he that loveth son or daughter more than me, is not worthy of me.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 38] And he that taketh not up his cross, and followeth me, is not worthy of me.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 39] He that findeth his life, shall lose it: and he that shall lose his life for me, shall find it.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 40] He that receiveth you, receiveth me: and he that receiveth me, receiveth him that sent me.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 41] He that receiveth a prophet in the name of a prophet, shall receive the reward of a prophet: and he that receiveth a just man in the name of a just man, shall receive the reward of a just man.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 42] And whosoever shall give to drink to one of these little ones a cup of cold water only in the name of a disciple, amen I say to you, he shall not lose his reward.
