[DRA | EN | NT | Matthew | Chapter 26 | Verse 1] And it came to pass, when Jesus had ended all these words, he said to his disciples:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 25] And Judas that betrayed him, answering, said: Is it I, Rabbi? He saith to him: Thou hast said it.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 26] And whilst they were at supper, Jesus took bread, and blessed, and broke: and gave to his disciples, and said: Take ye, and eat. This is my body.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 27] And taking the chalice, he gave thanks, and gave to them, saying: Drink ye all of this.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 28] For this is my blood of the new testament, which shall be shed for many unto remission of sins.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 29] And I say to you, I will not drink from henceforth of this fruit of the vine, until that day when I shall drink it with you new in the kingdom of my Father.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 30] And a hymn being said, they went out unto mount Olivet.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 31] Then Jesus said to them: All you shall be scandalized in me this night. For it is written: I will strike the shepherd, and the sheep of the flock shall be dispersed.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 32] But after I shall be risen again, I will go before you into Galilee.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 33] And Peter answering, said to him: Although all shall be scandalized in thee, I will never be scandalized.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 34] Jesus said to him: Amen I say to thee, that in this night before the cock crow, thou wilt deny me thrice.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 35] Peter saith to him: Yea, though I should die with thee, I will not deny thee. And in like manner said all the disciples.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 36] Then Jesus came with them into a country place which is called Gethsemani; and he said to his disciples: Sit you here, till I go yonder and pray.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 37] And taking with him Peter and the two sons of Zebedee, he began to grow sorrowful and to be sad.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 38] Then he saith to them: My soul is sorrowful even unto death: stay you here, and watch with me.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 39] And going a little further, he fell upon his face, praying, and saying: My Father, if it be possible, let this chalice pass from me. Nevertheless not as I will, but as thou wilt.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 40] And he cometh to his disciples, and findeth them asleep, and he saith to Peter: What? Could you not watch one hour with me?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 41] Watch ye, and pray that ye enter not into temptation. The spirit indeed is willing, but the flesh weak.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 42] Again the second time, he went and prayed, saying: My Father, if this chalice may not pass away, but I must drink it, thy will be done.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 43] And he cometh again and findeth them sleeping: for their eyes were heavy.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 44] And leaving them, he went again: and he prayed the third time, saying the selfsame word.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 45] Then he cometh to his disciples, and saith to them: Sleep ye now and take your rest; behold the hour is at hand, and the Son of man shall be betrayed into the hands of sinners.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 46] Rise, let us go: behold he is at hand that will betray me.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 47] As he yet spoke, behold Judas, one of the twelve, came, and with him a great multitude with swords and clubs, sent from the chief priests and the ancients of the people.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 48] And he that betrayed him, gave them a sign, saying: Whomsoever I shall kiss, that is he, hold him fast.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 49] And forthwith coming to Jesus, he said: Hail, Rabbi. And he kissed him.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 50] And Jesus said to him: Friend, whereto art thou come? Then they came up, and laid hands on Jesus, and held him.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 51] And behold one of them that were with Jesus, stretching forth his hand, drew out his sword: and striking the servant of the high priest, cut off his ear.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 52] Then Jesus saith to him: Put up again thy sword into its place: for all that take the sword shall perish with the sword.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 53] Thinkest thou that I cannot ask my Father, and he will give me presently more than twelve legions of angels?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 54] How then shall the scriptures be fulfilled, that so it must be done?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 55] In that same hour Jesus said to the multitudes: You are come out as it were to a robber with swords and clubs to apprehend me. I sat daily with you, teaching in the temple, and you laid not hands on me.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 56] Now all this was done, that the scriptures of the prophets might be fulfilled. Then the disciples all leaving him, fled.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 57] But they holding Jesus led him to Caiphas the high priest, where the scribes and the ancients were assembled.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 58] And Peter followed him afar off, even to the court of the high priest. And going in, he sat with the servants, that he might see the end.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 59] And the chief priests and the whole council sought false witness against Jesus, that they might put him to death:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 60] And they found not, whereas many false witnesses had come in. And last of all there came two false witnesses:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 61] And they said: This man said, I am able to destroy the temple of God, and after three days to rebuild it.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 62] And the high priest rising up, said to him: Answerest thou nothing to the things which these witness against thee?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 63] But Jesus held his peace. And the high priest said to him: I adjure thee by the living God, that thou tell us if thou be the Christ the Son of God.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 64] Jesus saith to him: Thou hast said it. Nevertheless I say to you, hereafter you shall see the Son of man sitting on the right hand of the power of God, and coming in the clouds of heaven.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 65] Then the high priests rent his garments, saying: He hath blasphemed; what further need have we of witnesses? Behold, now you have heard the blasphemy:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 66] What think you? But they answering, said: He is guilty of death.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 67] Then did they spit in his face, and buffeted him: and others struck his face with the palms of their hands,
[DRA | EN | NT | Matthew | Chapter 26 | Verse 68] Saying: Prophesy unto us, O Christ, who is he that struck thee?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 69] But Peter sat without in the court: and there came to him a servant maid, saying: Thou also wast with Jesus the Galilean.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 70] But he denied before them all, saying: I know not what thou sayest.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 71] And as he went out of the gate, another maid saw him, and she saith to them that were there: This man also was with Jesus of Nazareth.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 72] And again he denied with an oath, I know not the man.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 73] And after a little while they came that stood by, and said to Peter: Surely thou also art one of them; for even thy speech doth discover thee.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 74] Then he began to curse and to swear that he knew not the man. And immediately the cock crew.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 75] And Peter remembered the word of Jesus which he had said: Before the cock crow, thou wilt deny me thrice. And going forth, he wept bitterly.
