[DRA | EN | NT | Matthew | Chapter 13 | Verse 1] The same day Jesus going out of the house, sat by the sea side.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 44] The kingdom of heaven is like unto a treasure hidden in a field. Which a man having found, hid it, and for joy thereof goeth, and selleth all that he hath, and buyeth that field.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 45] Again the kingdom of heaven is like to a merchant seeking good pearls.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 46] Who when he had found one pearl of great price, went his way, and sold all that he had, and bought it.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 47] Again the kingdom of heaven is like to a net cast into the sea, and gathering together of all kind of fishes.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 48] Which, when it was filled, they drew out, and sitting by the shore, they chose out the good into vessels, but the bad they cast forth.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 49] So shall it be at the end of the world. The angels shall go out, and shall separate the wicked from among the just.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 50] And shall cast them into the furnace of fire: there shall be weeping and gnashing of teeth.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 51] Have ye understood all these things? They say to him: Yes.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 52] He said unto them: Therefore every scribe instructed in the kingdom of heaven, is like to a man that is a householder, who bringeth forth out of his treasure new things and old.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 53] And it came to pass: when Jesus had finished these parables, he passed from thence.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 54] And coming into his own country, he taught them in their synagogues, so that they wondered and said: How came this man by this wisdom and miracles?
[DRA | EN | NT | Matthew | Chapter 13 | Verse 55] Is not this the carpenter’s son? Is not his mother called Mary, and his brethren James, and Joseph, and Simon, and Jude:
[DRA | EN | NT | Matthew | Chapter 13 | Verse 56] And his sisters, are they not all with us? Whence therefore hath he all these things?
[DRA | EN | NT | Matthew | Chapter 13 | Verse 57] And they were scandalized in his regard. But Jesus said to them: A prophet is not without honour, save in his own country, and in his own house.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 58] And he wrought not many miracles there, because of their unbelief.
