[DRA | EN | NT | Luke | Chapter 10 | Verse 1] And after these things the Lord appointed also other seventy-two: and he sent them two and two before his face into every city and place whither he himself was to come.
[DRA | EN | NT | Luke | Chapter 10 | Verse 21] In that same hour, he rejoiced in the Holy Ghost, and said: I confess to thee, O Father, Lord of heaven and earth, because thou hast hidden these things from the wise and prudent, and hast revealed them to little ones. Yea, Father, for so it hath seemed good in thy sight.
[DRA | EN | NT | Luke | Chapter 10 | Verse 22] All things are delivered to me by my Father; and no one knoweth who the Son is, but the Father; and who the Father is, but the Son, and to whom the Son will reveal him.
[DRA | EN | NT | Luke | Chapter 10 | Verse 23] And turning to his disciples, he said: Blessed are the eyes that see the things which you see.
[DRA | EN | NT | Luke | Chapter 10 | Verse 24] For I say to you, that many prophets and kings have desired to see the things that you see, and have not seen them; and to hear the things that you hear, and have not heard them.
[DRA | EN | NT | Luke | Chapter 10 | Verse 25] And behold a certain lawyer stood up, tempting him, and saying, Master, what must I do to possess eternal life?
[DRA | EN | NT | Luke | Chapter 10 | Verse 26] But he said to him: What is written in the law? how readest thou?
[DRA | EN | NT | Luke | Chapter 10 | Verse 27] He answering, said: Thou shalt love the Lord thy God with thy whole heart, and with thy whole soul, and with all thy strength, and with all thy mind: and thy neighbour as thyself.
[DRA | EN | NT | Luke | Chapter 10 | Verse 28] And he said to him: Thou hast answered right: this do, and thou shalt live.
[DRA | EN | NT | Luke | Chapter 10 | Verse 29] But he willing to justify himself, said to Jesus: And who is my neighbour?
[DRA | EN | NT | Luke | Chapter 10 | Verse 30] And Jesus answering, said: A certain man went down from Jerusalem to Jericho, and fell among robbers, who also stripped him, and having wounded him went away, leaving him half dead.
[DRA | EN | NT | Luke | Chapter 10 | Verse 31] And it chanced, that a certain priest went down the same way: and seeing him, passed by.
[DRA | EN | NT | Luke | Chapter 10 | Verse 32] In like manner also a Levite, when he was near the place and saw him, passed by.
[DRA | EN | NT | Luke | Chapter 10 | Verse 33] But a certain Samaritan being on his journey, came near him; and seeing him, was moved with compassion.
[DRA | EN | NT | Luke | Chapter 10 | Verse 34] And going up to him, bound up his wounds, pouring in oil and wine: and setting him upon his own beast, brought him to an inn, and took care of him.
[DRA | EN | NT | Luke | Chapter 10 | Verse 35] And the next day he took out two pence, and gave to the host, and said: Take care of him; and whatsoever thou shalt spend over and above, I, at my return, will repay thee.
[DRA | EN | NT | Luke | Chapter 10 | Verse 36] Which of these three, in thy opinion, was neighbour to him that fell among the robbers?
[DRA | EN | NT | Luke | Chapter 10 | Verse 37] But he said: He that shewed mercy to him. And Jesus said to him: Go, and do thou in like manner.
[DRA | EN | NT | Luke | Chapter 10 | Verse 38] Now it came to pass as they went, that he entered into a certain town: and a certain woman named Martha, received him into her house.
[DRA | EN | NT | Luke | Chapter 10 | Verse 39] And she had a sister called Mary, who sitting also at the Lord’s feet, heard his word.
[DRA | EN | NT | Luke | Chapter 10 | Verse 40] But Martha was busy about much serving. Who stood and said: Lord, hast thou no care that my sister hath left me alone to serve? speak to her therefore, that she help me.
[DRA | EN | NT | Luke | Chapter 10 | Verse 41] And the Lord answering, said to her: Martha, Martha, thou art careful, and art troubled about many things:
[DRA | EN | NT | Luke | Chapter 10 | Verse 42] But one thing is necessary. Mary hath chosen the best part, which shall not be taken away from her.
