[DRA | EN | NT | Luke | Chapter 20 | Verse 1] And it came to pass, that on one of the days, as he was teaching the people in the temple, and preaching the gospel, the chief priests and the scribes, with the ancients, met together,
[DRA | EN | NT | Luke | Chapter 20 | Verse 20] And being upon the watch, they sent spies, who should feign themselves just, that they might take hold of him in his words, that they might deliver him up to the authority and power of the governor.
[DRA | EN | NT | Luke | Chapter 20 | Verse 21] And they asked him, saying: Master, we know that thou speakest and teachest rightly: and thou dost not respect any person, but teachest the way of God in truth.
[DRA | EN | NT | Luke | Chapter 20 | Verse 22] Is it lawful for us to give tribute to Caesar, or no?
[DRA | EN | NT | Luke | Chapter 20 | Verse 23] But he considering their guile, said to them: Why tempt you me?
[DRA | EN | NT | Luke | Chapter 20 | Verse 24] Shew me a penny. Whose image and inscription hath it? They answering, said to him, Caesar’s.
[DRA | EN | NT | Luke | Chapter 20 | Verse 25] And he said to them: Render therefore to Caesar the things that are Caesar’s: and to God the things that are God’s.
[DRA | EN | NT | Luke | Chapter 20 | Verse 26] And they could not reprehend his word before the people: and wondering at his answer, they held their peace.
[DRA | EN | NT | Luke | Chapter 20 | Verse 27] And there came to him some of the Sadducees, who deny that there is any resurrection, and they asked him,
[DRA | EN | NT | Luke | Chapter 20 | Verse 28] Saying: Master, Moses wrote unto us, If any man’s brother die, having a wife, and he leave no children, that his brother should take her to wife, and raise up seed unto his brother.
[DRA | EN | NT | Luke | Chapter 20 | Verse 29] There were therefore seven brethren: and the first took a wife, and died without children.
[DRA | EN | NT | Luke | Chapter 20 | Verse 30] And the next took her to wife, and he also died childless.
[DRA | EN | NT | Luke | Chapter 20 | Verse 31] And the third took her. And in like manner all the seven, and they left no children, and died.
[DRA | EN | NT | Luke | Chapter 20 | Verse 32] Last of all the woman died also.
[DRA | EN | NT | Luke | Chapter 20 | Verse 33] In the resurrection therefore, whose wife of them shall she be? For all the seven had her to wife.
[DRA | EN | NT | Luke | Chapter 20 | Verse 34] And Jesus said to them: The children of this world marry, and are given in marriage:
[DRA | EN | NT | Luke | Chapter 20 | Verse 35] But they that shall be accounted worthy of that world, and of the resurrection from the dead, shall neither be married, nor take wives.
[DRA | EN | NT | Luke | Chapter 20 | Verse 36] Neither can they die any more: for they are equal to the angels, and are the children of God, being the children of the resurrection.
[DRA | EN | NT | Luke | Chapter 20 | Verse 37] Now that the dead rise again, Moses also shewed, at the bush, when he called the Lord, The God of Abraham, and the God of Isaac, and the God of Jacob;
[DRA | EN | NT | Luke | Chapter 20 | Verse 38] For he is not the God of the dead, but of the living: for all live to him.
[DRA | EN | NT | Luke | Chapter 20 | Verse 39] And some of the scribes answering, said to him: Master, thou hast said well.
[DRA | EN | NT | Luke | Chapter 20 | Verse 40] And after that they durst not ask him any more questions.
[DRA | EN | NT | Luke | Chapter 20 | Verse 41] But he said to them: How say they that Christ is the son of David?
[DRA | EN | NT | Luke | Chapter 20 | Verse 42] And David himself saith in the book of Psalms: The Lord said to my Lord, sit thou on my right hand,
[DRA | EN | NT | Luke | Chapter 20 | Verse 43] Till I make thy enemies thy footstool.
[DRA | EN | NT | Luke | Chapter 20 | Verse 44] David then calleth him Lord: and how is he his son?
[DRA | EN | NT | Luke | Chapter 20 | Verse 45] And in the hearing of all the people, he said to his disciples:
[DRA | EN | NT | Luke | Chapter 20 | Verse 46] Beware of the scribes, who desire to walk in long robes, and love salutations in the marketplace, and the first chairs in the synagogues, and the chief rooms at feasts:
[DRA | EN | NT | Luke | Chapter 20 | Verse 47] Who devour the houses of widows, feigning long prayer. These shall receive greater damnation.
