[DRA | EN | NT | Luke | Chapter 8 | Verse 1] And it came to pass afterwards, that he travelled through the cities and towns, preaching and evangelizing the kingdom of God; and the twelve with him:
[DRA | EN | NT | Luke | Chapter 8 | Verse 40] And it came to pass, that when Jesus was returned, the multitude received him: for they were all waiting for him.
[DRA | EN | NT | Luke | Chapter 8 | Verse 41] And behold there came a man whose name was Jairus, and he was a ruler of the synagogue: and he fell down at the feet of Jesus, beseeching him that he would come into his house:
[DRA | EN | NT | Luke | Chapter 8 | Verse 42] For he had an only daughter, almost twelve years old, and she was dying. And it happened as he went, that he was thronged by the multitudes.
[DRA | EN | NT | Luke | Chapter 8 | Verse 43] And there was a certain woman having an issue of blood twelve years, who had bestowed all her substance on physicians, and could not be healed by any.
[DRA | EN | NT | Luke | Chapter 8 | Verse 44] She came behind him, and touched the hem of his garment; and immediately the issue of her blood stopped.
[DRA | EN | NT | Luke | Chapter 8 | Verse 45] And Jesus said: Who is it that touched me? And all denying, Peter and they that were with him said: Master, the multitudes throng and press thee, and dost thou say, Who touched me?
[DRA | EN | NT | Luke | Chapter 8 | Verse 46] And Jesus said: Somebody hath touched me; for I know that virtue is gone out from me.
[DRA | EN | NT | Luke | Chapter 8 | Verse 47] And the woman seeing that she was not hid, came trembling, and fell down before his feet, and declared before all the people for what cause she had touched him, and how she was immediately healed.
[DRA | EN | NT | Luke | Chapter 8 | Verse 48] But he said to her: Daughter, thy faith hath made thee whole; go thy way in peace.
[DRA | EN | NT | Luke | Chapter 8 | Verse 49] As he was yet speaking, there cometh one to the ruler of the synagogue, saying to him: Thy daughter is dead, trouble him not.
[DRA | EN | NT | Luke | Chapter 8 | Verse 50] And Jesus hearing this word, answered the father of the maid: Fear not; believe only, and she shall be safe.
[DRA | EN | NT | Luke | Chapter 8 | Verse 51] And when he was come to the house, he suffered not any man to go in with him, but Peter and James and John, and the father and mother of the maiden.
[DRA | EN | NT | Luke | Chapter 8 | Verse 52] And all wept and mourned for her. But he said: Weep not; the maid is not dead, but sleepeth.
[DRA | EN | NT | Luke | Chapter 8 | Verse 53] And they laughed him to scorn, knowing that she was dead.
[DRA | EN | NT | Luke | Chapter 8 | Verse 54] But he taking her by the hand, cried out, saying: Maid, arise.
[DRA | EN | NT | Luke | Chapter 8 | Verse 55] And her spirit returned, and she arose immediately. And he bid them give her to eat.
[DRA | EN | NT | Luke | Chapter 8 | Verse 56] And her parents were astonished, whom he charged to tell no man what was done.
