[DRA | EN | NT | Luke | Chapter 1 | Verse 1] Forasmuch as many have taken in hand to set forth in order a narration of the things that have been accomplished among us;
[DRA | EN | NT | Luke | Chapter 1 | Verse 55] As he spoke to our fathers, to Abraham and to his seed for ever.
[DRA | EN | NT | Luke | Chapter 1 | Verse 56] And Mary abode with her about three months; and she returned to her own house.
[DRA | EN | NT | Luke | Chapter 1 | Verse 57] Now Elizabeth’s full time of being delivered was come, and she brought forth a son.
[DRA | EN | NT | Luke | Chapter 1 | Verse 58] And her neighbours and kinsfolks heard that the Lord had shewed his great mercy towards her, and they congratulated with her.
[DRA | EN | NT | Luke | Chapter 1 | Verse 59] And it came to pass, that on the eighth day they came to circumcise the child, and they called him by his father’s name Zachary.
[DRA | EN | NT | Luke | Chapter 1 | Verse 60] And his mother answering, said: Not so; but he shall be called John.
[DRA | EN | NT | Luke | Chapter 1 | Verse 61] And they said to her: There is none of thy kindred that is called by this name.
[DRA | EN | NT | Luke | Chapter 1 | Verse 62] And they made signs to his father, how he would have him called.
[DRA | EN | NT | Luke | Chapter 1 | Verse 63] And demanding a writing table, he wrote, saying: John is his name. And they all wondered.
[DRA | EN | NT | Luke | Chapter 1 | Verse 64] And immediately his mouth was opened, and his tongue loosed, and he spoke, blessing God.
[DRA | EN | NT | Luke | Chapter 1 | Verse 65] And fear came upon all their neighbours; and all these things were noised abroad over all the hill country of Judea.
[DRA | EN | NT | Luke | Chapter 1 | Verse 66] And all they that had heard them laid them up in their heart, saying: What an one, think ye, shall this child be? For the hand of the Lord was with him.
[DRA | EN | NT | Luke | Chapter 1 | Verse 67] And Zachary his father was filled with the Holy Ghost; and he prophesied, saying:
[DRA | EN | NT | Luke | Chapter 1 | Verse 68] Blessed be the Lord God of Israel; because he hath visited and wrought the redemption of his people:
[DRA | EN | NT | Luke | Chapter 1 | Verse 69] And hath raised up an horn of salvation to us, in the house of David his servant:
[DRA | EN | NT | Luke | Chapter 1 | Verse 70] As he spoke by the mouth of his holy prophets, who are from the beginning:
[DRA | EN | NT | Luke | Chapter 1 | Verse 71] Salvation from our enemies, and from the hand of all that hate us:
[DRA | EN | NT | Luke | Chapter 1 | Verse 72] To perform mercy to our fathers, and to remember his holy testament,
[DRA | EN | NT | Luke | Chapter 1 | Verse 73] The oath, which he swore to Abraham our father, that he would grant to us,
[DRA | EN | NT | Luke | Chapter 1 | Verse 74] That being delivered from the hand of our enemies, we may serve him without fear,
[DRA | EN | NT | Luke | Chapter 1 | Verse 75] In holiness and justice before him, all our days.
[DRA | EN | NT | Luke | Chapter 1 | Verse 76] And thou, child, shalt be called the prophet of the Highest: for thou shalt go before the face of the Lord to prepare his ways:
[DRA | EN | NT | Luke | Chapter 1 | Verse 77] To give knowledge of salvation to his people, unto the remission of their sins:
[DRA | EN | NT | Luke | Chapter 1 | Verse 78] Through the bowels of the mercy of our God, in which the Orient from on high hath visited us:
[DRA | EN | NT | Luke | Chapter 1 | Verse 79] To enlighten them that sit in darkness, and in the shadow of death: to direct our feet into the way of peace.
[DRA | EN | NT | Luke | Chapter 1 | Verse 80] And the child grew, and was strengthened in spirit; and was in the deserts until the day of his manifestation to Israel.
