[BSB | EN | NT | Matthew | Chapter 27 | Verse 1] When morning came, all the chief priests and elders of the people conspired against Jesus to put Him to death.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 55] And many women were there, watching from a distance. They had followed Jesus from Galilee to minister to Him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 56] Among them were Mary Magdalene, Mary the mother of James and Joseph, and the mother of Zebedee’s sons.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 57] When it was evening, there came a rich man from Arimathea named Joseph, who himself was a disciple of Jesus.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 58] He went to Pilate to ask for the body of Jesus, and Pilate ordered that it be given to him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 59] So Joseph took the body, wrapped it in a clean linen cloth,
[BSB | EN | NT | Matthew | Chapter 27 | Verse 60] and placed it in his own new tomb that he had cut into the rock. Then he rolled a great stone across the entrance to the tomb and went away.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 61] Mary Magdalene and the other Mary were sitting there opposite the tomb.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 62] The next day, the one after Preparation Day, the chief priests and Pharisees assembled before Pilate.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 63] “Sir,” they said, “we remember that while He was alive that deceiver said, ‘After three days I will rise again.’
[BSB | EN | NT | Matthew | Chapter 27 | Verse 64] So give the order that the tomb be secured until the third day. Otherwise, His disciples may come and steal Him away and tell the people He has risen from the dead. And this last deception would be worse than the first.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 65] “You have a guard,” Pilate said. “Go, make the tomb as secure as you know how.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 66] So they went and secured the tomb by sealing the stone and posting the guard.
